singer,offer,mao
Bon Scott,1,2
Bon Scott,2,3
Bon Scott,2,3
Bon Scott,2,3
Bon Scott,2,3
Bon Scott,3,4
Bon Scott,3,4
Bon Scott,3,4
Bon Scott,3,4
Bon Scott,3,4
Bon Scott,4,4
Bon Scott,4,4
Bon Scott,4,4
Bon Scott,4,5
Bon Scott,4,5
Bon Scott,5,5
Bon Scott,5,5
Bon Scott,5,5
Brian Johnson,2,0
Brian Johnson,3,1
Brian Johnson,3,2
Brian Johnson,3,2
Brian Johnson,3,3
Brian Johnson,3,3
Brian Johnson,4,3
Brian Johnson,4,3
Brian Johnson,4,3
Brian Johnson,4,4
Brian Johnson,4,4
Brian Johnson,5,4
Brian Johnson,5,4
Brian Johnson,5,4
Brian Johnson,5,4
Brian Johnson,5,4
Brian Johnson,5,4
Brian Johnson,5,1
