album_id,adverts,sales,airplay,image
aox1foms,10.256,330,43,10
u453js2i,985.685,120,28,7
pie89xnr,1445.563,360,35,7
u2k5a0df,1188.193,270,33,7
t4699ux3,574.513,220,44,5
s4h49cu2,568.954,170,19,5
1235a8sf,471.814,70,20,1
p2v24p5k,537.352,210,22,9
4fbjg024,514.068,200,21,7
e9w6usdb,174.093,300,40,7
yv71cv1k,1720.806,290,32,7
r46hn4l5,611.479,70,20,2
3ms1pfwf,251.192,150,24,8
1dx58o1y,97.972,190,38,6
vm6bk96t,406.814,240,24,7
xrma88h9,265.398,100,25,5
m0ji91q1,1323.287,250,35,5
7ba7ypun,196.65,210,36,8
5j3y94ro,1326.598,280,27,8
n3d4q7ud,1380.689,230,33,8
g7x7n0tl,792.345,210,33,7
2doe48ll,957.167,230,28,6
0oir5dgr,1789.659,320,30,9
4y8unhl3,656.137,210,34,7
38b1l557,613.697,230,49,7
2155l5dm,313.362,250,40,8
haoygplv,336.51,60,20,4
i0e5kuq4,1544.899,330,42,7
3bkhj2r8,68.954,150,35,8
h5dxrcc2,785.692,150,8,6
w8881p71,125.628,180,49,7
963rv497,377.925,80,19,8
523xd6m4,217.994,180,42,6
qihl4k1w,759.862,130,6,7
irtkxl15,1163.444,320,36,6
2j7m5785,842.957,280,32,7
3y0nd2f0,125.179,200,28,6
c6i1rw10,236.598,130,25,8
p8lhh416,669.811,190,34,8
333s5fc3,612.234,150,21,6
q8435513,922.019,230,34,7
2hpe5q65,50,310,63,7
mp7j128f,2000,340,31,7
0j67hp83,1054.027,240,25,7
q31hjs5f,385.045,180,42,7
7hi4c2sb,1507.972,220,37,7
4u5b17p9,102.568,40,25,8
px64h8mf,204.568,190,26,7
8811bfg1,1170.918,290,39,7
g623gjx1,689.547,340,46,7
f659oiem,784.22,250,36,6
lmiak702,405.913,190,12,4
1e4kv194,179.778,120,2,8
18dk3p6x,607.258,230,29,8
8bs417uk,1542.329,190,33,8
547yg31d,1112.47,210,28,7
o26h8i2g,856.985,170,10,6
6gve7a89,836.331,310,38,7
n6378n5w,236.908,90,19,4
3c4vk93t,1077.855,140,13,6
a8qip18r,579.321,300,30,7
v0vybh3w,1500,340,38,8
y1q5pq76,731.364,170,22,8
p534d2m1,25.689,100,23,6
cq2fu7i6,391.749,200,22,9
hqr64o1p,233.999,80,20,7
u72l76ym,275.7,100,18,6
ys84ustj,56.895,70,37,7
og0w0tn3,255.117,50,16,8
58hwnwd8,566.501,240,32,8
k2te8hhl,102.568,160,26,5
yx38547y,250.568,290,53,9
vair187e,68.594,140,28,7
p97apgf1,642.786,210,32,7
tb93sjk6,1500,300,24,7
a1afo9o8,102.563,230,37,6
612p7vm8,756.984,280,30,8
ig24bfxk,51.229,160,19,7
qv2p8k21,644.151,200,47,6
rr7blr22,15.313,110,22,5
ee24xk1d,243.237,110,10,8
3fn45784,256.894,70,1,4
xbe10427,22.464,100,1,6
3dfn9nva,45.689,190,39,6
9svmhq82,724.938,70,8,5
907m5o1f,1126.461,360,38,7
h66kvk9g,1985.119,360,35,5
9542933h,1837.516,300,40,5
oxm331xv,135.986,120,22,7
ir13y3s2,237.703,150,27,8
