id,game,time,aggression
1h5l8,Angry birds,Baseline,2
1h5l8,Angry birds,1 month,4
1h5l8,Angry birds,6 month,4
1h5l8,Angry birds,12 month,4
3289x,Angry birds,Baseline,3
3289x,Angry birds,1 month,0
3289x,Angry birds,6 month,1
3289x,Angry birds,12 month,0
dread,Angry birds,Baseline,2
dread,Angry birds,1 month,3
dread,Angry birds,6 month,1
dread,Angry birds,12 month,6
vou45,Angry birds,Baseline,1
vou45,Angry birds,1 month,1
vou45,Angry birds,6 month,2
vou45,Angry birds,12 month,4
wy6b4,Angry birds,Baseline,1
wy6b4,Angry birds,1 month,2
wy6b4,Angry birds,6 month,3
wy6b4,Angry birds,12 month,3
3m8ne,Angry birds,Baseline,2
3m8ne,Angry birds,1 month,3
3m8ne,Angry birds,6 month,1
3m8ne,Angry birds,12 month,6
68mby,Angry birds,Baseline,2
68mby,Angry birds,1 month,1
68mby,Angry birds,6 month,2
68mby,Angry birds,12 month,0
nbxjo,Angry birds,Baseline,2
nbxjo,Angry birds,1 month,3
nbxjo,Angry birds,6 month,1
nbxjo,Angry birds,12 month,6
478n4,Angry birds,Baseline,2
478n4,Angry birds,1 month,4
478n4,Angry birds,6 month,2
478n4,Angry birds,12 month,2
y9aal,Angry birds,Baseline,2
y9aal,Angry birds,1 month,3
y9aal,Angry birds,6 month,3
y9aal,Angry birds,12 month,4
37s97,Angry birds,Baseline,3
37s97,Angry birds,1 month,1
37s97,Angry birds,6 month,3
37s97,Angry birds,12 month,8
7qgs2,Angry birds,Baseline,3
7qgs2,Angry birds,1 month,6
7qgs2,Angry birds,6 month,4
7qgs2,Angry birds,12 month,5
y90s0,Angry birds,Baseline,1
y90s0,Angry birds,1 month,5
y90s0,Angry birds,6 month,8
y90s0,Angry birds,12 month,9
4w2l6,Angry birds,Baseline,2
4w2l6,Angry birds,1 month,2
4w2l6,Angry birds,6 month,5
4w2l6,Angry birds,12 month,7
24f3j,Angry birds,Baseline,1
24f3j,Angry birds,1 month,3
24f3j,Angry birds,6 month,10
24f3j,Angry birds,12 month,6
jwre4,Angry birds,Baseline,3
jwre4,Angry birds,1 month,0
jwre4,Angry birds,6 month,1
jwre4,Angry birds,12 month,3
r1921,Angry birds,Baseline,3
r1921,Angry birds,1 month,1
r1921,Angry birds,6 month,4
r1921,Angry birds,12 month,7
3k831,Angry birds,Baseline,1
3k831,Angry birds,1 month,3
3k831,Angry birds,6 month,3
