id,game,time,aggression
y37e9,Angry birds,Baseline,5
y37e9,Angry birds,1 month,4
y37e9,Angry birds,6 month,3
y37e9,Angry birds,12 month,7
5aa64,Angry birds,Baseline,6
5aa64,Angry birds,1 month,5
5aa64,Angry birds,6 month,2
5aa64,Angry birds,12 month,4
in72h,Angry birds,Baseline,5
in72h,Angry birds,1 month,2
in72h,Angry birds,6 month,5
in72h,Angry birds,12 month,3
1iy74,Angry birds,Baseline,4
1iy74,Angry birds,1 month,5
1iy74,Angry birds,6 month,4
1iy74,Angry birds,12 month,3
fk94w,Angry birds,Baseline,4
fk94w,Angry birds,1 month,5
fk94w,Angry birds,6 month,2
fk94w,Angry birds,12 month,3
1l4d3,Angry birds,Baseline,1
1l4d3,Angry birds,1 month,3
1l4d3,Angry birds,6 month,4
1l4d3,Angry birds,12 month,4
85dex,Angry birds,Baseline,3
85dex,Angry birds,1 month,3
85dex,Angry birds,6 month,6
85dex,Angry birds,12 month,5
32p6r,Angry birds,Baseline,1
32p6r,Angry birds,1 month,5
32p6r,Angry birds,6 month,5
32p6r,Angry birds,12 month,6
geswq,Angry birds,Baseline,4
geswq,Angry birds,1 month,6
geswq,Angry birds,6 month,5
geswq,Angry birds,12 month,4
cxm7f,Angry birds,Baseline,5
cxm7f,Angry birds,1 month,5
cxm7f,Angry birds,6 month,4
cxm7f,Angry birds,12 month,6
3u746,Angry birds,Baseline,3
3u746,Angry birds,1 month,6
3u746,Angry birds,6 month,2
3u746,Angry birds,12 month,4
tqoq3,Angry birds,Baseline,5
tqoq3,Angry birds,1 month,4
tqoq3,Angry birds,6 month,4
tqoq3,Angry birds,12 month,2
832dg,Angry birds,Baseline,5
832dg,Angry birds,1 month,4
832dg,Angry birds,6 month,3
832dg,Angry birds,12 month,6
1gvpf,Angry birds,Baseline,3
1gvpf,Angry birds,1 month,2
1gvpf,Angry birds,6 month,3
1gvpf,Angry birds,12 month,4
g141e,Angry birds,Baseline,4
g141e,Angry birds,1 month,5
g141e,Angry birds,6 month,5
g141e,Angry birds,12 month,6
00t59,Angry birds,Baseline,3
00t59,Angry birds,1 month,6
00t59,Angry birds,6 month,5
00t59,Angry birds,12 month,6
92874,Angry birds,Baseline,6
92874,Angry birds,1 month,2
92874,Angry birds,6 month,5
92874,Angry birds,12 month,5
64357,Angry birds,Baseline,2
64357,Angry birds,1 month,3
64357,Angry birds,6 month,1
64357,Angry birds,12 month,4
56865,Angry birds,Baseline,3
56865,Angry birds,1 month,5
56865,Angry birds,6 month,1
56865,Angry birds,12 month,5
i4eob,Angry birds,Baseline,5
i4eob,Angry birds,1 month,6
i4eob,Angry birds,6 month,6
i4eob,Angry birds,12 month,5
n219k,Angry birds,Baseline,4
n219k,Angry birds,1 month,2
n219k,Angry birds,6 month,7
n219k,Angry birds,12 month,5
pws97,Angry birds,Baseline,3
pws97,Angry birds,1 month,4
pws97,Angry birds,6 month,2
pws97,Angry birds,12 month,3
8wuw2,Angry birds,Baseline,2
8wuw2,Angry birds,1 month,6
8wuw2,Angry birds,6 month,4
8wuw2,Angry birds,12 month,7
61a37,Angry birds,Baseline,2
61a37,Angry birds,1 month,1
61a37,Angry birds,6 month,4
61a37,Angry birds,12 month,2
q74rj,Angry birds,Baseline,5
q74rj,Angry birds,1 month,2
q74rj,Angry birds,6 month,4
q74rj,Angry birds,12 month,3
7ugfx,Angry birds,Baseline,5
7ugfx,Angry birds,1 month,2
7ugfx,Angry birds,6 month,3
7ugfx,Angry birds,12 month,5
u66xw,Angry birds,Baseline,1
u66xw,Angry birds,1 month,4
u66xw,Angry birds,6 month,3
u66xw,Angry birds,12 month,2
imi13,Angry birds,Baseline,3
imi13,Angry birds,1 month,3
imi13,Angry birds,6 month,1
imi13,Angry birds,12 month,2
vl464,Angry birds,Baseline,3
vl464,Angry birds,1 month,3
vl464,Angry birds,6 month,0
vl464,Angry birds,12 month,4
0965r,Angry birds,Baseline,4
0965r,Angry birds,1 month,5
0965r,Angry birds,6 month,2
0965r,Angry birds,12 month,5
1v7w4,Angry birds,Baseline,1
1v7w4,Angry birds,1 month,3
1v7w4,Angry birds,6 month,3
1v7w4,Angry birds,12 month,7
618o6,Angry birds,Baseline,5
618o6,Angry birds,1 month,3
618o6,Angry birds,6 month,5
618o6,Angry birds,12 month,4
18hb3,Angry birds,Baseline,3
18hb3,Angry birds,1 month,2
18hb3,Angry birds,6 month,4
18hb3,Angry birds,12 month,3
8s7h9,Angry birds,Baseline,4
8s7h9,Angry birds,1 month,2
8s7h9,Angry birds,6 month,4
8s7h9,Angry birds,12 month,6
s5k64,Angry birds,Baseline,3
s5k64,Angry birds,1 month,3
s5k64,Angry birds,6 month,2
s5k64,Angry birds,12 month,5
7drs9,Angry birds,Baseline,5
7drs9,Angry birds,1 month,3
7drs9,Angry birds,6 month,5
7drs9,Angry birds,12 month,3
838cm,Angry birds,Baseline,2
838cm,Angry birds,1 month,2
838cm,Angry birds,6 month,5
838cm,Angry birds,12 month,3
5g788,Angry birds,Baseline,7
5g788,Angry birds,1 month,3
5g788,Angry birds,6 month,4
5g788,Angry birds,12 month,5
9au2h,Angry birds,Baseline,3
9au2h,Angry birds,1 month,5
9au2h,Angry birds,6 month,3
9au2h,Angry birds,12 month,4
1d460,Angry birds,Baseline,3
1d460,Angry birds,1 month,6
1d460,Angry birds,6 month,2
1d460,Angry birds,12 month,3
p86e7,Angry birds,Baseline,5
p86e7,Angry birds,1 month,5
p86e7,Angry birds,6 month,4
p86e7,Angry birds,12 month,4
xm8q7,Angry birds,Baseline,3
xm8q7,Angry birds,1 month,2
xm8q7,Angry birds,6 month,4
xm8q7,Angry birds,12 month,3
3qsjr,Angry birds,Baseline,4
3qsjr,Angry birds,1 month,4
3qsjr,Angry birds,6 month,5
3qsjr,Angry birds,12 month,6
pexr4,Angry birds,Baseline,2
pexr4,Angry birds,1 month,2
pexr4,Angry birds,6 month,3
pexr4,Angry birds,12 month,2
g6vp6,Angry birds,Baseline,4
g6vp6,Angry birds,1 month,2
g6vp6,Angry birds,6 month,5
g6vp6,Angry birds,12 month,5
6w45r,Angry birds,Baseline,1
6w45r,Angry birds,1 month,5
6w45r,Angry birds,6 month,4
6w45r,Angry birds,12 month,5
0nc2j,Angry birds,Baseline,5
0nc2j,Angry birds,1 month,4
0nc2j,Angry birds,6 month,3
0nc2j,Angry birds,12 month,1
6a62t,Angry birds,Baseline,3
6a62t,Angry birds,1 month,5
6a62t,Angry birds,6 month,2
6a62t,Angry birds,12 month,1
m3i23,Angry birds,Baseline,5
m3i23,Angry birds,1 month,4
m3i23,Angry birds,6 month,5
m3i23,Angry birds,12 month,5
p0i9c,Angry birds,Baseline,3
p0i9c,Angry birds,1 month,3
p0i9c,Angry birds,6 month,6
p0i9c,Angry birds,12 month,5
89h3h,Angry birds,Baseline,4
89h3h,Angry birds,1 month,4
89h3h,Angry birds,6 month,4
89h3h,Angry birds,12 month,4
8hd41,Angry birds,Baseline,2
8hd41,Angry birds,1 month,6
8hd41,Angry birds,6 month,3
8hd41,Angry birds,12 month,6
k6gx4,Angry birds,Baseline,5
k6gx4,Angry birds,1 month,6
k6gx4,Angry birds,6 month,6
k6gx4,Angry birds,12 month,1
x47u3,Angry birds,Baseline,4
x47u3,Angry birds,1 month,5
x47u3,Angry birds,6 month,4
x47u3,Angry birds,12 month,5
r6a68,Angry birds,Baseline,4
r6a68,Angry birds,1 month,7
r6a68,Angry birds,6 month,2
