id,animal,training,dance
itap,Cat,Affection,No
xbnu,Cat,Affection,No
whxe,Cat,Affection,No
hsyj,Dog,Food,Yes
xbcv,Cat,Affection,No
tgjs,Cat,Affection,No
gkyg,Dog,Affection,Yes
miqv,Cat,Affection,No
caed,Cat,Affection,Yes
hyml,Cat,Affection,No
vwkj,Cat,Affection,No
yhej,Cat,Affection,No
vxow,Dog,Affection,Yes
qqny,Cat,Affection,No
kgss,Dog,Affection,Yes
bqbe,Cat,Affection,No
vfqf,Cat,Affection,Yes
gnvu,Cat,Affection,No
rygn,Cat,Affection,Yes
pmab,Cat,Affection,No
ugqg,Cat,Affection,No
pmcs,Cat,Food,Yes
ljai,Cat,Affection,Yes
grtp,Cat,Food,Yes
fuhb,Cat,Affection,No
gqif,Cat,Affection,No
dhlt,Cat,Food,No
gtjq,Cat,Affection,No
dlkj,Cat,Affection,No
qdgj,Cat,Affection,No
fbwm,Cat,Affection,No
xqax,Dog,Food,Yes
rdfg,Dog,Affection,Yes
jkvs,Cat,Affection,No
fscv,Cat,Affection,No
rkui,Dog,Food,No
hrfc,Cat,Affection,No
rpkq,Cat,Affection,No
mmxc,Dog,Food,No
ipnt,Dog,Affection,Yes
xjml,Dog,Affection,No
ymxd,Cat,Affection,Yes
luhh,Cat,Affection,No
sapl,Cat,Affection,No
rypa,Cat,Affection,No
esat,Cat,Affection,Yes
ichy,Dog,Food,Yes
ghkl,Cat,Affection,No
nxtm,Dog,Affection,Yes
mtad,Cat,Affection,Yes
wksb,Cat,Food,Yes
vwvo,Cat,Affection,No
pyka,Cat,Affection,Yes
ewxx,Cat,Affection,Yes
ixvn,Cat,Affection,No
qlga,Dog,Affection,Yes
ioqu,Cat,Affection,Yes
qxhd,Cat,Food,No
pamr,Cat,Affection,No
yrfl,Cat,Food,Yes
jajt,Dog,Food,Yes
ikqr,Dog,Food,Yes
yyqw,Cat,Affection,No
fbbj,Cat,Affection,No
kqby,Cat,Affection,Yes
jorn,Cat,Affection,No
ujfd,Cat,Food,No
jxqo,Cat,Affection,No
rqmn,Dog,Food,No
osqs,Cat,Affection,No
aqqj,Cat,Affection,No
lyqn,Cat,Affection,No
wprr,Dog,Food,Yes
xlrx,Cat,Affection,Yes
svia,Dog,Affection,Yes
hsxq,Cat,Affection,Yes
farx,Dog,Affection,Yes
oksg,Cat,Food,Yes
oyqk,Dog,Food,Yes
akmg,Cat,Affection,No
qacb,Cat,Affection,No
jfim,Cat,Affection,No
qayh,Cat,Affection,Yes
iikc,Cat,Food,Yes
ebjf,Dog,Food,Yes
evfh,Cat,Affection,No
fibv,Cat,Affection,No
ljjp,Cat,Affection,No
lxrl,Cat,Affection,No
cfyf,Cat,Affection,No
gvwq,Cat,Affection,No
uodv,Cat,Affection,No
dkbx,Dog,Food,Yes
jbiq,Dog,Food,No
kkxc,Dog,Affection,Yes
rhwd,Cat,Affection,No
yorp,Dog,Food,No
bmik,Cat,Affection,No
urtg,Cat,Affection,No
jtna,Cat,Food,Yes
ftrb,Cat,Affection,Yes
exgu,Cat,Affection,No
dqbx,Cat,Affection,No
pbws,Cat,Affection,Yes
piwn,Cat,Affection,No
gslr,Cat,Affection,Yes
yiaj,Cat,Affection,No
jkpc,Dog,Affection,No
mvbk,Cat,Affection,Yes
deqn,Dog,Food,Yes
heih,Cat,Affection,No
ugvw,Dog,Affection,No
cmvi,Dog,Food,Yes
tvfb,Cat,Food,No
lcln,Cat,Food,No
xgag,Cat,Affection,No
ycjs,Dog,Affection,Yes
nvic,Dog,Food,Yes
iuvt,Cat,Affection,No
ukab,Cat,Affection,No
wuaa,Cat,Affection,Yes
vrtv,Cat,Affection,No
lbck,Dog,Affection,Yes
tsjr,Dog,Food,Yes
bspi,Dog,Affection,Yes
cgsj,Cat,Affection,Yes
vvtm,Cat,Affection,Yes
wvfr,Dog,Food,Yes
iepa,Cat,Food,Yes
iaxf,Cat,Affection,Yes
hrok,Cat,Food,Yes
mdpr,Cat,Food,Yes
cuoh,Dog,Food,Yes
vbjh,Cat,Affection,No
rgic,Cat,Affection,No
rmah,Cat,Affection,No
plgv,Dog,Affection,Yes
pjma,Cat,Affection,Yes
rqla,Cat,Affection,Yes
gege,Cat,Affection,No
milk,Cat,Affection,No
okan,Cat,Affection,No
lelv,Dog,Affection,Yes
fkqu,Cat,Food,No
ockb,Cat,Affection,Yes
tsts,Cat,Affection,No
