id,neurotic,extroversion,agreeableness,conscientiousness,instrument
vlra,39,38,31,12,Singer
vpwk,6,38,27,12,Singer
islk,17,39,32,13,Singer
ftdg,28,35,39,13,Singer
fssy,26,35,46,14,Singer
xhcl,17,37,28,15,Singer
adie,14,36,33,14,Singer
awan,27,38,58,17,Singer
kdri,2,39,33,16,Singer
elic,26,38,25,18,Singer
afmq,21,39,33,14,Singer
saen,18,41,37,19,Singer
anir,22,38,45,20,Singer
ymgk,13,35,37,18,Singer
gjca,40,35,23,21,Singer
tpid,19,36,NA,24,Singer
whnf,14,41,33,25,Singer
okcm,14,35,38,25,Singer
wajp,15,34,43,25,Singer
keuc,30,34,45,25,Singer
tdcl,15,34,30,25,Singer
iofh,19,39,47,26,Singer
trgg,13,43,28,27,Singer
dnbh,4,35,43,27,Singer
iffr,12,34,47,27,Singer
nrtt,2,34,44,28,Singer
cner,28,37,47,28,Singer
hvjw,14,36,21,28,Singer
epeq,17,38,NA,29,Singer
ubrt,26,36,41,29,Singer
vlkh,16,35,43,29,Singer
ybvi,28,36,45,29,Singer
mgrl,21,38,45,29,Singer
fxoy,17,34,49,29,Singer
jsol,16,35,49,29,Singer
gbbw,38,43,49,29,Singer
wlma,20,37,41,30,Singer
byrw,33,35,43,30,Singer
udkh,42,34,44,30,Singer
ynoa,19,35,46,30,Singer
tmhy,19,35,46,30,Singer
rkwc,27,35,49,30,Singer
qrqw,12,41,36,31,Singer
riem,11,35,39,31,Singer
nsdv,20,42,46,31,Singer
ukhe,28,34,47,31,Singer
tuje,23,35,47,31,Singer
ahlx,18,42,49,31,Singer
jgll,13,36,30,31,Singer
qbjw,25,36,54,31,Singer
fatj,23,36,41,32,Singer
xmfg,27,39,42,32,Singer
lahb,30,34,44,32,Singer
obho,37,36,45,32,Singer
oxvy,10,36,48,32,Singer
wbwr,3,34,49,32,Singer
bvmw,21,38,49,25,Singer
orte,10,38,30,25,Singer
ybrt,24,41,32,25,Singer
vumy,24,41,31,27,Singer
kpol,9,35,29,27,Singer
sdnq,8,43,22,27,Singer
yfkm,31,37,21,28,Singer
ubqn,7,37,40,28,Singer
hhlj,19,38,41,29,Singer
gplx,42,43,44,29,Singer
kpds,19,36,30,29,Singer
mpce,24,44,31,29,Singer
xpuc,26,45,35,29,Singer
dcvi,14,36,15,29,Singer
gjwl,14,36,16,29,Singer
pxhv,10,39,44,29,Singer
ifnd,23,34,45,29,Singer
uxia,16,34,46,29,Singer
efmj,15,34,50,30,Singer
mdyw,15,34,30,29,Singer
yqxl,31,37,26,34,Singer
motw,30,52,24,28,Singer
fklh,30,65,22,24,Singer
scpr,30,42,51,24,Singer
ygvq,22,37,55,24,Singer
hppn,15,46,37,25,Singer
lhwh,12,34,38,25,Singer
tysx,20,38,30,25,Singer
qura,18,42,50,25,Singer
gxkh,36,38,56,35,Singer
kajl,19,36,30,31,Singer
bvtj,19,37,21,31,Singer
xmim,36,35,54,32,Singer
rpkr,27,45,55,23,Singer
ukxf,22,38,49,20,Singer
mfsp,23,41,35,22,Singer
dpfa,18,34,46,23,Singer
vocb,15,35,47,24,Singer
hkqt,37,37,23,24,Singer
sssw,15,38,25,25,Singer
mhbf,28,36,30,28,Singer
ioio,10,36,30,27,Singer
gdhq,10,38,26,28,Singer
gjac,10,38,25,27,Singer
ohic,19,35,61,27,Singer
xuvs,16,39,25,28,Singer
ysox,20,40,58,28,Singer
hant,14,38,30,28,Singer
fyjh,2,35,22,28,Singer
otbs,0,41,34,33,Singer
qtjv,25,38,45,34,Singer
kbbc,25,38,47,43,Singer
pmrr,19,34,55,31,Guitar
fcqj,12,40,63,32,Guitar
qmyo,36,26,NA,34,Guitar
qwst,30,30,41,34,Guitar
wssn,34,13,42,34,Guitar
hcbk,20,24,43,34,Guitar
siku,41,30,43,34,Guitar
bgul,12,26,45,34,Guitar
oqvx,12,26,45,34,Guitar
hura,25,26,45,34,Guitar
wjyj,23,25,48,34,Guitar
idnv,20,33,48,34,Guitar
eufm,16,29,49,34,Guitar
utfl,23,26,50,34,Guitar
pxpj,24,33,50,34,Guitar
idtd,41,30,51,34,Guitar
qlap,25,31,55,34,Guitar
netu,28,29,58,34,Guitar
uyao,28,29,58,34,Guitar
bljm,44,18,67,34,Guitar
cisb,19,33,34,35,Guitar
pfwc,25,28,43,35,Guitar
bmyf,24,28,46,35,Guitar
bnrl,10,32,46,35,Guitar
pyab,28,19,48,35,Guitar
axgn,15,33,48,35,Guitar
numt,25,28,49,35,Guitar
wddx,21,33,54,35,Guitar
tmmj,8,29,56,35,Guitar
uqcy,27,25,57,35,Guitar
kvro,14,32,57,35,Guitar
eeca,14,32,57,35,Guitar
urlc,27,30,43,36,Guitar
cfpy,39,24,44,36,Guitar
wcvb,11,32,45,36,Guitar
febg,23,26,46,36,Guitar
aien,15,31,46,36,Guitar
caat,23,30,47,36,Guitar
xrbd,21,30,47,36,Guitar
ptta,19,31,47,36,Guitar
pnyv,24,32,49,36,Guitar
rcew,26,28,50,36,Guitar
faic,14,32,50,36,Guitar
yoey,22,30,51,36,Guitar
xydv,34,20,53,36,Guitar
xlpq,36,27,53,36,Guitar
eehu,22,23,54,36,Guitar
lioe,32,33,57,36,Guitar
ldei,25,24,46,37,Guitar
vphq,27,32,46,37,Guitar
iomh,19,29,50,37,Guitar
smng,24,33,50,37,Guitar
bmfc,30,27,51,37,Guitar
bbwo,26,33,56,37,Guitar
wbsi,16,25,39,38,Guitar
woqu,35,16,51,38,Guitar
hyjj,27,26,51,38,Guitar
kdvk,20,17,54,38,Guitar
byto,33,27,60,38,Guitar
wxce,33,27,60,38,Guitar
dyen,31,32,44,39,Guitar
pugp,36,17,47,39,Guitar
irst,13,30,51,39,Guitar
vwsk,21,31,51,39,Guitar
cyki,25,24,54,39,Guitar
uuei,11,28,54,39,Guitar
hfeo,20,24,55,39,Guitar
wyuw,20,24,57,39,Guitar
qetq,25,36,61,39,Guitar
qbua,10,37,62,39,Guitar
rnkm,40,30,37,40,Guitar
dlvd,40,23,50,40,Guitar
ntjs,8,27,55,40,Guitar
mhci,8,27,55,40,Guitar
qyya,24,31,55,40,Guitar
ohyf,30,30,56,40,Guitar
cmno,13,32,41,41,Guitar
wgje,5,31,43,41,Guitar
xkkx,22,33,50,41,Guitar
btkw,21,33,53,41,Guitar
mhve,23,31,58,41,Guitar
ybba,40,19,59,41,Guitar
beyh,24,33,51,42,Guitar
cemi,21,19,54,42,Guitar
awae,19,31,57,42,Guitar
ldqp,20,34,60,42,Guitar
rjsl,17,35,61,42,Guitar
xopg,7,38,62,42,Guitar
nshq,30,29,59,43,Guitar
