id,creativity,position,novice
lnwe,53,1,First time
vxob,36,3,Previous entrant
qpli,31,4,First time
pwsq,43,2,First time
xafq,30,4,Previous entrant
njra,41,1,First time
lxty,32,4,First time
dxcw,54,1,Previous entrant
uxgp,47,2,Previous entrant
dvew,50,2,First time
wyus,56,1,First time
jvpx,50,1,First time
otel,34,1,Previous entrant
nxlb,41,4,First time
qxjp,52,5,First time
lxiw,38,1,First time
ghce,35,2,Previous entrant
pfqp,35,3,Previous entrant
yrlr,48,1,First time
qayv,38,1,Previous entrant
xksh,43,2,Previous entrant
vufh,38,3,Previous entrant
kmtg,39,1,Previous entrant
awrp,51,1,First time
faoe,26,3,First time
lypi,31,4,Previous entrant
ylhs,45,1,First time
ltkn,31,3,First time
dtwx,34,2,Previous entrant
ygda,35,5,Previous entrant
suuc,39,2,Previous entrant
rlye,50,2,Previous entrant
dogd,53,1,Previous entrant
kkpm,38,2,First time
lyof,37,3,First time
oujc,34,2,Previous entrant
eitu,30,1,First time
fole,46,6,First time
lwmv,36,2,Previous entrant
meoc,26,1,Previous entrant
srus,41,1,Previous entrant
siyd,50,6,Previous entrant
pijk,43,1,First time
knpi,54,2,First time
kxha,39,1,Previous entrant
nbcl,51,2,First time
udwp,47,1,First time
khwa,38,3,Previous entrant
ames,32,1,First time
yftp,28,4,Previous entrant
qiie,39,1,First time
bjhg,42,1,Previous entrant
kwav,44,2,First time
stmi,21,5,Previous entrant
pkth,43,1,Previous entrant
fsbs,39,3,Previous entrant
xgcv,42,1,Previous entrant
jngi,35,2,First time
eabo,52,1,First time
tbld,39,1,First time
wpsb,45,1,First time
cgkl,25,4,Previous entrant
yday,41,1,Previous entrant
oglt,35,3,Previous entrant
uxtb,27,3,First time
rqvb,44,4,First time
tgrj,37,3,Previous entrant
bfuq,40,1,Previous entrant
