id,burnout,control,coping,teaching,research,pastoral
mplb,Not burnt out,7.647058823529412,9.16030534351145,32.72727272727273,87.5,31.48148148148148
jfcy,Not burnt out,6.470588235294119,12.977099236641221,52.72727272727272,66.66666666666666,68.51851851851852
lpyg,Not burnt out,8.823529411764707,9.16030534351145,49.09090909090909,60.416666666666664,53.70370370370371
orha,Not burnt out,20,9.16030534351145,52.72727272727272,62.5,50
fqsh,Not burnt out,6.470588235294119,19.083969465648856,43.63636363636363,79.16666666666666,40.74074074074074
gmgq,Not burnt out,7.0588235294117645,16.030534351145036,38.18181818181819,52.083333333333336,48.148148148148145
jnla,Not burnt out,8.235294117647058,16.793893129770993,16.363636363636363,58.333333333333336,37.03703703703704
cfpy,Not burnt out,13.529411764705882,7.633587786259542,43.63636363636363,70.83333333333334,35.18518518518518
ohhv,Not burnt out,8.823529411764707,9.16030534351145,41.81818181818181,81.25,46.2962962962963
ovud,Not burnt out,7.0588235294117645,13.740458015267176,56.36363636363636,77.08333333333334,62.96296296296296
urxx,Not burnt out,12.352941176470589,12.213740458015266,58.18181818181818,81.25,48.148148148148145
vvcw,Not burnt out,12.352941176470589,14.50381679389313,40,39.58333333333333,53.70370370370371
rorl,Not burnt out,7.0588235294117645,35.11450381679389,63.63636363636363,64.58333333333334,61.111111111111114
iksy,Not burnt out,9.411764705882353,9.923664122137405,36.36363636363637,41.66666666666667,37.03703703703704
iyce,Not burnt out,11.76470588235294,19.84732824427481,67.27272727272727,60.416666666666664,70.37037037037037
sasf,Not burnt out,14.117647058823529,9.923664122137405,49.09090909090909,79.16666666666666,33.33333333333333
osjg,Not burnt out,24.705882352941178,6.870229007633588,40,95.83333333333334,24.074074074074073
nqfo,Not burnt out,11.176470588235295,9.16030534351145,45.45454545454545,79.16666666666666,48.148148148148145
huqj,Not burnt out,8.235294117647058,9.923664122137405,32.72727272727273,79.16666666666666,62.96296296296296
tdlc,Not burnt out,17.647058823529413,11.450381679389313,60,39.58333333333333,77.77777777777779
nlhy,Not burnt out,6.470588235294119,12.213740458015266,50.90909090909091,70.83333333333334,48.148148148148145
qlun,Not burnt out,16.470588235294116,7.633587786259542,58.18181818181818,81.25,44.44444444444444
trxu,Not burnt out,19.411764705882355,11.450381679389313,58.18181818181818,77.08333333333334,48.148148148148145
gllh,Not burnt out,9.411764705882353,19.083969465648856,56.36363636363636,72.91666666666666,61.111111111111114
suwg,Not burnt out,10,24.427480916030532,43.63636363636363,39.58333333333333,40.74074074074074
bkdj,Not burnt out,10.588235294117647,15.267175572519085,58.18181818181818,77.08333333333334,53.70370370370371
wixd,Not burnt out,10.588235294117647,10.687022900763358,41.81818181818181,56.25,42.592592592592595
fxfc,Not burnt out,6.470588235294119,32.82442748091603,50.90909090909091,75,51.85185185185185
suep,Not burnt out,12.352941176470589,10.687022900763358,49.09090909090909,56.25,18.51851851851852
jbyg,Not burnt out,6.470588235294119,12.977099236641221,25.454545454545453,62.5,57.407407407407405
kurp,Not burnt out,8.235294117647058,35.11450381679389,63.63636363636363,77.08333333333334,46.2962962962963
ebtx,Not burnt out,7.0588235294117645,15.267175572519085,40,56.25,40.74074074074074
atvc,Not burnt out,20,10.687022900763358,69.0909090909091,85.41666666666666,59.25925925925925
lgxn,Not burnt out,11.176470588235295,16.793893129770993,49.09090909090909,77.08333333333334,64.81481481481481
brag,Not burnt out,7.0588235294117645,12.977099236641221,49.09090909090909,50,72.22222222222221
akgn,Not burnt out,12.352941176470589,21.374045801526716,56.36363636363636,54.166666666666664,64.81481481481481
vddm,Not burnt out,25.882352941176475,6.870229007633588,52.72727272727272,68.75,44.44444444444444
ddon,Not burnt out,31.176470588235293,4.580152671755725,49.09090909090909,75,42.592592592592595
gunq,Not burnt out,9.411764705882353,9.923664122137405,41.81818181818181,39.58333333333333,37.03703703703704
upsd,Not burnt out,8.235294117647058,9.923664122137405,47.27272727272727,31.25,85.18518518518519
wtlw,Not burnt out,8.235294117647058,50.38167938931297,81.81818181818183,50,88.88888888888889
japa,Not burnt out,37.64705882352941,5.343511450381679,72.72727272727273,29.166666666666668,48.148148148148145
lwhb,Not burnt out,14.117647058823529,8.396946564885496,47.27272727272727,45.83333333333333,46.2962962962963
bydh,Not burnt out,12.941176470588237,13.740458015267176,45.45454545454545,58.333333333333336,37.03703703703704
vviy,Not burnt out,7.0588235294117645,37.404580152671755,67.27272727272727,41.66666666666667,74.07407407407408
nnft,Not burnt out,6.470588235294119,11.450381679389313,47.27272727272727,75,44.44444444444444
tqds,Not burnt out,17.058823529411764,11.450381679389313,63.63636363636363,56.25,68.51851851851852
maff,Not burnt out,7.0588235294117645,23.66412213740458,60,75,50
vagu,Not burnt out,8.823529411764707,10.687022900763358,60,62.5,61.111111111111114
dlkb,Not burnt out,9.411764705882353,21.374045801526716,58.18181818181818,64.58333333333334,75.92592592592592
cijl,Not burnt out,6.470588235294119,45.80152671755725,63.63636363636363,66.66666666666666,48.148148148148145
ihsp,Not burnt out,10,45.038167938931295,78.18181818181819,54.166666666666664,53.70370370370371
kvgc,Not burnt out,32.94117647058823,4.580152671755725,40,60.416666666666664,37.03703703703704
xfla,Not burnt out,8.823529411764707,12.213740458015266,54.54545454545454,43.75,68.51851851851852
lpcp,Not burnt out,6.470588235294119,10.687022900763358,27.27272727272727,56.25,31.48148148148148
xaew,Not burnt out,8.235294117647058,9.923664122137405,38.18181818181819,56.25,37.03703703703704
htpw,Not burnt out,11.76470588235294,16.030534351145036,38.18181818181819,39.58333333333333,57.407407407407405
qflx,Not burnt out,6.470588235294119,15.267175572519085,47.27272727272727,95.83333333333334,48.148148148148145
mrsq,Not burnt out,14.117647058823529,21.374045801526716,50.90909090909091,68.75,75.92592592592592
dhix,Not burnt out,31.176470588235293,5.343511450381679,69.0909090909091,41.66666666666667,53.70370370370371
oxju,Not burnt out,8.235294117647058,11.450381679389313,40,62.5,50
gaoq,Not burnt out,14.705882352941178,11.450381679389313,43.63636363636363,70.83333333333334,42.592592592592595
ofri,Not burnt out,14.705882352941178,9.16030534351145,54.54545454545454,43.75,50
sjlu,Not burnt out,20,20.610687022900763,70.9090909090909,68.75,68.51851851851852
qpuf,Not burnt out,16.470588235294116,19.083969465648856,52.72727272727272,62.5,38.88888888888889
qler,Not burnt out,7.647058823529412,13.740458015267176,34.54545454545455,79.16666666666666,24.074074074074073
kppu,Not burnt out,18.235294117647058,6.870229007633588,60,56.25,48.148148148148145
kbfh,Not burnt out,7.0588235294117645,9.923664122137405,32.72727272727273,52.083333333333336,55.55555555555556
sobj,Not burnt out,6.470588235294119,11.450381679389313,47.27272727272727,68.75,72.22222222222221
yhja,Not burnt out,11.76470588235294,9.16030534351145,40,68.75,62.96296296296296
blbh,Not burnt out,12.352941176470589,58.778625954198475,80,47.91666666666667,77.77777777777779
cgks,Not burnt out,7.647058823529412,12.213740458015266,40,93.75,38.88888888888889
nwcl,Not burnt out,15.88235294117647,19.84732824427481,47.27272727272727,72.91666666666666,62.96296296296296
lkby,Not burnt out,22.941176470588236,6.106870229007633,41.81818181818181,77.08333333333334,37.03703703703704
dkyx,Not burnt out,21.176470588235293,22.137404580152673,52.72727272727272,66.66666666666666,68.51851851851852
edwt,Not burnt out,9.411764705882353,9.16030534351145,56.36363636363636,66.66666666666666,55.55555555555556
djql,Not burnt out,13.529411764705882,48.854961832061065,56.36363636363636,62.5,74.07407407407408
kkak,Not burnt out,7.0588235294117645,9.16030534351145,45.45454545454545,87.5,44.44444444444444
fjem,Not burnt out,7.0588235294117645,12.977099236641221,54.54545454545454,72.91666666666666,66.66666666666666
ejpv,Not burnt out,11.176470588235295,9.16030534351145,54.54545454545454,68.75,38.88888888888889
cxhl,Not burnt out,11.176470588235295,10.687022900763358,45.45454545454545,77.08333333333334,53.70370370370371
elvb,Not burnt out,6.470588235294119,10.687022900763358,43.63636363636363,56.25,50
olos,Not burnt out,10.588235294117647,9.16030534351145,36.36363636363637,56.25,44.44444444444444
ukcg,Not burnt out,8.823529411764707,9.16030534351145,49.09090909090909,52.083333333333336,59.25925925925925
wniw,Not burnt out,11.176470588235295,9.16030534351145,52.72727272727272,60.416666666666664,61.111111111111114
mgqk,Not burnt out,19.411764705882355,8.396946564885496,50.90909090909091,60.416666666666664,72.22222222222221
mwwn,Not burnt out,8.823529411764707,19.083969465648856,65.45454545454545,62.5,48.148148148148145
qimd,Not burnt out,6.470588235294119,9.923664122137405,50.90909090909091,60.416666666666664,59.25925925925925
dicr,Not burnt out,14.117647058823529,7.633587786259542,21.818181818181817,68.75,24.074074074074073
rujb,Not burnt out,15.294117647058824,19.84732824427481,72.72727272727273,56.25,51.85185185185185
qheb,Not burnt out,6.470588235294119,18.3206106870229,41.81818181818181,45.83333333333333,48.148148148148145
elwy,Not burnt out,7.647058823529412,13.740458015267176,49.09090909090909,62.5,75.92592592592592
ldon,Not burnt out,7.0588235294117645,9.16030534351145,40,60.416666666666664,46.2962962962963
nfsf,Not burnt out,7.647058823529412,12.977099236641221,45.45454545454545,75,46.2962962962963
gcgl,Not burnt out,6.470588235294119,34.35114503816794,60,89.58333333333334,59.25925925925925
lcws,Not burnt out,8.823529411764707,14.50381679389313,52.72727272727272,56.25,64.81481481481481
exbt,Not burnt out,17.058823529411764,7.633587786259542,49.09090909090909,62.5,55.55555555555556
arti,Not burnt out,6.470588235294119,29.00763358778626,43.63636363636363,39.58333333333333,53.70370370370371
fsyp,Not burnt out,7.0588235294117645,12.977099236641221,40,83.33333333333334,59.25925925925925
vrkx,Not burnt out,12.941176470588237,13.740458015267176,58.18181818181818,64.58333333333334,57.407407407407405
euwa,Not burnt out,7.0588235294117645,22.137404580152673,56.36363636363636,47.91666666666667,64.81481481481481
ftkp,Not burnt out,16.470588235294116,38.93129770992366,61.81818181818181,56.25,51.85185185185185
vtet,Not burnt out,8.235294117647058,34.35114503816794,56.36363636363636,43.75,46.2962962962963
euio,Not burnt out,20.588235294117645,11.450381679389313,52.72727272727272,54.166666666666664,35.18518518518518
cckc,Not burnt out,9.411764705882353,17.557251908396946,54.54545454545454,75,38.88888888888889
rooa,Not burnt out,10,18.3206106870229,61.81818181818181,83.33333333333334,55.55555555555556
eceg,Not burnt out,21.764705882352942,7.633587786259542,47.27272727272727,64.58333333333334,42.592592592592595
walp,Not burnt out,66.47058823529412,20.610687022900763,65.45454545454545,41.66666666666667,37.03703703703704
ejas,Not burnt out,7.0588235294117645,12.213740458015266,47.27272727272727,70.83333333333334,66.66666666666666
oqnf,Not burnt out,11.176470588235295,13.740458015267176,52.72727272727272,64.58333333333334,48.148148148148145
afix,Not burnt out,7.647058823529412,15.267175572519085,58.18181818181818,58.333333333333336,55.55555555555556
hirp,Not burnt out,10.588235294117647,9.16030534351145,38.18181818181819,68.75,59.25925925925925
wubb,Not burnt out,8.235294117647058,22.137404580152673,50.90909090909091,56.25,61.111111111111114
xdhu,Not burnt out,13.529411764705882,9.16030534351145,38.18181818181819,60.416666666666664,55.55555555555556
tyuh,Not burnt out,7.647058823529412,46.56488549618321,69.0909090909091,52.083333333333336,53.70370370370371
whyk,Not burnt out,7.0588235294117645,9.923664122137405,47.27272727272727,54.166666666666664,57.407407407407405
ckbe,Not burnt out,9.411764705882353,12.213740458015266,30.909090909090907,47.91666666666667,46.2962962962963
