groups,paired,egg_percent,duration,latency,efficiency
Fetishistics,Paired,50,46,12,22.22
Fetishistics,Paired,71.42857143,33,15,22.22
Fetishistics,Paired,80,55,16,14.29
Fetishistics,Paired,50,46,17,12.5
Fetishistics,Paired,0,40,15,16.67
Fetishistics,Paired,40,30,10,18.18
Fetishistics,Paired,50,30,15,12.5
Fetishistics,Paired,70,33,12,12.5
Fetishistics,Paired,0,38,10,18.18
Fetishistics,Paired,44.44444444,45,12,16.67
Fetishistics,Paired,50,58,16,18.18
Fetishistics,Paired,60,44,12,16.67
Fetishistics,Paired,75,42,12,18.18
Fetishistics,Paired,40,46,16,12.5
Fetishistics,Paired,40,44,14,14.29
Fetishistics,Paired,100,45,15,12.5
Fetishistics,Paired,40,66,16,11.11
NonFetishistics,Paired,40,30,7,28.57
NonFetishistics,Paired,40,30,5,25
NonFetishistics,Paired,50,28,2,25
NonFetishistics,Paired,0,30,6,22.22
NonFetishistics,Paired,20,42,6,28.57
NonFetishistics,Paired,40,33,4,20
NonFetishistics,Paired,30,40,4,25
NonFetishistics,Paired,44.44444444,32,7,20
NonFetishistics,Paired,44.44444444,32,5,25
NonFetishistics,Paired,40,29,2,18.18
NonFetishistics,Paired,40,30,3,4.35
NonFetishistics,Paired,20,26,4,25
NonFetishistics,Paired,0,36,6,20
NonFetishistics,Paired,30,37,7,25
NonFetishistics,Paired,40,40,5,25
Control,Unpaired,50,20,30,12.5
Control,Unpaired,0,15,15,16.67
Control,Unpaired,40,12,15,18.18
Control,Unpaired,50,20,33,18.18
Control,Unpaired,30,15,40,12.5
Control,Unpaired,0,9,42,18.18
Control,Unpaired,40,8,23,16.67
Control,Unpaired,40,20,41,18.18
Control,Unpaired,37.5,10,50,33.33
Control,Unpaired,50,8,12,11.11
Control,Unpaired,0,9,13,12.5
Control,Unpaired,0,25,12,14.29
Control,Unpaired,0,20,19,12.5
Control,Unpaired,30,10,15,11.11
Control,Unpaired,0,5,8,28.57
Control,Unpaired,30,25,5,20
Control,Unpaired,20,6,6,18.18
Control,Unpaired,30,20,25,12.5
Control,Unpaired,0,12,12,18.18
Control,Unpaired,62.5,10,51,18.18
Control,Unpaired,40,6,12,0
Control,Unpaired,50,4,23,33.33
Control,Unpaired,33.33333333,25,35,11.11
Control,Unpaired,0,12,12,12.5
Control,Unpaired,0,8,14,14.29
Control,Unpaired,40,15,15,11.11
Control,Unpaired,50,25,41,25
