age,sex,stu_neurotic,stu_extro,stu_open,stu_agree,stu_consc,lec_neurotic,lec_extro,lec_open,lec_agree,lec_consc
NA,Female,33,35,26,43,30,-14,NA,3,6,10
NA,Female,18,29,19,31,27,-17,NA,4,19,9
18,Female,35,29,30,45,26,-30,NA,13,15,25
18,Female,38,43,17,49,29,-24,NA,2,9,8
NA,Female,30,30,29,56,40,-21,NA,11,21,12
NA,Female,19,31,31,35,22,-22,NA,2,13,8
19,Female,33,27,33,60,38,-30,NA,10,15,11
NA,Male,30,31,25,60,28,-23,NA,15,15,24
18,Female,30,23,26,48,27,-25,NA,5,7,18
18,Male,13,28,34,48,29,-30,NA,10,9,7
18,Female,37,36,37,45,32,-29,NA,28,25,16
18,Male,23,25,25,48,34,-13,NA,5,4,NA
18,Male,21,20,24,38,26,-18,NA,6,13,8
0,Female,30,28,21,41,25,0,NA,16,22,21
18,Female,8,27,34,55,40,-26,NA,17,22,29
18,Female,21,28,38,37,27,-30,NA,20,20,20
18,Female,40,30,23,37,40,-23,NA,10,1,6
NA,Female,28,36,40,45,29,-5,NA,24,22,19
18,Female,40,24,20,35,21,-29,NA,8,21,18
17,Female,30,42,16,51,34,-26,NA,12,24,21
18,Male,31,13,20,47,27,-30,NA,-4,9,27
NA,Female,41,30,37,51,34,-26,NA,0,14,16
18,Female,25,30,19,50,31,-28,NA,17,23,17
18,Female,37,21,35,45,24,-30,NA,28,8,17
19,Male,14,36,27,NA,34,-27,NA,11,7,14
18,Male,17,33,32,53,31,-17,NA,6,2,12
17,Male,10,38,26,52,39,-22,NA,-6,15,8
18,Female,28,29,25,58,34,-24,NA,6,10,15
18,Female,19,35,23,46,30,-24,NA,13,18,22
NA,Male,33,31,30,36,28,-24,NA,19,17,14
18,Male,15,34,37,43,25,-17,NA,11,2,10
18,Female,20,24,25,57,39,-29,NA,2,26,20
18,Female,15,34,35,50,34,-24,NA,22,-3,20
18,Male,25,38,20,47,58,0,NA,0,6,4
NA,Male,28,33,30,46,23,-19,NA,2,3,17
18,Male,26,26,28,NA,25,-1,NA,5,10,1
18,Female,26,35,30,51,33,-27,NA,11,20,18
18,Female,16,29,33,49,34,-30,NA,13,19,11
18,Female,21,38,36,45,29,-22,NA,15,14,25
