family_id,child_age,child_gender,child_warmth,child_anger,mum_pos,mum_neg,chaos,sdq
201,58,male,4.5,4,46,12,2.25,1.3
202,58,female,5.833333333333333,3,41,11,2,1
203,57,male,6,2,45,10,3.583333333333333,1.32
204,62,male,5.166666666666667,4.2,34,12,2.166666666666667,1.2
205,60,male,6,4.666666666666667,39,18,2.166666666666667,1.4066666666666667
206,52,female,5.333333333333333,5.8,41,11,2.25,1.04
207,67,female,6,4,43,12,2.75,1.38
208,61,female,NA,NA,46,7,NA,NA
209,64,female,4.666666666666667,2.6666666666666665,41,10,1.9166666666666665,1.56
210,54,male,4.4,3.3333333333333335,36,15,3.1666666666666665,1.16
211,64,female,6,4,50,14,2.5,1.3399999999999999
212,62,male,4,3.5,33,17,2.8333333333333335,0.98
213,56,female,NA,NA,48,14,1.9166666666666665,1.1400000000000001
214,63,female,5.2,2,41,12,1.5,1.16
215,62,female,4,4.5,44,10,1.75,1.2000000000000002
216,59,female,6,4.2,49,8,2.833333333333333,1.3399999999999999
217,64,male,4,2.6666666666666665,46,19,2.5,1.4
218,56,male,6,4.4,49,12,2.416666666666667,1.42
219,61,male,5.833333333333333,6,43,11,NA,NA
220,65,male,6,2.1666666666666665,37,10,2.416666666666667,1.2000000000000002
221,57,female,4.666666666666667,2.5,41,11,3.5,1.62
222,64,female,6,2.5,34,10,1.5833333333333335,1.12
223,57,female,5.5,3.6666666666666665,38,9,2,1.34
224,61,male,NA,NA,46,15,NA,NA
225,64,female,5.5,2,41,10,1.9166666666666665,1.2200000000000002
226,62,female,NA,NA,NA,NA,3.5833333333333335,1.2200000000000002
227,62,female,NA,NA,NA,NA,NA,NA
228,63,male,NA,NA,42,11,1.75,1.48
229,63,female,5,4,40,10,2.833333333333333,1.1400000000000001
230,68,male,6,2.5,43,7,1.5833333333333333,1.2
231,65,female,5.166666666666667,5.666666666666667,43,12,3.583333333333333,1.1400000000000001
232,68,male,6,2,38,13,2.3333333333333335,1.2400000000000002
233,67,male,6,3,46,10,2.5,1.04
234,59,female,6,4,41,9,2,1.4
235,66,male,NA,NA,31,10,NA,NA
236,68,male,6,3.1666666666666665,43,8,1.9166666666666665,1.12
237,73,male,6.166666666666667,2.5,41,10,2.25,1.1400000000000001
238,73,male,5.333333333333333,5.333333333333333,38,18,2.583333333333333,1.52
239,66,female,NA,NA,42,16.25,NA,NA
240,81,male,6,2.6666666666666665,45,12,1.9166666666666665,1.2
241,52,female,6,2.8333333333333335,41,13,2.666666666666667,1.38
242,57,male,6,5.5,39,10,2.583333333333333,1.48
243,50,female,5.166666666666667,6.166666666666667,43,13,2.833333333333333,1.2999999999999998
244,63,male,6,2.6666666666666665,44,10,2.0833333333333335,1.2000000000000002
245,53,female,NA,NA,45,12,2.75,1.24
246,53,male,6,2,46,12,2,1.2000000000000002
247,61,female,5.333333333333333,3.3333333333333335,40,11,2.5,1.24
248,63,female,6,2,40,10,2.5,1.04
249,60,male,NA,NA,39,12,2.3333333333333335,1.2
250,60,female,6,3.3333333333333335,37,13,2.5,1.24
251,79,female,5.833333333333333,2,39,18,3,1.1600000000000001
252,54,female,3.3333333333333335,2.8333333333333335,37,18,2.25,1.6400000000000001
253,66,female,5.333333333333333,3.1666666666666665,NA,NA,2.083333333333333,1.2
254,52,male,3.3333333333333335,4.666666666666667,43,12,2.583333333333333,1.32
255,62,female,5.166666666666667,3.5,40,14,2.166666666666667,1.18
256,46,male,5.333333333333333,3.6666666666666665,42,13,2.5,1.2799999999999998
257,62,male,5.5,3.3333333333333335,39,10,2.583333333333333,1.1400000000000001
258,63,female,NA,NA,45,13,NA,NA
259,67,male,5.333333333333333,5.5,43,11,2.1666666666666665,1.3399999999999999
260,60,female,5.333333333333333,2,40,12,2.75,1.28
261,65,female,6.166666666666667,2.6666666666666665,41,18,1.5,1.12
262,54,female,4,2.8,42,23,3.25,1.1400000000000001
263,61,female,NA,NA,47,8,3.583333333333333,1.3599999999999999
264,74,male,4.666666666666667,3.6666666666666665,35,15,3.5,2.1399999999999997
265,66,female,6,3,42,16,1.9166666666666665,1.4408695652173913
266,77,male,NA,NA,38,10,NA,NA
267,74,male,6,NA,41,13,NA,NA
268,70,female,6,2.1666666666666665,43,9,2.5,1.26
269,69,male,5.333333333333333,2.3333333333333335,42,11,2.916666666666667,1.2999999999999998
270,68,male,5.333333333333333,2,38,13,2.833333333333333,1.44
271,79,female,6,2.6666666666666665,46,9,1.9166666666666665,1.36
272,61,female,NA,NA,42,10,3,1.52
273,65,male,5.333333333333333,2,41,17,2.6666666666666665,1.2999999999999998
274,69,male,2.6666666666666665,3.5,42,15,2.333333333333333,1.1800000000000002
275,68,female,NA,NA,45,10,NA,NA
276,60,female,6.166666666666667,3.1666666666666665,37,13,2.25,1.1600000000000001
277,71,female,6,4.666666666666667,42,13,2.4166666666666665,1.2999999999999998
278,68,male,5.166666666666667,3.3333333333333335,44,14,1.5833333333333335,1.6
279,60,female,6,3.3333333333333335,42.5,11,1.25,1.22
280,62,female,6,2.1666666666666665,44,15,1.75,1.5091666666666668
281,71,female,6.166666666666667,3.1666666666666665,39,14,3.0833333333333335,1.44
282,82,male,4.666666666666667,3.3333333333333335,36,10,2,1.2
283,59,male,NA,NA,37.77777777777778,7,2.5,1.4
284,74,female,5.5,4,38,10,1.75,1.2
285,68,female,5.166666666666667,4.5,39,10,1.9166666666666665,1.1400000000000001
286,74,female,5.8,3.3333333333333335,44,16,2.25,1.18
287,67,female,5.333333333333333,3,44,16,2.75,1.1400000000000001
288,61,male,3.3333333333333335,5.166666666666667,44,11,3.333333333333333,1.5133333333333334
289,68,male,5.333333333333333,1.8333333333333333,37,14,2.5833333333333335,1.6400000000000001
290,72,female,6.166666666666667,3.6,44,13,2.25,1.48
291,62,female,3.5,4,38,18,2.666666666666667,1.4
292,78,female,6,2.5,46,11,2.916666666666667,1.46
293,80,male,5.833333333333333,4,45,13,2.166666666666667,1.2000000000000002
294,62,male,5.5,5,48,8,2.583333333333333,1.2200000000000002
295,67,female,5.166666666666667,4.5,37,11,3,1.28
296,61,female,6,2.8,47,10,2.6666666666666665,1.3599999999999999
297,62,male,6.2,2.6,40,11,2.6666666666666665,1.44
298,59,male,6,3.3333333333333335,40,10,1.6666666666666667,1.08
299,60,male,6,3.8333333333333335,43.33333333333333,10,2,1.3599999999999999
2001,59,male,3.8333333333333335,2.8,43,15,1.8333333333333335,1.24
2002,55,male,5.333333333333333,2.6666666666666665,41,12,1.8333333333333333,1.08
2003,64,male,4.666666666666667,2,46,5,2.583333333333333,1.12
2004,52,female,6,4.5,40,13,2.5,1.1400000000000001
2005,54,male,5.333333333333333,5.5,42,16,2.666666666666667,1.26
2006,70,male,5.333333333333333,3.5,42,7,2.583333333333333,1.1
2007,57,male,6,2,44,9,2.083333333333333,1.38
2008,61,male,NA,NA,43,13,NA,NA
2009,53,male,5.333333333333333,5.166666666666667,43,15,2.9166666666666665,1.46
2010,54,male,NA,NA,37,9,2.166666666666667,1.1
2011,56,male,5,3.8333333333333335,41,11,2.1666666666666665,1.2
