id,safety,use,gender,experience,previous,self_control,risk_perception
gbna,3,Unprotected,Female,5,No Condom,5,4
upkv,1,Unprotected,Male,3,No Condom,2,2
puoo,0,Unprotected,Female,2,No Condom,3,0
cfva,3,Unprotected,Male,3,No Condom,4,4
qrlr,2,Unprotected,Female,3,No Condom,6,3
xego,0,Unprotected,Female,8,No Condom,5,1
hfps,0,Unprotected,Male,6,No Condom,1,0
oudx,0,Unprotected,Female,5,No Condom,5,1
jtxt,2,Unprotected,Female,4,No Condom,0,3
nawb,3,Unprotected,Male,7,No Condom,5,2
jaxd,5,Unprotected,Male,6,No Condom,1,0
ewvb,3,Unprotected,Female,1,No Condom,1,6
lynt,4,Unprotected,Female,4,No Condom,2,5
oqcp,4,Unprotected,Female,4,No Condom,3,2
hpri,3,Unprotected,Male,6,No Condom,1,1
xdcv,3,Unprotected,Female,2,No Condom,3,3
olju,3,Unprotected,Male,1,No Condom,0,7
plou,3,Unprotected,Male,2,No Condom,1,3
ffjb,3,Unprotected,Male,4,No Condom,0,2
qnfy,5,Unprotected,Male,6,No Condom,4,1
hjcy,0,Unprotected,Female,4,No Condom,1,0
jixe,0,Unprotected,Female,6,No Condom,0,0
gdmq,4,Unprotected,Male,1,No Condom,6,5
bpok,4,Unprotected,Male,6,No Condom,5,5
xvdc,2,Unprotected,Female,3,No Condom,1,3
ldoe,2,Unprotected,Male,1,No Condom,6,3
qfhi,2,Unprotected,Male,1,No Condom,4,3
hjsm,0,Unprotected,Female,1,No Condom,5,1
jafo,2,Unprotected,Female,1,No Condom,1,3
gxic,3,Unprotected,Female,8,No Condom,5,4
ehqo,3,Unprotected,Male,4,No Condom,2,4
mgls,2,Unprotected,Female,5,No Condom,3,0
wcat,1,Unprotected,Female,7,No Condom,3,0
fjdp,3,Unprotected,Male,3,No Condom,3,2
aukv,2,Unprotected,Female,3,Condom used,5,0
myis,3,Unprotected,Male,2,Condom used,5,2
dtnj,5,Unprotected,Male,5,Condom used,3,0
yowr,3,Unprotected,Male,3,Condom used,3,1
hkdx,5,Unprotected,Female,5,Condom used,2,1
bryg,2,Unprotected,Female,2,Condom used,3,3
borh,4,Unprotected,Male,4,Condom used,7,5
sxqs,0,Unprotected,Female,3,Condom used,3,0
kdod,1,Unprotected,Male,1,Condom used,8,2
mjhr,0,Unprotected,Male,4,Condom used,3,0
svph,0,Unprotected,Female,9,Condom used,2,0
gffx,1,Unprotected,Female,3,Condom used,2,2
jjex,3,Unprotected,Male,3,Condom used,4,4
uooi,4,Unprotected,Male,2,Condom used,1,5
rkvt,3,Unprotected,Male,4,Condom used,1,4
wtgx,0,Unprotected,Male,5,Condom used,3,1
tqoa,0,Unprotected,Female,8,Condom used,4,1
nagi,0,Unprotected,Female,1,Condom used,4,1
svcb,5,Unprotected,Male,3,Condom used,7,6
tncd,5,Unprotected,Female,3,Condom used,3,6
qiab,3,Unprotected,Female,2,Condom used,1,4
mclk,1,Unprotected,Male,3,First Time with partner,5,2
riwv,3,Unprotected,Male,3,First Time with partner,2,4
mdxn,4,Condom used,Male,0,No Condom,1,5
jufn,3,Condom used,Female,2,No Condom,11,4
iroq,3,Condom used,Female,2,No Condom,9,4
pwoi,5,Condom used,Male,6,No Condom,5,6
jtjx,3,Condom used,Female,6,No Condom,4,4
jkyn,3,Condom used,Male,3,No Condom,2,4
owcw,2,Condom used,Female,3,No Condom,6,3
dcsc,3,Condom used,Male,2,No Condom,5,4
hnkb,3,Condom used,Female,3,No Condom,6,4
olhx,0,Condom used,Female,4,No Condom,6,3
yrpx,0,Condom used,Female,10,No Condom,3,2
xwrd,1,Condom used,Male,1,No Condom,6,4
kyaw,0,Condom used,Female,7,No Condom,5,3
ekii,1,Condom used,Male,5,No Condom,2,4
niof,0,Condom used,Male,3,No Condom,7,6
cfyq,0,Condom used,Female,7,No Condom,6,4
bjim,0,Condom used,Female,0,Condom used,3,5
dxey,2,Condom used,Female,2,Condom used,4,3
uelu,1,Condom used,Female,4,Condom used,3,5
pwwc,0,Condom used,Male,10,Condom used,7,4
vnoy,5,Condom used,Male,4,Condom used,4,3
mbpk,4,Condom used,Male,2,Condom used,4,3
iwob,1,Condom used,Female,1,Condom used,5,3
csmu,0,Condom used,Male,1,Condom used,5,5
rkyo,2,Condom used,Female,3,Condom used,6,5
dfuw,6,Condom used,Male,3,Condom used,2,4
rklb,2,Condom used,Female,6,Condom used,5,4
llje,1,Condom used,Male,2,Condom used,6,5
wyot,0,Condom used,Male,3,Condom used,2,4
fjke,1,Condom used,Female,10,Condom used,6,2
elug,3,Condom used,Male,4,Condom used,3,4
bnua,2,Condom used,Male,2,Condom used,0,3
mwcq,3,Condom used,Male,7,Condom used,3,4
dgnj,3,Condom used,Female,6,Condom used,9,4
jwib,5,Condom used,Male,3,Condom used,5,6
yanq,3,Condom used,Male,10,Condom used,8,4
mmlq,4,Condom used,Female,6,Condom used,7,5
pudq,4,Condom used,Male,3,Condom used,6,5
kije,3,Condom used,Male,10,Condom used,6,4
okmh,3,Condom used,Female,10,Condom used,4,4
mhgy,3,Condom used,Female,2,Condom used,6,4
mfos,3,Condom used,Female,8,Condom used,5,4
orqy,3,Condom used,Female,1,First Time with partner,8,4
