id,mood,stop_rule,checks
07wf,Negative,As many as you can,7
c131,Negative,As many as you can,5
e69r,Negative,As many as you can,16
xm4w,Negative,As many as you can,13
v5y3,Negative,As many as you can,13
658y,Negative,As many as you can,24
17p8,Negative,As many as you can,20
x4yn,Negative,As many as you can,10
ccw5,Negative,As many as you can,11
agc8,Negative,As many as you can,7
yd54,Negative,Feel like continuing,3
8fch,Negative,Feel like continuing,8
aes7,Negative,Feel like continuing,8
8b75,Negative,Feel like continuing,5
435t,Negative,Feel like continuing,9
5xdc,Negative,Feel like continuing,14
2n4g,Negative,Feel like continuing,9
bcxl,Negative,Feel like continuing,15
rl91,Negative,Feel like continuing,7
8h7d,Negative,Feel like continuing,14
6u52,Positive,As many as you can,9
mubj,Positive,As many as you can,12
4k6m,Positive,As many as you can,7
7bqh,Positive,As many as you can,3
9cu7,Positive,As many as you can,10
s1cj,Positive,As many as you can,4
841n,Positive,As many as you can,5
0i37,Positive,As many as you can,4
81f6,Positive,As many as you can,7
d31l,Positive,As many as you can,9
ms5t,Positive,Feel like continuing,13
4bfd,Positive,Feel like continuing,31
kd8i,Positive,Feel like continuing,11
ne20,Positive,Feel like continuing,8
8528,Positive,Feel like continuing,11
kde2,Positive,Feel like continuing,25
6497,Positive,Feel like continuing,19
fckh,Positive,Feel like continuing,8
1m57,Positive,Feel like continuing,14
7f9f,Positive,Feel like continuing,8
21gx,Neutral,As many as you can,8
b93w,Neutral,As many as you can,5
1w3y,Neutral,As many as you can,11
qgp7,Neutral,As many as you can,9
54b0,Neutral,As many as you can,11
3799,Neutral,As many as you can,10
7h8t,Neutral,As many as you can,11
b27m,Neutral,As many as you can,10
s06j,Neutral,As many as you can,7
f49h,Neutral,As many as you can,5
9c11,Neutral,Feel like continuing,7
8v58,Neutral,Feel like continuing,5
qpiv,Neutral,Feel like continuing,14
5j2u,Neutral,Feel like continuing,19
c4k7,Neutral,Feel like continuing,5
ux78,Neutral,Feel like continuing,11
h1wd,Neutral,Feel like continuing,14
31t0,Neutral,Feel like continuing,10
088f,Neutral,Feel like continuing,6
gqlg,Neutral,Feel like continuing,8
