id,age,fb,display
rysm,24,No,No
dgvk,26,No,No
ytjp,30,No,No
kybw,31,No,No
pvcb,36,No,No
xyls,29,No,Yes
lkid,28,No,No
oocw,36,No,No
dupj,34,No,Yes
bfgi,31,No,No
uans,32,No,No
ysqh,30,Yes,Yes
jujj,26,No,No
audu,35,Yes,No
xybc,36,No,No
dkhu,36,No,No
xhiq,25,No,Yes
upoe,24,No,No
dfnn,24,Yes,Yes
xlas,26,No,No
qigd,29,No,No
dpgw,34,Yes,Yes
agha,31,Yes,Yes
plar,40,Yes,No
dnix,45,No,No
obbq,30,No,No
fnjf,30,No,No
tfmg,36,No,No
lfwj,45,Yes,Yes
lkjr,40,No,No
uheo,41,No,Yes
wqew,32,No,No
qemp,48,Yes,Yes
inqs,43,Yes,Yes
oeyh,46,Yes,Yes
ajxa,40,Yes,Yes
snkd,41,Yes,No
godq,43,Yes,Yes
xrfq,44,No,Yes
lscd,39,Yes,No
sdii,49,Yes,Yes
rytf,52,Yes,Yes
gfvu,56,Yes,Yes
evlf,58,Yes,Yes
wmbu,53,Yes,Yes
njre,52,Yes,No
jbus,51,Yes,Yes
cksw,59,No,No
qxsf,60,No,No
phjc,60,Yes,No
qhht,63,Yes,Yes
mjwg,64,Yes,Yes
dbqd,65,Yes,Yes
gggh,69,Yes,Yes
louv,68,Yes,Yes
sibj,70,Yes,Yes
xdwy,71,Yes,No
rbvj,67,Yes,Yes
fxlr,64,Yes,Yes
kyim,63,No,Yes
ynpu,73,Yes,Yes
wgys,74,Yes,Yes
tugw,78,Yes,Yes
hplq,79,Yes,Yes
vohb,82,Yes,Yes
ghmd,79,Yes,Yes
dwjd,76,Yes,Yes
hmku,74,Yes,No
pgiu,83,Yes,Yes
fntx,82,Yes,Yes
