ticket_no,gender,day,hygiene
2111,Male,day1,2.64
2229,Female,day1,0.97
2338,Male,day1,0.84
2384,Female,day1,3.03
2401,Female,day1,0.88
2405,Male,day1,0.85
2467,Female,day1,1.56
2478,Female,day1,3.02
2490,Male,day1,2.29
2504,Female,day1,1.11
2509,Male,day1,2.17
2510,Female,day1,0.82
2514,Male,day1,1.41
2515,Female,day1,1.76
2520,Male,day1,1.38
2521,Female,day1,2.79
2529,Male,day1,1.5
2533,Female,day1,1.91
2535,Female,day1,2.32
2538,Male,day1,2.05
2549,Male,day1,2.17
2551,Female,day1,2.05
2558,Female,day1,1.61
2562,Non-binary,day1,1.66
2565,Female,day1,2.3
2566,Female,day1,2.76
2568,Female,day1,1.44
2586,Female,day1,1.06
2601,Male,day1,3.23
2602,Male,day1,0.97
2604,Male,day1,2.57
2606,Non-binary,day1,0.26
2609,Female,day1,0.47
2611,Female,day1,1.73
2612,Male,day1,1.94
2616,Male,day1,1.91
2624,Female,day1,2.08
2633,Female,day1,1.91
2642,Female,day1,1.42
2644,Male,day1,1.5
2662,Female,day1,0.11
2663,Male,day1,1.67
2664,Non-binary,day1,2.08
2669,Female,day1,2.05
2670,Male,day1,2
2675,Male,day1,1.52
2676,Female,day1,1.58
2677,Male,day1,1.28
2681,Male,day1,1.88
2685,Female,day1,1.32
2686,Female,day1,2.09
2687,Male,day1,2
2688,Female,day1,2.64
2689,Non-binary,day1,0.85
2692,Female,day1,2.47
2698,Female,day1,1.79
2709,Female,day1,1.64
2710,Male,day1,1.32
2712,Female,day1,2.97
2726,Female,day1,1.44
2727,Female,day1,2.02
2728,Male,day1,1.79
2730,Non-binary,day1,1.34
2731,Female,day1,2.29
2732,Female,day1,1.66
2734,Female,day1,0.6
2735,Female,day1,1.76
2736,Female,day1,1.5
2737,Female,day1,2.08
2748,Female,day1,1
2752,Non-binary,day1,1.73
2756,Female,day1,1.05
2758,Male,day1,2.81
2759,Female,day1,1.52
2768,Non-binary,day1,1.47
2769,Female,day1,2.64
2770,Female,day1,2.2
2771,Male,day1,0.55
2772,Non-binary,day1,2.29
2773,Female,day1,2
2775,Male,day1,2.23
2779,Female,day1,2.45
2780,Male,day1,1.2
2783,Male,day1,2.91
2784,Female,day1,1.14
2788,Male,day1,1.88
2789,Male,day1,0.94
2791,Female,day1,1.85
2794,Female,day1,2.58
2796,Female,day1,0.61
2799,Non-binary,day1,0.7
2806,Male,day1,1.38
2807,Female,day1,1.94
2811,Non-binary,day1,2.29
2812,Male,day1,1.59
2813,Female,day1,2.46
2814,Female,day1,1.67
2825,Female,day1,2.02
2827,Male,day1,1.5
2828,Female,day1,2.7
2829,Non-binary,day1,1.61
2830,Male,day1,2.29
2831,Female,day1,0.97
2839,Male,day1,1.85
2842,Female,day1,2.76
2857,Male,day1,1.64
2858,Male,day1,1.17
2859,Male,day1,1.57
2862,Female,day1,2.23
2863,Female,day1,2.05
2875,Non-binary,day1,2.05
2876,Non-binary,day1,2.94
2883,Non-binary,day1,2.39
2890,Non-binary,day1,1.94
2894,Female,day1,2.12
2895,Female,day1,1.11
2897,Non-binary,day1,0.97
2898,Female,day1,1.35
2899,Female,day1,2.81
2900,Female,day1,2.5
2901,Male,day1,1.87
2920,Male,day1,1.33
2921,Female,day1,1.26
2922,Female,day1,1.44
2923,Non-binary,day1,0.55
2924,Female,day1,1.75
2925,Female,day1,2.08
2932,Male,day1,0.85
2933,Female,day1,2.52
2935,Female,day1,3
2936,Female,day1,1.41
2937,Non-binary,day1,1.08
2938,Male,day1,1.2
2940,Non-binary,day1,1.94
2941,Non-binary,day1,2.26
2942,Male,day1,1.41
2948,Female,day1,2.5
2952,Male,day1,2.17
2953,Male,day1,1.82
2954,Female,day1,1.44
2956,Female,day1,1.66
2957,Male,day1,1.82
2958,Male,day1,1.26
2959,Female,day1,2.67
2961,Female,day1,1.47
2962,Female,day1,1.84
2964,Female,day1,2.58
2966,Male,day1,1.73
2967,Male,day1,1.23
2968,Male,day1,2.32
2972,Female,day1,2.67
2974,Female,day1,1.02
2975,Non-binary,day1,1.66
2976,Female,day1,1.88
2977,Female,day1,1.91
2978,Female,day1,1.64
2979,Male,day1,1.34
2982,Male,day1,1.85
2983,Male,day1,2.08
2984,Male,day1,1.02
2985,Non-binary,day1,1.79
2988,Female,day1,1.94
2989,Female,day1,3.26
2990,Male,day1,1.14
3008,Female,day1,1.5
3009,Female,day1,2.03
3010,Non-binary,day1,2.24
3013,Female,day1,1.11
3014,Female,day1,2.21
3016,Non-binary,day1,1.94
3017,Male,day1,2.41
3018,Male,day1,0.88
3019,Female,day1,1.17
3027,Male,day1,2.23
3028,Female,day1,1.64
3029,Female,day1,2.14
3030,Non-binary,day1,0.11
3031,Male,day1,2.17
3032,Female,day1,1.67
3033,Female,day1,1
3034,Female,day1,0.88
3035,Male,day1,2.2
3048,Male,day1,2.17
3049,Female,day1,2.32
3051,Male,day1,1.64
3052,Female,day1,3
3053,Female,day1,2.38
3054,Female,day1,1.6
3055,Female,day1,1.58
3056,Female,day1,2.61
3057,Male,day1,1.44
3064,Male,day1,1.57
3065,Female,day1,2.32
3068,Non-binary,day1,1.14
3069,Male,day1,1.93
3070,Male,day1,2.47
3072,Female,day1,2.29
3073,Female,day1,1
3092,Female,day1,1.58
3093,Male,day1,2.44
3094,Female,day1,0.83
3095,Male,day1,2.71
3096,Female,day1,1.73
3097,Male,day1,1.58
3098,Male,day1,1.5
3100,Female,day1,1.05
3106,Non-binary,day1,2.05
3107,Female,day1,2.63
3109,Male,day1,2.55
3111,Female,day1,2
3112,Male,day1,2
3114,Female,day1,1.32
3116,Female,day1,3.14
3118,Male,day1,1.44
3129,Male,day1,1.85
3131,Non-binary,day1,1.41
3132,Female,day1,1.94
3133,Non-binary,day1,2.91
3135,Female,day1,1.85
3136,Male,day1,1.7
3137,Female,day1,2.23
3138,Non-binary,day1,1.11
3139,Female,day1,1.47
3146,Female,day1,2.2
3147,Male,day1,1.82
3148,Female,day1,1.42
3168,Female,day1,2.44
3171,Female,day1,2.66
3172,Male,day1,1.52
3173,Female,day1,1.35
3180,Female,day1,1.29
3182,Female,day1,2.32
3190,Male,day1,0.78
3192,Female,day1,2.84
3202,Male,day1,0.97
3236,Female,day1,1.52
3245,Female,day1,1.7
3246,Female,day1,0.94
3247,Male,day1,1.41
3248,Male,day1,1.79
3249,Male,day1,1.08
3250,Male,day1,1.47
3251,Female,day1,1.79
3253,Male,day1,2
3254,Female,day1,0.76
3255,Male,day1,2.2
3256,Female,day1,0.94
3257,Female,day1,1.38
3258,Female,day1,1.38
3260,Male,day1,0.32
3261,Male,day1,2.58
3262,Male,day1,0.51
3264,Female,day1,0.32
3267,Female,day1,0.91
3273,Male,day1,1.51
3275,Female,day1,1.47
3276,Female,day1,2.5
3277,Female,day1,2.26
3278,Female,day1,2.81
3279,Female,day1,1.87
3281,Female,day1,2
3282,Non-binary,day1,2.23
3284,Male,day1,2
3290,Female,day1,1.41
3291,Male,day1,1.64
3292,Male,day1,1.64
3296,Non-binary,day1,1.26
3306,Female,day1,1.52
3307,Male,day1,2.44
3308,Female,day1,2.18
3309,Female,day1,3.02
3310,Female,day1,1.02
3311,Female,day1,2.88
3312,Non-binary,day1,1.54
3313,Female,day1,1.64
3314,Female,day1,2.44
3315,Female,day1,1.29
3316,Female,day1,1.61
3321,Female,day1,1.77
3325,Male,day1,0.91
3326,Female,day1,0.85
3327,Male,day1,0.85
3328,Female,day1,1.5
3329,Non-binary,day1,1.05
3338,Female,day1,3.38
3340,Female,day1,1.42
3341,Female,day1,1.85
3348,Female,day1,1.91
3349,Male,day1,0.82
3350,Female,day1,1.32
3351,Female,day1,2.23
3352,Female,day1,1.47
3363,Female,day1,2.7
3365,Male,day1,1.58
3366,Male,day1,1
3367,Non-binary,day1,1.44
3368,Female,day1,2
3369,Male,day1,1.6
3370,Female,day1,2.32
3371,Non-binary,day1,3.41
3372,Female,day1,2.02
3373,Male,day1,0.64
3374,Male,day1,3.58
3375,Non-binary,day1,1.5
3376,Male,day1,1.08
3377,Female,day1,1.52
3378,Male,day1,1.26
3379,Female,day1,1.68
3380,Male,day1,1.47
3390,Female,day1,1.47
3391,Female,day1,1.67
3392,Female,day1,2.47
3393,Male,day1,1.82
3394,Female,day1,2.17
3395,Female,day1,3.21
3397,Female,day1,1.6
3398,Female,day1,0.32
3407,Female,day1,0.55
3411,Female,day1,1.42
3412,Male,day1,1.14
3413,Female,day1,2.64
3416,Female,day1,2.58
3418,Non-binary,day1,2.02
3419,Male,day1,2
3420,Female,day1,2.9
3423,Male,day1,1.82
3429,Female,day1,0.5
