id,elephant,experience,goals
55ume,Asian,4,1
tmm88,Asian,0,1
l6r55,Asian,3,3
hw0ae,Asian,4,3
7xsn8,Asian,5,3
2942k,Asian,4,2
933s8,Asian,5,3
46284,Asian,4,2
h47g4,Asian,6,5
ccldt,Asian,6,5
8l8k6,Asian,4,8
w1v64,Asian,6,1
8al1c,Asian,6,4
v1sq3,Asian,5,2
4wu70,Asian,5,3
5ai2v,Asian,1,5
4imfg,Asian,4,2
06n3x,Asian,4,4
xo667,Asian,4,6
bds3r,Asian,4,5
57h66,Asian,5,2
tx3j6,Asian,6,5
hcr11,Asian,5,0
6tv4b,Asian,4,6
6yab1,Asian,1,4
h65lh,Asian,6,4
rtvir,Asian,5,5
7mdu2,Asian,6,4
6om8r,Asian,6,6
x74j5,Asian,4,4
f23ii,Asian,2,5
6298o,Asian,2,4
r93e2,Asian,4,6
18ja3,Asian,1,0
36ab3,Asian,5,3
fpefu,Asian,2,0
vl123,Asian,6,2
318bd,Asian,5,6
jka75,Asian,6,5
1213y,Asian,4,4
gmp61,Asian,5,2
gf62v,Asian,4,1
37u1l,Asian,7,4
65pqj,Asian,3,2
717b1,Asian,3,5
ya5q7,Asian,1,2
5llom,Asian,5,5
605uc,Asian,4,2
bct65,Asian,2,0
fp357,Asian,5,7
4j5g3,Asian,3,2
srv3l,Asian,0,5
2u620,Asian,3,3
6pye6,Asian,4,4
wlx12,Asian,4,5
gud68,Asian,5,4
q1la7,Asian,4,7
5j5n3,Asian,1,1
qadgf,Asian,5,4
6e724,Asian,3,4
b1d2k,African,6,5
q466a,African,6,0
5w360,African,1,1
7ilr4,African,6,7
u47k7,African,4,7
72m18,African,6,3
05tai,African,6,6
8311n,African,3,4
22p7x,African,5,6
2p591,African,7,6
qky1k,African,7,3
dkp1u,African,5,7
vkrq3,African,2,3
9v6kd,African,5,7
3x19v,African,7,5
h9e7e,African,3,3
ah5hi,African,2,3
wrs1s,African,2,3
6uc44,African,5,3
1ytw6,African,3,5
7mm8o,African,2,4
d8ppk,African,5,6
4kt46,African,3,3
224a1,African,5,5
u4n5e,African,5,3
u2914,African,3,3
i0t4t,African,5,2
92596,African,5,5
l1332,African,7,6
5c4j1,African,3,5
ua397,African,5,7
30wuk,African,6,4
iu8kl,African,3,4
qok12,African,6,5
672d7,African,5,6
qp82j,African,5,3
p8r57,African,4,6
3rf1v,African,4,6
n6126,African,0,3
68t74,African,4,2
iojx3,African,5,2
1k67b,African,4,3
1s681,African,7,5
e3w32,African,4,4
dlv8m,African,7,5
d38lg,African,5,6
u6fnq,African,5,3
o296o,African,2,4
8432w,African,9,7
o3rs4,African,3,8
04qfh,African,5,7
q5iim,African,4,7
8w26o,African,3,3
ru3f6,African,2,3
pviu3,African,4,7
l832c,African,4,8
9h02t,African,4,5
tvo19,African,4,7
hk84q,African,1,3
6isot,African,4,5
