id,song_type,songwriter,screams
271,Fly song,Andy,5
q5b,Fly song,Andy,7
23x,Fly song,Andy,3
1ai,Fly song,Andy,5
7st,Fly song,Andy,7
fug,Fly song,Andy,7
v28,Fly song,Andy,7
64f,Fly song,Andy,11
c30,Fly song,Andy,6
1h2,Fly song,Andy,8
78a,Fly song,Andy,4
6in,Fly song,Andy,10
r19,Fly song,Andy,8
781,Fly song,Andy,5
avj,Fly song,Andy,5
i4u,Fly song,Andy,6
l0d,Fly song,Andy,5
68v,Fly song,Malcolm,6
737,Fly song,Malcolm,8
i38,Fly song,Malcolm,6
489,Fly song,Malcolm,3
53w,Fly song,Malcolm,3
7h9,Fly song,Malcolm,6
n4c,Fly song,Malcolm,11
sc8,Fly song,Malcolm,7
2os,Fly song,Malcolm,3
38d,Fly song,Malcolm,6
270,Fly song,Malcolm,5
ok4,Fly song,Malcolm,6
1jw,Fly song,Malcolm,6
44p,Fly song,Malcolm,7
ftk,Fly song,Malcolm,7
296,Fly song,Malcolm,5
45s,Fly song,Malcolm,7
8k6,Symphony,Andy,10
517,Symphony,Andy,10
7i8,Symphony,Andy,12
8k3,Symphony,Andy,11
s07,Symphony,Andy,13
vji,Symphony,Andy,9
0ji,Symphony,Andy,8
o81,Symphony,Andy,10
86n,Symphony,Andy,8
buj,Symphony,Andy,7
v15,Symphony,Andy,8
t43,Symphony,Andy,12
0xc,Symphony,Andy,8
28g,Symphony,Andy,10
637,Symphony,Andy,8
50s,Symphony,Andy,10
56y,Symphony,Andy,8
23c,Symphony,Malcolm,11
we7,Symphony,Malcolm,8
67p,Symphony,Malcolm,5
y74,Symphony,Malcolm,6
2d7,Symphony,Malcolm,5
k27,Symphony,Malcolm,7
85x,Symphony,Malcolm,8
v1r,Symphony,Malcolm,4
t6k,Symphony,Malcolm,7
1xt,Symphony,Malcolm,7
172,Symphony,Malcolm,5
1n9,Symphony,Malcolm,8
ev2,Symphony,Malcolm,9
8ii,Symphony,Malcolm,7
kmv,Symphony,Malcolm,7
wde,Symphony,Malcolm,9
22e,Symphony,Malcolm,7
