id,essay,hours,grade
qxbcjg,61.67549749207451,10.630337292118941,Upper second class
csykgu,69.54500563622949,7.285226179592319,First class
npxgpl,48.22930397134486,5.052047754490978,Third class
gomiwl,70.6786516311817,2.8866143612047566,First class
qdywaa,59.89962258573319,9.545012294823666,Lower second class
cmaprb,61.16202377184546,11.31083847014523,Upper second class
nrvhix,67.6247016928604,7.465071803519132,Upper second class
ybytlf,64.77905898739634,8.471279067942982,Upper second class
talwvg,63.20706345616603,8.715373453160055,Upper second class
ceylea,49.6910817003072,6.20347356947365,Third class
berjky,63.718919602618875,4.7725155078232175,Upper second class
cjxgpl,72.24259336667433,10.981542401885058,First class
gufenh,70.5862210579123,5.221540976656804,First class
uaxxdm,58.639861575117116,6.858484503839678,Lower second class
unnhpl,58.71538006148867,9.798411896596196,Lower second class
oxamyi,67.39996980587668,9.490729302469248,Upper second class
rostiu,60.703763140606284,6.517364203249624,Upper second class
dlbpgj,60.93135117569496,11.802132661516541,Upper second class
nnatkj,62.340180123933244,8.963131129939304,Upper second class
hqymun,59.96622882094051,5.422490295750917,Lower second class
hbppuy,52.16198434955034,6.409720256022727,Lower second class
awsyyt,76.58796408904718,15.010477373497242,First class
teebvh,60.91969739332782,8.070642116767385,Upper second class
tabbeh,66.63301596603775,10.972098621491542,Upper second class
xpfcen,73.61953672283371,14.777646131762424,First class
ddvuwo,60.22247310919171,5.245556196793898,Upper second class
regupa,59.257246898708004,8.672161323850574,Lower second class
vqcndg,51.93029075725676,8.555462596395666,Lower second class
cwmsyw,59.43010756388334,6.0814437089900695,Lower second class
pqhsdt,69.40871753815948,7.4219054846944434,First class
bqgrfo,65.29861363106654,12.313793741616365,Upper second class
yncgtb,60.28382972497649,9.934438823884443,Upper second class
menqwt,60.85352379780121,7.795298201721834,Upper second class
bgkyip,71.63334695045575,6.562795611645898,First class
xyrmlt,69.14079390721551,10.282863630304425,First class
sdsbju,66.47539041564454,5.116392496466559,Upper second class
ffsvus,63.04775611406321,8.662683575196313,Upper second class
dqeqbx,68.16782807379428,6.593205681831705,Upper second class
iyiblv,64.74803424621253,3.7053779231669335,Upper second class
dwfxor,68.28043437175364,12.917868353995765,Upper second class
askeva,60.40523870026315,8.696236108586202,Upper second class
lbpjrh,64.63132480387706,11.215059615618554,Upper second class
mahplj,58.25948986813593,6.832448910074522,Lower second class
iyejxj,52.23524739534146,8.623083882232685,Lower second class
rmueoa,79.87775049754993,7.843683453774148,First class
