id,info_type,latency
meo2,Threat,2.03
meo2,Positive,1.25
meo2,No information,11.41
9g5p,Threat,8.37
9g5p,Positive,3.06
9g5p,No information,3.54
70h7,Threat,15
70h7,Positive,14.6
70h7,No information,15
d2q1,Threat,2.25
d2q1,Positive,1.72
d2q1,No information,1.1
byjq,Threat,2.9
byjq,Positive,1.19
byjq,No information,15
fchn,Threat,4.22
fchn,Positive,1.5
fchn,No information,2.63
my18,Threat,18.59
my18,Positive,16.94
my18,No information,1.13
at1u,Threat,2.65
at1u,Positive,1.94
at1u,No information,1.6
j3h1,Threat,1.92
j3h1,Positive,1.6
j3h1,No information,1.75
3269,Threat,2.24
3269,Positive,1.67
3269,No information,2.34
l4l5,Threat,5.65
l4l5,Positive,4.34
l4l5,No information,5.35
8y62,Threat,5.32
8y62,Positive,5.01
8y62,No information,4.95
4kkk,Threat,3.48
4kkk,Positive,3.12
4kkk,No information,4.2
4y64,Threat,1.5
4y64,Positive,1.2
4y64,No information,1.4
0352,Threat,13.2
0352,Positive,8.4
0352,No information,9.2
346d,Threat,2.97
346d,Positive,2.91
346d,No information,1.59
e7ug,Threat,2.57
e7ug,Positive,1.84
e7ug,No information,1.92
bl76,Threat,7.5
bl76,Positive,2.59
bl76,No information,3.9
11a1,Threat,27
11a1,Positive,2.54
11a1,No information,6.9
297u,Threat,15
297u,Positive,17.58
297u,No information,15
j75c,Threat,1.51
j75c,Positive,0.72
j75c,No information,0.52
w68p,Threat,1.35
w68p,Positive,1.06
w68p,No information,1.1
k1i9,Threat,1.16
k1i9,Positive,1.06
k1i9,No information,1.09
4skt,Threat,15
4skt,Positive,23.15
4skt,No information,15
oxu1,Threat,2.66
oxu1,Positive,2.12
oxu1,No information,2.6
y03f,Threat,8.63
y03f,Positive,2.39
y03f,No information,2.92
0tlg,Threat,4.23
0tlg,Positive,3.67
0tlg,No information,3.21
0gr0,Threat,13.63
0gr0,Positive,10.34
0gr0,No information,12.51
x5fx,Threat,4.87
x5fx,Positive,1.34
x5fx,No information,1.59
ks3a,Threat,4.32
ks3a,Positive,3.52
ks3a,No information,3.5
onfm,Threat,4.12
onfm,Positive,3.87
onfm,No information,2.45
si31,Threat,2.5
si31,Positive,2.45
si31,No information,2.51
c2r4,Threat,12.5
c2r4,Positive,7.5
c2r4,No information,13.75
7a82,Threat,1
7a82,Positive,2
7a82,No information,3
93qd,Threat,5.89
93qd,Positive,4.38
93qd,No information,4.41
12jf,Threat,3.98
12jf,Positive,1.54
12jf,No information,2.76
7tm4,Threat,2.41
7tm4,Positive,1.82
7tm4,No information,1.72
3667,Threat,15
3667,Positive,4.82
3667,No information,15
04s4,Threat,2.21
04s4,Positive,2.56
04s4,No information,1.94
5y65,Threat,2.38
5y65,Positive,1.59
5y65,No information,1.72
d94u,Threat,15.02
d94u,Positive,13.32
d94u,No information,15.32
3g7o,Threat,5.62
3g7o,Positive,4.28
3g7o,No information,4.74
2x11,Threat,3.41
2x11,Positive,2.36
2x11,No information,2.45
3c16,Threat,5.68
3c16,Positive,1.09
3c16,No information,2.28
lr05,Threat,3.81
lr05,Positive,2.9
lr05,No information,2
4953,Threat,1.35
4953,Positive,2.47
4953,No information,1.55
89a2,Threat,3.84
89a2,Positive,3.75
89a2,No information,1.47
d441,Threat,3
d441,Positive,1
