id,phallus,displace
5gf5,No Coronal Ridge,21.487603305784944
1ba3,No Coronal Ridge,35.83061889250834
1c3r,No Coronal Ridge,61.74496644295305
mumw,No Coronal Ridge,22.0149253731344
ul35,No Coronal Ridge,35.49783549783578
6eh2,Minimal Coronal Ridge,93.11740890688256
84p2,Minimal Coronal Ridge,80.76923076923086
md6r,Minimal Coronal Ridge,91.05691056910518
7qtb,Minimal Coronal Ridge,97.43589743589735
5icj,Minimal Coronal Ridge,93.16546762589937
kc10,Coronal Ridge,99.22178988326809
603e,Coronal Ridge,79.735682819383
5bw5,Coronal Ridge,91.00529100529093
lfik,Coronal Ridge,99.24528301886807
mhkl,Coronal Ridge,86.90476190476195
