id,lighting,alcohol,rating
cxncot,Dim,None,58
cxncot,Bright,None,65
cxncot,Dim,2 pints,65
cxncot,Bright,2 pints,65
cxncot,Dim,4 pints,44
cxncot,Bright,4 pints,50
cxncot,Dim,6 pints,5
cxncot,Bright,6 pints,33
ugkwru,Dim,None,67
ugkwru,Bright,None,53
ugkwru,Dim,2 pints,64
ugkwru,Bright,2 pints,64
ugkwru,Dim,4 pints,46
ugkwru,Bright,4 pints,34
ugkwru,Dim,6 pints,33
ugkwru,Bright,6 pints,33
uwvseu,Dim,None,64
uwvseu,Bright,None,74
uwvseu,Dim,2 pints,74
uwvseu,Bright,2 pints,72
uwvseu,Dim,4 pints,40
uwvseu,Bright,4 pints,35
uwvseu,Dim,6 pints,21
uwvseu,Bright,6 pints,63
qdepaf,Dim,None,63
qdepaf,Bright,None,61
qdepaf,Dim,2 pints,57
qdepaf,Bright,2 pints,47
qdepaf,Dim,4 pints,26
qdepaf,Bright,4 pints,56
qdepaf,Dim,6 pints,17
qdepaf,Bright,6 pints,31
yyopkb,Dim,None,48
yyopkb,Bright,None,57
yyopkb,Dim,2 pints,67
yyopkb,Bright,2 pints,61
yyopkb,Dim,4 pints,31
yyopkb,Bright,4 pints,52
yyopkb,Dim,6 pints,17
yyopkb,Bright,6 pints,30
icwdyi,Dim,None,49
icwdyi,Bright,None,78
icwdyi,Dim,2 pints,78
icwdyi,Bright,2 pints,66
icwdyi,Dim,4 pints,59
icwdyi,Bright,4 pints,61
icwdyi,Dim,6 pints,5
icwdyi,Bright,6 pints,30
ooxeex,Dim,None,64
ooxeex,Bright,None,70
ooxeex,Dim,2 pints,53
ooxeex,Bright,2 pints,67
ooxeex,Dim,4 pints,29
ooxeex,Bright,4 pints,46
ooxeex,Dim,6 pints,21
ooxeex,Bright,6 pints,46
usgexb,Dim,None,83
usgexb,Bright,None,63
usgexb,Dim,2 pints,64
usgexb,Bright,2 pints,77
usgexb,Dim,4 pints,31
usgexb,Bright,4 pints,36
usgexb,Dim,6 pints,6
usgexb,Bright,6 pints,45
dufwli,Dim,None,65
dufwli,Bright,None,71
dufwli,Dim,2 pints,59
dufwli,Bright,2 pints,51
dufwli,Dim,4 pints,46
dufwli,Bright,4 pints,54
dufwli,Dim,6 pints,8
dufwli,Bright,6 pints,38
jdnknt,Dim,None,64
jdnknt,Bright,None,78
jdnknt,Dim,2 pints,64
jdnknt,Bright,2 pints,69
jdnknt,Dim,4 pints,45
jdnknt,Bright,4 pints,58
jdnknt,Dim,6 pints,29
jdnknt,Bright,6 pints,65
ufthcm,Dim,None,64
ufthcm,Bright,None,61
ufthcm,Dim,2 pints,56
ufthcm,Bright,2 pints,65
ufthcm,Dim,4 pints,24
ufthcm,Bright,4 pints,46
ufthcm,Dim,6 pints,32
ufthcm,Bright,6 pints,57
qcuofj,Dim,None,55
qcuofj,Bright,None,47
qcuofj,Dim,2 pints,78
qcuofj,Bright,2 pints,63
qcuofj,Dim,4 pints,53
qcuofj,Bright,4 pints,57
qcuofj,Dim,6 pints,20
qcuofj,Bright,6 pints,47
gdpgss,Dim,None,81
gdpgss,Bright,None,57
gdpgss,Dim,2 pints,81
gdpgss,Bright,2 pints,78
gdpgss,Dim,4 pints,40
gdpgss,Bright,4 pints,45
gdpgss,Dim,6 pints,29
gdpgss,Bright,6 pints,42
tqklua,Dim,None,58
tqklua,Bright,None,71
tqklua,Dim,2 pints,55
tqklua,Bright,2 pints,62
tqklua,Dim,4 pints,29
tqklua,Bright,4 pints,48
tqklua,Dim,6 pints,42
tqklua,Bright,6 pints,31
mmpebj,Dim,None,63
mmpebj,Bright,None,58
mmpebj,Dim,2 pints,67
mmpebj,Bright,2 pints,58
mmpebj,Dim,4 pints,35
mmpebj,Bright,4 pints,42
mmpebj,Dim,6 pints,26
mmpebj,Bright,6 pints,32
shksud,Dim,None,49
shksud,Bright,None,48
shksud,Dim,2 pints,71
shksud,Bright,2 pints,48
shksud,Dim,4 pints,47
shksud,Bright,4 pints,67
shksud,Dim,6 pints,33
shksud,Bright,6 pints,48
htjtpd,Dim,None,52
htjtpd,Bright,None,58
htjtpd,Dim,2 pints,67
htjtpd,Bright,2 pints,66
htjtpd,Dim,4 pints,46
htjtpd,Bright,4 pints,74
htjtpd,Dim,6 pints,12
htjtpd,Bright,6 pints,43
jgpxdv,Dim,None,77
jgpxdv,Bright,None,65
jgpxdv,Dim,2 pints,71
jgpxdv,Bright,2 pints,32
jgpxdv,Dim,4 pints,14
jgpxdv,Bright,4 pints,47
jgpxdv,Dim,6 pints,15
jgpxdv,Bright,6 pints,27
fskfic,Dim,None,74
fskfic,Bright,None,50
fskfic,Dim,2 pints,68
fskfic,Bright,2 pints,67
fskfic,Dim,4 pints,53
fskfic,Bright,4 pints,47
fskfic,Dim,6 pints,15
fskfic,Bright,6 pints,45
pfgghk,Dim,None,73
pfgghk,Bright,None,58
pfgghk,Dim,2 pints,64
pfgghk,Bright,2 pints,68
pfgghk,Dim,4 pints,31
pfgghk,Bright,4 pints,47
pfgghk,Dim,6 pints,23
pfgghk,Bright,6 pints,46
twrnrq,Dim,None,67
twrnrq,Bright,None,67
twrnrq,Dim,2 pints,75
twrnrq,Bright,2 pints,69
twrnrq,Dim,4 pints,40
twrnrq,Bright,4 pints,44
twrnrq,Dim,6 pints,28
twrnrq,Bright,6 pints,44
pphokx,Dim,None,58
pphokx,Bright,None,61
pphokx,Dim,2 pints,68
pphokx,Bright,2 pints,55
pphokx,Dim,4 pints,35
pphokx,Bright,4 pints,66
pphokx,Dim,6 pints,13
