intervention,classroom,pre_exercise,post_exercise
Control,1,2.54950975679639,2.54950975679639
Control,1,2.34520787991171,2.34520787991171
Control,1,0.707106781186548,0.707106781186548
Control,1,0.707106781186548,0.707106781186548
Control,1,1.22474487139159,0.707106781186548
Control,1,1.87082869338697,2.12132034355964
Control,1,2.12132034355964,2.12132034355964
Control,1,1.58113883008419,1.58113883008419
Control,1,0.707106781186548,0.707106781186548
Control,1,1.58113883008419,1.58113883008419
Control,1,1.58113883008419,1.22474487139159
Control,1,1.58113883008419,2.34520787991171
Control,1,1.58113883008419,2.54950975679639
Control,1,1.58113883008419,0.707106781186548
Control,1,2.73861278752583,1.87082869338697
Control,1,2.12132034355964,2.12132034355964
Control,1,1.58113883008419,1.58113883008419
Control,1,0.707106781186548,1.22474487139159
Control,1,0.707106781186548,0.707106781186548
Control,1,1.22474487139159,1.58113883008419
Control,1,2.12132034355964,2.12132034355964
Control,1,0.707106781186548,0.707106781186548
Control,5,2.54950975679639,2.54950975679639
Control,5,1.58113883008419,1.58113883008419
Control,5,1.87082869338697,1.22474487139159
Control,5,0.707106781186548,0.707106781186548
Control,5,1.87082869338697,1.58113883008419
Control,5,1.22474487139159,0.707106781186548
Control,5,0.707106781186548,1.22474487139159
Control,5,1.58113883008419,1.58113883008419
Control,5,2.91547594742265,2.54950975679639
Control,5,2.73861278752583,2.54950975679639
Control,5,1.87082869338697,1.58113883008419
Control,5,1.87082869338697,2.34520787991171
Control,5,1.22474487139159,2.12132034355964
Control,5,2.12132034355964,2.12132034355964
Control,5,2.12132034355964,1.87082869338697
Control,5,1.58113883008419,1.22474487139159
Control,5,2.12132034355964,2.12132034355964
Control,5,1.87082869338697,2.34520787991171
Control,5,2.34520787991171,2.34520787991171
Control,5,1.58113883008419,1.22474487139159
Control,5,1.87082869338697,1.87082869338697
Control,9,1.58113883008419,0.707106781186548
Control,9,1.58113883008419,1.87082869338697
Control,9,1.22474487139159,1.87082869338697
Control,9,1.22474487139159,1.22474487139159
Control,9,1.22474487139159,1.22474487139159
Control,9,1.87082869338697,1.87082869338697
Control,9,1.87082869338697,1.87082869338697
Control,9,1.58113883008419,1.58113883008419
Control,9,1.58113883008419,1.58113883008419
Control,9,1.58113883008419,1.22474487139159
Control,9,1.58113883008419,1.58113883008419
Control,9,1.58113883008419,1.87082869338697
Control,9,0.707106781186548,0.707106781186548
Control,9,0.707106781186548,1.22474487139159
Control,9,0.707106781186548,1.87082869338697
Control,9,3.08220700148449,3.08220700148449
Control,9,2.34520787991171,1.58113883008419
Control,9,1.58113883008419,0.707106781186548
Control,9,1.22474487139159,0.707106781186548
Control,9,1.87082869338697,2.12132034355964
Control,9,1.58113883008419,1.58113883008419
Control,15,1.87082869338697,1.87082869338697
Control,15,2.12132034355964,1.58113883008419
Control,15,2.91547594742265,1.87082869338697
Control,15,1.87082869338697,2.12132034355964
Control,15,1.22474487139159,1.58113883008419
Control,15,1.87082869338697,2.12132034355964
Control,15,2.12132034355964,2.34520787991171
Control,15,2.12132034355964,2.12132034355964
Control,15,1.87082869338697,2.12132034355964
Control,15,1.58113883008419,1.58113883008419
Control,15,1.87082869338697,2.34520787991171
Control,15,1.58113883008419,1.58113883008419
Control,15,1.22474487139159,1.58113883008419
Control,15,1.87082869338697,2.12132034355964
Control,15,3.24037034920393,2.34520787991171
Control,15,1.58113883008419,1.58113883008419
Control,15,2.34520787991171,2.12132034355964
Control,15,2.12132034355964,1.87082869338697
Control,15,1.87082869338697,1.22474487139159
Control,15,2.54950975679639,2.54950975679639
Control,18,2.12132034355964,1.87082869338697
Control,18,1.87082869338697,1.87082869338697
Control,18,1.58113883008419,1.58113883008419
Control,18,1.58113883008419,2.54950975679639
Control,18,1.22474487139159,1.22474487139159
Control,18,0.707106781186548,0.707106781186548
Control,18,2.12132034355964,1.87082869338697
Control,18,1.22474487139159,1.87082869338697
Control,18,1.58113883008419,1.58113883008419
Control,18,2.54950975679639,2.34520787991171
Control,18,2.12132034355964,2.12132034355964
Control,18,2.34520787991171,2.54950975679639
Control,18,1.58113883008419,1.58113883008419
Control,18,1.58113883008419,1.58113883008419
Control,18,1.58113883008419,1.58113883008419
Control,18,2.73861278752583,1.87082869338697
Control,18,2.34520787991171,1.58113883008419
Control,18,0.707106781186548,0.707106781186548
Control,18,0.707106781186548,0.707106781186548
Control,18,1.22474487139159,1.22474487139159
Control,18,2.34520787991171,2.54950975679639
Control,18,1.22474487139159,1.22474487139159
Control,18,1.87082869338697,1.87082869338697
Control,20,1.58113883008419,1.22474487139159
Control,20,0.707106781186548,0.707106781186548
Control,20,0.707106781186548,0.707106781186548
Control,20,1.58113883008419,1.58113883008419
Control,20,1.87082869338697,1.58113883008419
Control,20,1.58113883008419,1.58113883008419
Control,20,1.58113883008419,1.58113883008419
Control,20,0.707106781186548,0.707106781186548
Control,20,0.707106781186548,0.707106781186548
Control,20,1.87082869338697,1.87082869338697
Control,20,1.87082869338697,1.58113883008419
Control,20,1.87082869338697,1.87082869338697
Control,20,2.12132034355964,1.58113883008419
Control,20,1.58113883008419,1.87082869338697
Control,20,2.34520787991171,2.12132034355964
Control,20,1.58113883008419,0.707106781186548
Control,20,1.87082869338697,1.87082869338697
Control,20,1.58113883008419,1.58113883008419
Control,20,1.22474487139159,1.22474487139159
Control,20,1.58113883008419,1.58113883008419
Control,20,1.87082869338697,1.87082869338697
Leaflet,2,1.58113883008419,2.12132034355964
Leaflet,2,2.54950975679639,1.87082869338697
Leaflet,2,1.87082869338697,2.12132034355964
Leaflet,2,1.22474487139159,1.58113883008419
