star_sign,believe,true,frequency
Capricorn,Unbeliever,Horoscope didn't come true,56
Capricorn,Unbeliever,Horoscope came true,46
Capricorn,Believer,Horoscope didn't come true,50
Capricorn,Believer,Horoscope came true,60
Aquarius,Unbeliever,Horoscope didn't come true,26
Aquarius,Unbeliever,Horoscope came true,20
Aquarius,Believer,Horoscope didn't come true,22
Aquarius,Believer,Horoscope came true,29
Pisces,Unbeliever,Horoscope didn't come true,55
Pisces,Unbeliever,Horoscope came true,51
Pisces,Believer,Horoscope didn't come true,64
Pisces,Believer,Horoscope came true,70
Aries,Unbeliever,Horoscope didn't come true,42
Aries,Unbeliever,Horoscope came true,36
Aries,Believer,Horoscope didn't come true,70
Aries,Believer,Horoscope came true,54
Taurus,Unbeliever,Horoscope didn't come true,56
Taurus,Unbeliever,Horoscope came true,42
Taurus,Believer,Horoscope didn't come true,41
Taurus,Believer,Horoscope came true,50
Gemini,Unbeliever,Horoscope didn't come true,65
Gemini,Unbeliever,Horoscope came true,53
Gemini,Believer,Horoscope didn't come true,40
Gemini,Believer,Horoscope came true,48
Cancer,Unbeliever,Horoscope didn't come true,84
Cancer,Unbeliever,Horoscope came true,76
Cancer,Believer,Horoscope didn't come true,96
Cancer,Believer,Horoscope came true,83
Leo,Unbeliever,Horoscope didn't come true,14
Leo,Unbeliever,Horoscope came true,23
Leo,Believer,Horoscope didn't come true,12
Leo,Believer,Horoscope came true,20
Virgo,Unbeliever,Horoscope didn't come true,69
Virgo,Unbeliever,Horoscope came true,55
Virgo,Believer,Horoscope didn't come true,49
Virgo,Believer,Horoscope came true,66
Libra,Unbeliever,Horoscope didn't come true,27
Libra,Unbeliever,Horoscope came true,26
Libra,Believer,Horoscope didn't come true,22
Libra,Believer,Horoscope came true,36
Scorpio,Unbeliever,Horoscope didn't come true,32
Scorpio,Unbeliever,Horoscope came true,20
Scorpio,Believer,Horoscope didn't come true,24
Scorpio,Believer,Horoscope came true,32
Sagittarius,Unbeliever,Horoscope didn't come true,56
Sagittarius,Unbeliever,Horoscope came true,41
Sagittarius,Believer,Horoscope didn't come true,42
Sagittarius,Believer,Horoscope came true,50
