id,cloak,mischief_pre,mischief
rridln,No cloak,4,11
huykqd,No cloak,5,7
kvjyal,No cloak,8,8
lglvxf,No cloak,6,7
kqrfec,No cloak,6,10
xakihe,No cloak,4,7
jyccwc,No cloak,3,11
tfkpgu,No cloak,6,7
qhafji,No cloak,7,11
jrynqk,No cloak,1,6
elcbru,No cloak,8,8
oyueok,No cloak,2,7
uwkjds,No cloak,5,8
jlvvgm,No cloak,6,9
hvbnny,No cloak,2,9
qmjjbp,No cloak,5,10
vblgfd,No cloak,0,6
nvdhoj,No cloak,4,10
jbfsmm,No cloak,5,9
vysdib,No cloak,5,8
xtiney,No cloak,2,7
rvaeir,No cloak,3,7
trulia,No cloak,5,9
qaaakm,No cloak,7,12
uwyano,No cloak,5,10
ewjpps,No cloak,7,10
qdttgr,No cloak,4,9
ixvbpp,No cloak,4,9
tqiebi,No cloak,4,11
grtlid,No cloak,1,9
achupl,No cloak,3,8
bummxk,No cloak,3,6
qnuubv,No cloak,5,12
jpuind,No cloak,4,10
fhrcfj,Cloak,1,10
vptbju,Cloak,7,10
iobgja,Cloak,7,9
nuyvds,Cloak,6,12
dhygga,Cloak,9,11
ftrxqc,Cloak,5,5
slcfje,Cloak,4,13
dqhiud,Cloak,10,12
nncguw,Cloak,7,13
gwvuxb,Cloak,7,10
hvutoj,Cloak,2,12
nmtlev,Cloak,2,12
ssjnto,Cloak,4,10
mrgceu,Cloak,6,12
ccuxxx,Cloak,4,11
xganan,Cloak,6,11
vusbqq,Cloak,5,12
dipxep,Cloak,1,7
svyfrt,Cloak,6,9
mpqpuo,Cloak,3,8
fchequ,Cloak,2,13
twohdt,Cloak,4,10
sgxxom,Cloak,1,9
grbtfd,Cloak,2,10
ilcylw,Cloak,2,8
ckmtqm,Cloak,3,8
wahfpp,Cloak,6,13
utvcjy,Cloak,1,6
esukpr,Cloak,6,11
gkjllp,Cloak,6,9
ksaink,Cloak,6,8
hcmwje,Cloak,5,11
cxnsub,Cloak,6,10
sashav,Cloak,1,10
wxdkmr,Cloak,7,9
pbipnc,Cloak,6,13
fvayhc,Cloak,5,9
rgkfmx,Cloak,7,12
corspv,Cloak,6,10
evornr,Cloak,4,9
ovlwra,Cloak,4,13
ongmne,Cloak,7,9
vgsmed,Cloak,2,10
sghwpa,Cloak,3,8
bhugop,Cloak,6,10
nhapva,Cloak,0,10
