id,strategy,time,success
1,Hard work,Baseline,53
2,Hard work,Baseline,62
3,Hard work,Baseline,52
4,Hard work,Baseline,57
5,Hard work,Baseline,55
6,Hard work,Baseline,52
7,Hard work,Baseline,45
8,Hard work,Baseline,46
9,Hard work,Baseline,49
10,Hard work,Baseline,44
11,Hard work,Baseline,72
12,Hard work,Baseline,55
13,Hard work,Baseline,57
14,Hard work,Baseline,42
15,Hard work,Baseline,48
16,Hard work,Baseline,59
17,Hard work,Baseline,42
18,Hard work,Baseline,36
19,Hard work,Baseline,56
20,Hard work,Baseline,55
21,Hard work,Baseline,49
22,Hard work,Baseline,59
23,Hard work,Baseline,47
24,Hard work,Baseline,62
25,Hard work,Baseline,44
26,Hard work,Baseline,38
27,Hard work,Baseline,61
28,Hard work,Baseline,52
29,Hard work,Baseline,39
30,Hard work,Baseline,47
31,Hard work,Baseline,37
32,Hard work,Baseline,46
33,Hard work,Baseline,53
34,Hard work,Baseline,62
35,Hard work,Baseline,68
36,Hard work,Baseline,62
37,Hard work,Baseline,35
38,Hard work,Baseline,49
39,Hard work,Baseline,45
40,Hard work,Baseline,39
41,Hard work,Baseline,56
42,Hard work,Baseline,58
43,Hard work,Baseline,40
44,Hard work,Baseline,59
45,Hard work,Baseline,58
46,Hard work,Baseline,45
47,Hard work,Baseline,50
48,Hard work,Baseline,50
49,Hard work,Baseline,44
50,Hard work,Baseline,52
51,Hard work,Baseline,43
52,Hard work,Baseline,63
53,Hard work,Baseline,30
54,Hard work,Baseline,43
55,Hard work,Baseline,30
56,Hard work,Baseline,50
57,Hard work,Baseline,55
58,Hard work,Baseline,24
59,Hard work,Baseline,40
60,Hard work,Baseline,59
61,Hard work,Baseline,58
62,Hard work,Baseline,54
63,Hard work,Baseline,52
64,Hard work,Baseline,41
65,Hard work,Baseline,55
66,Hard work,Baseline,51
67,Hard work,Baseline,39
68,Hard work,Baseline,42
69,Hard work,Baseline,52
70,Hard work,Baseline,70
71,Hard work,Baseline,54
72,Hard work,Baseline,62
73,Hard work,Baseline,44
74,Hard work,Baseline,39
75,Hard work,Baseline,49
76,Hard work,Baseline,55
77,Hard work,Baseline,45
78,Hard work,Baseline,60
79,Hard work,Baseline,58
80,Hard work,Baseline,65
81,Hard work,Baseline,51
82,Hard work,Baseline,36
83,Hard work,Baseline,58
84,Hard work,Baseline,54
85,Hard work,Baseline,52
86,Hard work,Baseline,50
87,Hard work,Baseline,23
88,Hard work,Baseline,52
89,Hard work,Baseline,65
90,Hard work,Baseline,54
91,Hard work,Baseline,40
92,Hard work,Baseline,77
93,Hard work,Baseline,51
94,Hard work,Baseline,39
95,Hard work,Baseline,39
96,Hard work,Baseline,48
97,Hard work,Baseline,42
98,Hard work,Baseline,39
99,Hard work,Baseline,48
100,Hard work,Baseline,48
101,Hard work,Baseline,44
102,Hard work,Baseline,55
103,Hard work,Baseline,67
104,Hard work,Baseline,44
105,Hard work,Baseline,39
106,Hard work,Baseline,48
107,Hard work,Baseline,59
108,Hard work,Baseline,60
109,Hard work,Baseline,66
110,Hard work,Baseline,50
111,Hard work,Baseline,50
112,Hard work,Baseline,48
113,Hard work,Baseline,64
114,Hard work,Baseline,52
115,Hard work,Baseline,45
116,Hard work,Baseline,55
117,Hard work,Baseline,33
118,Hard work,Baseline,53
119,Hard work,Baseline,45
120,Hard work,Baseline,51
121,Hard work,Baseline,54
122,Hard work,Baseline,57
123,Hard work,Baseline,57
124,Hard work,Baseline,46
125,Hard work,Baseline,42
126,Wish upon a star,Baseline,37
127,Wish upon a star,Baseline,45
128,Wish upon a star,Baseline,56
129,Wish upon a star,Baseline,78
130,Wish upon a star,Baseline,52
131,Wish upon a star,Baseline,42
132,Wish upon a star,Baseline,42
133,Wish upon a star,Baseline,51
134,Wish upon a star,Baseline,51
135,Wish upon a star,Baseline,45
136,Wish upon a star,Baseline,61
137,Wish upon a star,Baseline,46
138,Wish upon a star,Baseline,39
139,Wish upon a star,Baseline,42
140,Wish upon a star,Baseline,52
141,Wish upon a star,Baseline,57
142,Wish upon a star,Baseline,32
143,Wish upon a star,Baseline,52
144,Wish upon a star,Baseline,69
145,Wish upon a star,Baseline,46
146,Wish upon a star,Baseline,56
147,Wish upon a star,Baseline,52
148,Wish upon a star,Baseline,50
149,Wish upon a star,Baseline,38
150,Wish upon a star,Baseline,63
151,Wish upon a star,Baseline,52
152,Wish upon a star,Baseline,59
153,Wish upon a star,Baseline,66
154,Wish upon a star,Baseline,46
155,Wish upon a star,Baseline,38
156,Wish upon a star,Baseline,52
157,Wish upon a star,Baseline,45
158,Wish upon a star,Baseline,47
159,Wish upon a star,Baseline,60
160,Wish upon a star,Baseline,56
161,Wish upon a star,Baseline,63
162,Wish upon a star,Baseline,47
163,Wish upon a star,Baseline,45
164,Wish upon a star,Baseline,50
165,Wish upon a star,Baseline,52
166,Wish upon a star,Baseline,62
167,Wish upon a star,Baseline,63
168,Wish upon a star,Baseline,52
169,Wish upon a star,Baseline,52
170,Wish upon a star,Baseline,54
171,Wish upon a star,Baseline,49
172,Wish upon a star,Baseline,58
173,Wish upon a star,Baseline,76
174,Wish upon a star,Baseline,60
175,Wish upon a star,Baseline,43
176,Wish upon a star,Baseline,29
177,Wish upon a star,Baseline,43
178,Wish upon a star,Baseline,52
179,Wish upon a star,Baseline,37
180,Wish upon a star,Baseline,40
181,Wish upon a star,Baseline,62
182,Wish upon a star,Baseline,47
183,Wish upon a star,Baseline,65
184,Wish upon a star,Baseline,53
185,Wish upon a star,Baseline,35
186,Wish upon a star,Baseline,54
187,Wish upon a star,Baseline,63
188,Wish upon a star,Baseline,52
189,Wish upon a star,Baseline,51
190,Wish upon a star,Baseline,50
191,Wish upon a star,Baseline,38
