id,partners,colour,attractiveness
fxsu,Some,Pale pink,31.25
mtdp,Very little,Pale pink,52.5
udqb,Very little,Pale pink,61.75
cdub,Some,Pale pink,27.75
gqnb,Some,Pale pink,16.25
gnyb,Some,Pale pink,36.125
andq,Very little,Pale pink,55.875
gvlo,Some,Pale pink,58.375
japg,Very little,Pale pink,54.5
xbg,Very little,Pale pink,38.25
ylyc,Very little,Pale pink,33
vkhe,Very little,Pale pink,35.25
orb,Very little,Pale pink,32.25
roap,Very little,Pale pink,48.25
spbs,Very little,Pale pink,32.875
jxea,Some,Pale pink,7.5
gtju,Some,Pale pink,67.25
nxay,Very little,Pale pink,22.5
itm,Some,Pale pink,86
nuvg,Very little,Pale pink,8.5
ymww,Very little,Pale pink,62
guma,Some,Pale pink,34.5
lbse,Some,Pale pink,77
lvsg,Very little,Pale pink,17.25
vjdx,Some,Pale pink,51.75
nuk,Very little,Pale pink,50.75
skmp,Very little,Pale pink,46.75
nlk,Some,Pale pink,24.5
kcvy,Very little,Pale pink,18.25
okmg,Some,Pale pink,46.25
wohb,Some,Pale pink,27.75
wvv,Some,Pale pink,31.25
ykdv,Some,Pale pink,27.375
nakb,Some,Pale pink,24.5
gbav,Some,Pale pink,41.75
uvoq,Some,Pale pink,14.75
yrqn,Very little,Pale pink,66.875
u,Some,Pale pink,35.375
hswc,Very little,Pale pink,48.375
tvgw,Very little,Pale pink,24.375
fxsu,Some,Light pink,37.5
mtdp,Very little,Light pink,31.25
udqb,Very little,Light pink,65.375
cdub,Some,Light pink,29
gqnb,Some,Light pink,18
gnyb,Some,Light pink,46.625
andq,Very little,Light pink,56.125
gvlo,Some,Light pink,53.25
japg,Very little,Light pink,50.25
xbg,Very little,Light pink,42.375
ylyc,Very little,Light pink,53.5
vkhe,Very little,Light pink,39
orb,Very little,Light pink,34.75
roap,Very little,Light pink,52.75
spbs,Very little,Light pink,44.875
jxea,Some,Light pink,9.625
gtju,Some,Light pink,69
nxay,Very little,Light pink,24
itm,Some,Light pink,89.25
nuvg,Very little,Light pink,8.75
ymww,Very little,Light pink,64
guma,Some,Light pink,33
lbse,Some,Light pink,76.25
lvsg,Very little,Light pink,12.5
vjdx,Some,Light pink,53.5
nuk,Very little,Light pink,61.875
skmp,Very little,Light pink,49.25
nlk,Some,Light pink,23.75
kcvy,Very little,Light pink,24
okmg,Some,Light pink,43
wohb,Some,Light pink,40
wvv,Some,Light pink,25.375
ykdv,Some,Light pink,20.875
nakb,Some,Light pink,25.375
gbav,Some,Light pink,44.125
uvoq,Some,Light pink,17.875
yrqn,Very little,Light pink,79.625
u,Some,Light pink,39.5
hswc,Very little,Light pink,48.875
tvgw,Very little,Light pink,19.25
fxsu,Some,Dark pink,35.75
mtdp,Very little,Dark pink,40.25
udqb,Very little,Dark pink,66
cdub,Some,Dark pink,19
gqnb,Some,Dark pink,16
gnyb,Some,Dark pink,43.375
andq,Very little,Dark pink,57.5
gvlo,Some,Dark pink,56.25
japg,Very little,Dark pink,47.75
xbg,Very little,Dark pink,41.875
ylyc,Very little,Dark pink,60.75
vkhe,Very little,Dark pink,40.75
orb,Very little,Dark pink,38
roap,Very little,Dark pink,50.5
spbs,Very little,Dark pink,46.75
jxea,Some,Dark pink,8.25
gtju,Some,Dark pink,66
nxay,Very little,Dark pink,32
itm,Some,Dark pink,84.75
nuvg,Very little,Dark pink,8.5
ymww,Very little,Dark pink,60.25
guma,Some,Dark pink,28.5
lbse,Some,Dark pink,81
lvsg,Very little,Dark pink,14.75
vjdx,Some,Dark pink,46.75
nuk,Very little,Dark pink,52.75
skmp,Very little,Dark pink,61.75
nlk,Some,Dark pink,23.5
kcvy,Very little,Dark pink,20.5
okmg,Some,Dark pink,40.75
wohb,Some,Dark pink,31.5
wvv,Some,Dark pink,19.5
ykdv,Some,Dark pink,13.875
nakb,Some,Dark pink,26.875
gbav,Some,Dark pink,40.5
uvoq,Some,Dark pink,12.875
yrqn,Very little,Dark pink,70.75
u,Some,Dark pink,33.75
hswc,Very little,Dark pink,47.625
tvgw,Very little,Dark pink,16.25
fxsu,Some,Red,18.75
mtdp,Very little,Red,48.75
udqb,Very little,Red,57.5
cdub,Some,Red,22.25
gqnb,Some,Red,16.25
gnyb,Some,Red,35.625
andq,Very little,Red,50
gvlo,Some,Red,45.75
japg,Very little,Red,49.625
xbg,Very little,Red,29.5
ylyc,Very little,Red,28
vkhe,Very little,Red,31.5
orb,Very little,Red,44
roap,Very little,Red,45.75
spbs,Very little,Red,28.75
jxea,Some,Red,11.25
gtju,Some,Red,60.75
nxay,Very little,Red,20.25
itm,Some,Red,85
nuvg,Very little,Red,8.25
ymww,Very little,Red,55.25
guma,Some,Red,22.625
lbse,Some,Red,75.5
lvsg,Very little,Red,11.75
vjdx,Some,Red,35.25
nuk,Very little,Red,42.75
skmp,Very little,Red,53
nlk,Some,Red,20.5
kcvy,Very little,Red,21.5
okmg,Some,Red,46.25
wohb,Some,Red,34.5
wvv,Some,Red,19.875
ykdv,Some,Red,18.125
nakb,Some,Red,26.875
gbav,Some,Red,39.5
uvoq,Some,Red,9.375
yrqn,Very little,Red,70.25
u,Some,Red,25.625
hswc,Very little,Red,40.875
tvgw,Very little,Red,8.25
