id,strategy,att_high,av_high,ug_high,att_some,av_some,ug_some,att_none,av_none,ug_none
ip58d,Hard to get,86,84,67,88,69,50,97,48,47
mx86n,Hard to get,91,83,53,83,74,48,86,50,46
wv72f,Hard to get,89,88,48,99,70,48,90,45,48
tn34w,Hard to get,89,69,58,86,77,40,87,47,53
tb10h,Hard to get,80,81,57,88,71,50,82,50,45
re43s,Hard to get,80,84,51,96,63,42,92,48,43
ef58l,Hard to get,89,85,61,87,79,44,86,50,45
zp27w,Hard to get,100,94,56,86,71,54,84,54,47
mg12a,Hard to get,90,74,54,92,71,58,78,38,45
lb22y,Hard to get,89,86,63,80,73,49,91,48,39
js12s,Normal,89,91,93,88,65,54,55,48,52
yc56g,Normal,84,90,85,95,70,60,50,44,45
rw21e,Normal,99,100,89,80,79,53,51,48,44
ed51y,Normal,86,89,83,86,74,58,52,48,47
wn86h,Normal,89,87,80,83,74,43,58,50,48
vv09l,Normal,80,81,79,86,59,47,51,47,40
lh16n,Normal,82,92,85,81,66,47,50,45,47
qg19w,Normal,97,69,87,95,72,51,45,48,46
rt58g,Normal,95,92,90,98,64,53,54,53,45
yw31p,Normal,95,93,96,79,66,46,52,39,47
