id,strategy,attractiveness,charisma,rating
ip58d,Hard to get,Attractive,Highly charismatic,86
mx86n,Hard to get,Attractive,Highly charismatic,91
wv72f,Hard to get,Attractive,Highly charismatic,89
tn34w,Hard to get,Attractive,Highly charismatic,89
tb10h,Hard to get,Attractive,Highly charismatic,80
re43s,Hard to get,Attractive,Highly charismatic,80
ef58l,Hard to get,Attractive,Highly charismatic,89
zp27w,Hard to get,Attractive,Highly charismatic,100
mg12a,Hard to get,Attractive,Highly charismatic,90
lb22y,Hard to get,Attractive,Highly charismatic,89
js12s,Normal,Attractive,Highly charismatic,89
yc56g,Normal,Attractive,Highly charismatic,84
rw21e,Normal,Attractive,Highly charismatic,99
ed51y,Normal,Attractive,Highly charismatic,86
wn86h,Normal,Attractive,Highly charismatic,89
vv09l,Normal,Attractive,Highly charismatic,80
lh16n,Normal,Attractive,Highly charismatic,82
qg19w,Normal,Attractive,Highly charismatic,97
rt58g,Normal,Attractive,Highly charismatic,95
yw31p,Normal,Attractive,Highly charismatic,95
ip58d,Hard to get,Average,Highly charismatic,84
mx86n,Hard to get,Average,Highly charismatic,83
wv72f,Hard to get,Average,Highly charismatic,88
tn34w,Hard to get,Average,Highly charismatic,69
tb10h,Hard to get,Average,Highly charismatic,81
re43s,Hard to get,Average,Highly charismatic,84
ef58l,Hard to get,Average,Highly charismatic,85
zp27w,Hard to get,Average,Highly charismatic,94
mg12a,Hard to get,Average,Highly charismatic,74
lb22y,Hard to get,Average,Highly charismatic,86
js12s,Normal,Average,Highly charismatic,91
yc56g,Normal,Average,Highly charismatic,90
rw21e,Normal,Average,Highly charismatic,100
ed51y,Normal,Average,Highly charismatic,89
wn86h,Normal,Average,Highly charismatic,87
vv09l,Normal,Average,Highly charismatic,81
lh16n,Normal,Average,Highly charismatic,92
qg19w,Normal,Average,Highly charismatic,69
rt58g,Normal,Average,Highly charismatic,92
yw31p,Normal,Average,Highly charismatic,93
ip58d,Hard to get,Ugly,Highly charismatic,67
mx86n,Hard to get,Ugly,Highly charismatic,53
wv72f,Hard to get,Ugly,Highly charismatic,48
tn34w,Hard to get,Ugly,Highly charismatic,58
tb10h,Hard to get,Ugly,Highly charismatic,57
re43s,Hard to get,Ugly,Highly charismatic,51
ef58l,Hard to get,Ugly,Highly charismatic,61
zp27w,Hard to get,Ugly,Highly charismatic,56
mg12a,Hard to get,Ugly,Highly charismatic,54
lb22y,Hard to get,Ugly,Highly charismatic,63
js12s,Normal,Ugly,Highly charismatic,93
yc56g,Normal,Ugly,Highly charismatic,85
rw21e,Normal,Ugly,Highly charismatic,89
ed51y,Normal,Ugly,Highly charismatic,83
wn86h,Normal,Ugly,Highly charismatic,80
vv09l,Normal,Ugly,Highly charismatic,79
lh16n,Normal,Ugly,Highly charismatic,85
qg19w,Normal,Ugly,Highly charismatic,87
rt58g,Normal,Ugly,Highly charismatic,90
yw31p,Normal,Ugly,Highly charismatic,96
ip58d,Hard to get,Attractive,Some charisma,88
mx86n,Hard to get,Attractive,Some charisma,83
wv72f,Hard to get,Attractive,Some charisma,99
tn34w,Hard to get,Attractive,Some charisma,86
tb10h,Hard to get,Attractive,Some charisma,88
re43s,Hard to get,Attractive,Some charisma,96
ef58l,Hard to get,Attractive,Some charisma,87
zp27w,Hard to get,Attractive,Some charisma,86
mg12a,Hard to get,Attractive,Some charisma,92
lb22y,Hard to get,Attractive,Some charisma,80
js12s,Normal,Attractive,Some charisma,88
yc56g,Normal,Attractive,Some charisma,95
rw21e,Normal,Attractive,Some charisma,80
ed51y,Normal,Attractive,Some charisma,86
wn86h,Normal,Attractive,Some charisma,83
vv09l,Normal,Attractive,Some charisma,86
lh16n,Normal,Attractive,Some charisma,81
qg19w,Normal,Attractive,Some charisma,95
rt58g,Normal,Attractive,Some charisma,98
yw31p,Normal,Attractive,Some charisma,79
ip58d,Hard to get,Average,Some charisma,69
mx86n,Hard to get,Average,Some charisma,74
wv72f,Hard to get,Average,Some charisma,70
tn34w,Hard to get,Average,Some charisma,77
tb10h,Hard to get,Average,Some charisma,71
re43s,Hard to get,Average,Some charisma,63
ef58l,Hard to get,Average,Some charisma,79
zp27w,Hard to get,Average,Some charisma,71
mg12a,Hard to get,Average,Some charisma,71
lb22y,Hard to get,Average,Some charisma,73
js12s,Normal,Average,Some charisma,65
yc56g,Normal,Average,Some charisma,70
rw21e,Normal,Average,Some charisma,79
ed51y,Normal,Average,Some charisma,74
wn86h,Normal,Average,Some charisma,74
vv09l,Normal,Average,Some charisma,59
lh16n,Normal,Average,Some charisma,66
qg19w,Normal,Average,Some charisma,72
rt58g,Normal,Average,Some charisma,64
yw31p,Normal,Average,Some charisma,66
ip58d,Hard to get,Ugly,Some charisma,50
mx86n,Hard to get,Ugly,Some charisma,48
wv72f,Hard to get,Ugly,Some charisma,48
tn34w,Hard to get,Ugly,Some charisma,40
tb10h,Hard to get,Ugly,Some charisma,50
re43s,Hard to get,Ugly,Some charisma,42
ef58l,Hard to get,Ugly,Some charisma,44
zp27w,Hard to get,Ugly,Some charisma,54
mg12a,Hard to get,Ugly,Some charisma,58
lb22y,Hard to get,Ugly,Some charisma,49
js12s,Normal,Ugly,Some charisma,54
yc56g,Normal,Ugly,Some charisma,60
