id,age,gossip,mate_value
75av1,24,NA,NA
33mad,24,1.0625,2.888888888888889
7l0p9,47,1.3125,2.7777777777777777
57383,49,2.25,1.1111111111111112
1iyik,50,1,3.2222222222222223
px68c,50,1,1.4444444444444444
4f08n,50,1,1.6666666666666667
50t1p,21,5,4.777777777777778
fb65s,21,5,5
vy882,24,3.857142857142857,5
huq37,46,2.125,3.111111111111111
5x0k7,24,3.9375,4
7g3ox,49,1.375,1
is1i6,20,3.375,3.7777777777777777
himbi,20,3.625,3.7777777777777777
4w8j7,20,3,3.5555555555555554
2q4e8,46,2.875,2.5555555555555554
9k8j2,20,3.5625,3.7777777777777777
yp25e,22,3.625,2.3333333333333335
5xrem,23,3.4375,3.7777777777777777
c7j0y,20,3.5625,3.7777777777777777
2qcw3,22,2.75,2.4444444444444446
887m7,45,1.375,4
fe4hw,50,3,2.888888888888889
8hqrw,23,2.3125,1.7777777777777777
tx6if,25,1.5625,3.2222222222222223
wd6hd,46,2.0625,3.2222222222222223
bb8gx,50,2.8125,3.4444444444444446
q3g57,22,1.4375,3.4444444444444446
8hs54,24,2.625,2.4444444444444446
9alf3,25,2.875,3.5555555555555554
6p8sl,20,1.75,3.3333333333333335
x6ww4,21,1.125,2.7777777777777777
3fwyb,23,2.1875,2.4444444444444446
uhw8y,23,1.875,1.4444444444444444
7bu6q,24,3.0625,3.111111111111111
bhxnl,46,1.9375,2.888888888888889
3f313,20,3.0625,3.4444444444444446
uo354,20,1.625,3.6666666666666665
4ff52,20,1.1875,2.5555555555555554
652fa,20,2.1875,3.2222222222222223
bf6ej,21,1.1875,4.111111111111111
b1y11,21,2.875,3.5555555555555554
64b49,21,2.375,1
80x6m,21,2,2.2222222222222223
g22v9,22,1.8,3.7777777777777777
y9x01,22,1.375,2.6666666666666665
21743,24,2.6875,3.111111111111111
m87x8,25,1,1.7777777777777777
tl935,25,1.3125,3.5555555555555554
j3j8g,25,3.0625,3
c41e2,25,1.0625,2.7777777777777777
8vt64,25,1.25,2.2222222222222223
dj247,25,2.5,3
7a20t,45,3,3.6666666666666665
7je74,46,3.25,2.4444444444444446
7h4qg,46,2,2.5555555555555554
cef6c,48,1.1875,2.5555555555555554
0i67q,50,1,1.2222222222222223
u0mn7,50,2.5,3.111111111111111
6ov7b,50,1.0625,2.7777777777777777
t1b4k,50,2.4375,NA
1tb8v,50,3,1.8888888888888888
e5gr3,50,1,2
5158u,20,3.9375,3.111111111111111
47uy2,20,2.3125,3.4444444444444446
t7oci,20,2.625,3.4444444444444446
208pj,20,3,3.7777777777777777
0x8a8,21,2.375,2.6666666666666665
243cw,23,2.625,3.5555555555555554
1778y,25,1.875,3.4444444444444446
dffe7,47,1.3125,3.2222222222222223
t1qo6,48,1.125,1.7777777777777777
jqt37,20,3.25,2.888888888888889
ef403,20,1.3125,2.888888888888889
04hpa,22,3,3.111111111111111
bg3sy,25,1.1875,4.111111111111111
01d14,25,1.0625,2.888888888888889
2p173,24,1,2.5555555555555554
v8f88,25,1,2.6666666666666665
j8p7q,50,1.75,3.3333333333333335
5pa1k,20,2.375,3.888888888888889
52ago,20,1.125,4
