id,species,behaviour
tqfj,Dog,21
mgrw,Dog,21
ptht,Dog,42
xtka,Dog,18
cyis,Dog,15
ntdr,Dog,24
xpft,Dog,36
dycj,Dog,36
dmoq,Dog,18
xaiv,Dog,24
yspe,Dog,30
swmp,Dog,39
sblm,Dog,21
vrrd,Dog,15
phdr,Dog,51
yaff,Dog,24
vgmw,Dog,48
vqsq,Dog,18
ssmr,Dog,36
mwmk,Dog,24
bbwd,Man,30
jlei,Man,27
cvdw,Man,30
plfb,Man,33
okuu,Man,24
trfs,Man,15
llyg,Man,12
uabd,Man,30
rwjg,Man,21
eaxi,Man,54
arxc,Man,30
uxxi,Man,18
ghha,Man,39
obrx,Man,30
vgwn,Man,27
knya,Man,24
jokm,Man,39
mbpx,Man,18
whhi,Man,15
oauj,Man,21
