id,soundtrack,fan,anger
2f33,Metal,Metalhead,8
hm91,Metal,Metalhead,14
586v,Metal,Metalhead,13
v6f3,Metal,Metalhead,12
4t7t,Metal,Metalhead,1
m86y,Metal,Metalhead,2
13f4,Metal,Metalhead,12
1066,Metal,Metalhead,28
a1wa,Metal,Metalhead,14
615h,Metal,Metalhead,12
uk6a,Metal,Metalhead,12
0266,Metal,Metalhead,6
7819,Metal,Metalhead,26
84o4,Metal,Metalhead,8
t9aq,Metal,Metalhead,12
95a8,Angle grinder,Metalhead,62
d32p,Angle grinder,Metalhead,65
s4q4,Angle grinder,Metalhead,90
u3h5,Angle grinder,Metalhead,88
8j8u,Angle grinder,Metalhead,86
9q15,Angle grinder,Metalhead,80
ga74,Angle grinder,Metalhead,71
ttdj,Angle grinder,Metalhead,95
41x8,Angle grinder,Metalhead,78
33j3,Angle grinder,Metalhead,80
8d35,Angle grinder,Metalhead,94
85l1,Angle grinder,Metalhead,78
1f11,Angle grinder,Metalhead,77
3n43,Angle grinder,Metalhead,87
q8s3,Angle grinder,Metalhead,70
nxak,Pop,Metalhead,84
542q,Pop,Metalhead,96
6349,Pop,Metalhead,88
34m5,Pop,Metalhead,88
ik63,Pop,Metalhead,90
b961,Pop,Metalhead,76
fvb3,Pop,Metalhead,64
n740,Pop,Metalhead,96
m36h,Pop,Metalhead,98
wnn2,Pop,Metalhead,92
h330,Pop,Metalhead,78
4537,Pop,Metalhead,83
83am,Pop,Metalhead,100
2d4q,Pop,Metalhead,81
3eg3,Pop,Metalhead,82
9117,Metal,Non-metalhead,98
13x5,Metal,Non-metalhead,84
51d2,Metal,Non-metalhead,80
u40j,Metal,Non-metalhead,70
8myw,Metal,Non-metalhead,97
1613,Metal,Non-metalhead,86
8aob,Metal,Non-metalhead,81
586y,Metal,Non-metalhead,81
77co,Metal,Non-metalhead,69
7xi4,Metal,Non-metalhead,84
vnq1,Metal,Non-metalhead,70
u5pd,Metal,Non-metalhead,72
o622,Metal,Non-metalhead,93
w103,Metal,Non-metalhead,96
b574,Metal,Non-metalhead,84
s5m4,Angle grinder,Non-metalhead,82
2l3m,Angle grinder,Non-metalhead,93
ro5r,Angle grinder,Non-metalhead,68
w9uo,Angle grinder,Non-metalhead,80
h72h,Angle grinder,Non-metalhead,74
x4m1,Angle grinder,Non-metalhead,80
e836,Angle grinder,Non-metalhead,71
9428,Angle grinder,Non-metalhead,94
7k64,Angle grinder,Non-metalhead,96
41f9,Angle grinder,Non-metalhead,70
n4e2,Angle grinder,Non-metalhead,82
v50w,Angle grinder,Non-metalhead,86
2je0,Angle grinder,Non-metalhead,83
7ubf,Angle grinder,Non-metalhead,86
16v8,Angle grinder,Non-metalhead,84
pwm6,Pop,Non-metalhead,23
a864,Pop,Non-metalhead,22
cy74,Pop,Non-metalhead,2
mc7p,Pop,Non-metalhead,30
vaql,Pop,Non-metalhead,18
x0e7,Pop,Non-metalhead,6
e0g0,Pop,Non-metalhead,12
n842,Pop,Non-metalhead,24
6u94,Pop,Non-metalhead,23
531d,Pop,Non-metalhead,0
gufh,Pop,Non-metalhead,30
7rrs,Pop,Non-metalhead,8
d47s,Pop,Non-metalhead,17
v327,Pop,Non-metalhead,12
lhqn,Pop,Non-metalhead,0
