id,gender,drink,imagery,rating
sfxu,Identify as male,Beer,Positive,1
sfxu,Identify as male,Beer,Negative,6
sfxu,Identify as male,Beer,Neutral,5
sfxu,Identify as male,Wine,Positive,38
sfxu,Identify as male,Wine,Negative,-5
sfxu,Identify as male,Wine,Neutral,4
sfxu,Identify as male,Water,Positive,10
sfxu,Identify as male,Water,Negative,-14
sfxu,Identify as male,Water,Neutral,-2
uvla,Identify as male,Beer,Positive,43
uvla,Identify as male,Beer,Negative,30
uvla,Identify as male,Beer,Neutral,8
uvla,Identify as male,Wine,Positive,20
uvla,Identify as male,Wine,Negative,-12
uvla,Identify as male,Wine,Neutral,4
uvla,Identify as male,Water,Positive,9
uvla,Identify as male,Water,Negative,-10
uvla,Identify as male,Water,Neutral,-13
ywla,Identify as male,Beer,Positive,15
ywla,Identify as male,Beer,Negative,15
ywla,Identify as male,Beer,Neutral,12
ywla,Identify as male,Wine,Positive,20
ywla,Identify as male,Wine,Negative,-15
ywla,Identify as male,Wine,Neutral,6
ywla,Identify as male,Water,Positive,6
ywla,Identify as male,Water,Negative,-16
ywla,Identify as male,Water,Neutral,1
dwke,Identify as male,Beer,Positive,40
dwke,Identify as male,Beer,Negative,30
dwke,Identify as male,Beer,Neutral,19
dwke,Identify as male,Wine,Positive,28
dwke,Identify as male,Wine,Negative,-4
dwke,Identify as male,Wine,Neutral,0
dwke,Identify as male,Water,Positive,20
dwke,Identify as male,Water,Negative,-10
dwke,Identify as male,Water,Neutral,2
vtnt,Identify as male,Beer,Positive,8
vtnt,Identify as male,Beer,Negative,12
vtnt,Identify as male,Beer,Neutral,8
vtnt,Identify as male,Wine,Positive,11
vtnt,Identify as male,Wine,Negative,-2
vtnt,Identify as male,Wine,Neutral,6
vtnt,Identify as male,Water,Positive,27
vtnt,Identify as male,Water,Negative,5
vtnt,Identify as male,Water,Neutral,-5
rebr,Identify as male,Beer,Positive,17
rebr,Identify as male,Beer,Negative,17
rebr,Identify as male,Beer,Neutral,15
rebr,Identify as male,Wine,Positive,17
rebr,Identify as male,Wine,Negative,-6
rebr,Identify as male,Wine,Neutral,6
rebr,Identify as male,Water,Positive,9
rebr,Identify as male,Water,Negative,-6
rebr,Identify as male,Water,Neutral,-13
gcou,Identify as male,Beer,Positive,30
gcou,Identify as male,Beer,Negative,21
gcou,Identify as male,Beer,Neutral,21
gcou,Identify as male,Wine,Positive,15
gcou,Identify as male,Wine,Negative,-2
gcou,Identify as male,Wine,Neutral,16
gcou,Identify as male,Water,Positive,19
gcou,Identify as male,Water,Negative,-20
gcou,Identify as male,Water,Neutral,3
dvwn,Identify as male,Beer,Positive,34
dvwn,Identify as male,Beer,Negative,23
dvwn,Identify as male,Beer,Neutral,28
dvwn,Identify as male,Wine,Positive,27
dvwn,Identify as male,Wine,Negative,-7
dvwn,Identify as male,Wine,Neutral,7
dvwn,Identify as male,Water,Positive,12
dvwn,Identify as male,Water,Negative,-12
dvwn,Identify as male,Water,Neutral,2
vuha,Identify as male,Beer,Positive,34
vuha,Identify as male,Beer,Negative,20
vuha,Identify as male,Beer,Neutral,26
vuha,Identify as male,Wine,Positive,24
vuha,Identify as male,Wine,Negative,-10
vuha,Identify as male,Wine,Neutral,12
vuha,Identify as male,Water,Positive,12
vuha,Identify as male,Water,Negative,-9
vuha,Identify as male,Water,Neutral,4
lxgw,Identify as male,Beer,Positive,26
lxgw,Identify as male,Beer,Negative,27
lxgw,Identify as male,Beer,Neutral,27
lxgw,Identify as male,Wine,Positive,23
lxgw,Identify as male,Wine,Negative,-15
lxgw,Identify as male,Wine,Neutral,14
lxgw,Identify as male,Water,Positive,21
lxgw,Identify as male,Water,Negative,-6
lxgw,Identify as male,Water,Neutral,0
dxki,Identify as female,Beer,Positive,1
dxki,Identify as female,Beer,Negative,-19
dxki,Identify as female,Beer,Neutral,-10
dxki,Identify as female,Wine,Positive,28
dxki,Identify as female,Wine,Negative,-13
dxki,Identify as female,Wine,Neutral,13
dxki,Identify as female,Water,Positive,33
dxki,Identify as female,Water,Negative,-2
dxki,Identify as female,Water,Neutral,9
agwf,Identify as female,Beer,Positive,7
agwf,Identify as female,Beer,Negative,-18
agwf,Identify as female,Beer,Neutral,6
agwf,Identify as female,Wine,Positive,26
agwf,Identify as female,Wine,Negative,-16
agwf,Identify as female,Wine,Neutral,19
agwf,Identify as female,Water,Positive,23
agwf,Identify as female,Water,Negative,-17
agwf,Identify as female,Water,Neutral,5
btkw,Identify as female,Beer,Positive,22
btkw,Identify as female,Beer,Negative,-8
btkw,Identify as female,Beer,Neutral,4
btkw,Identify as female,Wine,Positive,34
btkw,Identify as female,Wine,Negative,-23
btkw,Identify as female,Wine,Neutral,14
btkw,Identify as female,Water,Positive,21
btkw,Identify as female,Water,Negative,-19
btkw,Identify as female,Water,Neutral,0
xqah,Identify as female,Beer,Positive,30
xqah,Identify as female,Beer,Negative,-6
xqah,Identify as female,Beer,Neutral,3
xqah,Identify as female,Wine,Positive,32
xqah,Identify as female,Wine,Negative,-22
xqah,Identify as female,Wine,Neutral,21
xqah,Identify as female,Water,Positive,17
xqah,Identify as female,Water,Negative,-11
xqah,Identify as female,Water,Neutral,4
cqbt,Identify as female,Beer,Positive,40
cqbt,Identify as female,Beer,Negative,-6
cqbt,Identify as female,Beer,Neutral,0
cqbt,Identify as female,Wine,Positive,24
cqbt,Identify as female,Wine,Negative,-9
cqbt,Identify as female,Wine,Neutral,19
cqbt,Identify as female,Water,Positive,15
cqbt,Identify as female,Water,Negative,-10
cqbt,Identify as female,Water,Neutral,2
cnvq,Identify as female,Beer,Positive,15
cnvq,Identify as female,Beer,Negative,-9
cnvq,Identify as female,Beer,Neutral,4
cnvq,Identify as female,Wine,Positive,29
cnvq,Identify as female,Wine,Negative,-18
cnvq,Identify as female,Wine,Neutral,7
cnvq,Identify as female,Water,Positive,13
cnvq,Identify as female,Water,Negative,-17
cnvq,Identify as female,Water,Neutral,8
fplc,Identify as female,Beer,Positive,20
fplc,Identify as female,Beer,Negative,-17
fplc,Identify as female,Beer,Neutral,9
fplc,Identify as female,Wine,Positive,30
fplc,Identify as female,Wine,Negative,-17
fplc,Identify as female,Wine,Neutral,12
fplc,Identify as female,Water,Positive,16
fplc,Identify as female,Water,Negative,-4
fplc,Identify as female,Water,Neutral,10
wjra,Identify as female,Beer,Positive,9
wjra,Identify as female,Beer,Negative,-12
wjra,Identify as female,Beer,Neutral,-5
wjra,Identify as female,Wine,Positive,24
wjra,Identify as female,Wine,Negative,-15
wjra,Identify as female,Wine,Neutral,18
wjra,Identify as female,Water,Positive,17
wjra,Identify as female,Water,Negative,-4
wjra,Identify as female,Water,Neutral,8
janf,Identify as female,Beer,Positive,14
janf,Identify as female,Beer,Negative,-11
janf,Identify as female,Beer,Neutral,7
janf,Identify as female,Wine,Positive,34
janf,Identify as female,Wine,Negative,-14
janf,Identify as female,Wine,Neutral,20
janf,Identify as female,Water,Positive,19
janf,Identify as female,Water,Negative,-1
janf,Identify as female,Water,Neutral,12
jxxk,Identify as female,Beer,Positive,15
jxxk,Identify as female,Beer,Negative,-6
jxxk,Identify as female,Beer,Neutral,13
jxxk,Identify as female,Wine,Positive,23
jxxk,Identify as female,Wine,Negative,-15
jxxk,Identify as female,Wine,Neutral,15
jxxk,Identify as female,Water,Positive,29
jxxk,Identify as female,Water,Negative,-1
jxxk,Identify as female,Water,Neutral,10
