month,street,murder
January,Ruskin Avenue,1
February,Ruskin Avenue,0
March,Ruskin Avenue,2
April,Ruskin Avenue,0
May,Ruskin Avenue,1
June,Ruskin Avenue,0
July,Ruskin Avenue,1
August,Ruskin Avenue,1
September,Ruskin Avenue,2
October,Ruskin Avenue,0
November,Ruskin Avenue,1
December,Ruskin Avenue,1
January,Acacia Avenue,0
February,Acacia Avenue,2
March,Acacia Avenue,1
April,Acacia Avenue,3
May,Acacia Avenue,0
June,Acacia Avenue,3
July,Acacia Avenue,0
August,Acacia Avenue,2
September,Acacia Avenue,2
October,Acacia Avenue,1
November,Acacia Avenue,0
December,Acacia Avenue,1
January,Rue Morgue,0
February,Rue Morgue,5
March,Rue Morgue,4
April,Rue Morgue,3
May,Rue Morgue,1
June,Rue Morgue,4
July,Rue Morgue,6
August,Rue Morgue,0
September,Rue Morgue,6
October,Rue Morgue,4
November,Rue Morgue,0
December,Rue Morgue,2
