participant,gender,age,scared,training,int_bias
1,Boy,10,33,Positive training,45
2,Girl,11,12,Negative training,82
3,Girl,10,23,Positive training,111
4,Girl,11,16,Negative training,232
5,Boy,11,8,Positive training,88
6,Girl,11,11,Negative training,142
7,Boy,12,30,Positive training,64
8,Boy,10,1,Negative training,46
9,Boy,10,22,Positive training,94
11,Boy,10,4,Positive training,48
12,Girl,11,11,Negative training,126
13,Boy,11,14,Positive training,126
14,Boy,10,36,Negative training,177
15,Boy,11,22,Positive training,152
16,Boy,10,20,Negative training,141
17,Boy,11,38,Positive training,157
18,Girl,9,22,Negative training,132
19,Boy,10,27,Positive training,81
21,Girl,10,26,Positive training,129
22,Girl,9,12,Negative training,168
23,Girl,10,19,Positive training,134
24,Boy,10,38,Negative training,214
25,Boy,11,27,Positive training,112
26,Boy,10,30,Negative training,141
27,Boy,9,17,Positive training,96
28,Boy,9,32,Negative training,156
29,Girl,10,23,Positive training,153
31,Girl,11,24,Positive training,64
32,Boy,10,12,Negative training,65
33,Girl,11,6,Positive training,67
34,Girl,10,16,Negative training,153
35,Girl,10,16,Positive training,79
36,Boy,11,9,Negative training,64
37,Boy,11,25,Positive training,82
38,Boy,11,8,Negative training,77
39,Boy,11,9,Positive training,120
41,Boy,9,11,Positive training,60
42,Boy,8,32,Negative training,193
43,Girl,9,11,Positive training,111
44,Girl,9,16,Negative training,178
45,Girl,9,20,Positive training,90
46,Girl,10,36,Negative training,207
47,Girl,9,17,Positive training,87
48,Girl,9,24,Negative training,232
49,Girl,9,8,Positive training,210
51,Girl,10,16,Negative training,189
52,Girl,10,12,Negative training,135
53,Boy,10,32,Negative training,164
54,Boy,11,24,Negative training,109
55,Boy,11,2,Negative training,136
56,Boy,11,1,Positive training,90
57,Girl,10,13,Negative training,112
58,Girl,10,19,Positive training,147
59,Girl,11,20,Negative training,168
61,Girl,10,23,Positive training,207
62,Boy,11,12,Negative training,181
63,Boy,10,23,Negative training,167
64,Girl,11,4,Negative training,90
65,Girl,11,11,Negative training,108
66,Girl,8,12,Positive training,196
67,Girl,9,26,Positive training,164
68,Boy,9,4,Positive training,48
69,Girl,8,27,Positive training,101
71,Girl,9,13,Positive training,81
72,Girl,9,5,Negative training,165
73,Girl,10,16,Negative training,104
74,Girl,10,31,Negative training,207
75,Boy,9,2,Positive training,45
76,Boy,10,3,Positive training,70
77,Boy,10,14,Positive training,156
