participant_code,gender,ias1,ias2,ias3,ias4,ias5,ias6,ias7,ias8,ias9,ias10,ias11,ias12,ias13,ias14,ias15,ias16,ias17,ias18,ias19,ias20,ias21,ias22,ias23,ias24,ias25,ias26,ias27,ias28,ias29,ias30,ias31,ias32,ias33,ias34,ias35,ias36
1,male,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
4,male,2,1,3,1,2,1,1,2,1,1,1,3,1,1,1,1,1,1,2,2,2,1,1,2,1,1,3,1,1,1,2,1,2,1,1,1
6,male,4,2,4,2,3,3,4,2,3,3,3,3,2,2,2,2,3,2,3,1,3,2,1,3,2,3,3,2,2,3,3,1,2,2,1,3
7,male,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
10,male,2,1,3,2,1,1,1,2,3,1,2,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,3,1
11,male,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1
12,male,1,1,2,1,1,1,2,3,2,2,1,2,3,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,3,2,2,2,1
19,male,3,2,3,3,2,1,2,4,3,4,1,2,1,2,2,2,1,2,3,2,2,2,1,2,1,1,2,1,2,2,1,1,1,2,1,2
22,male,1,1,2,5,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,male,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,male,1,1,3,3,1,1,1,2,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,3,1,1,2,1,1,1,3,1,1,1,1,1
31,male,4,3,4,3,2,3,4,4,3,2,1,4,3,3,2,2,2,1,4,3,3,2,2,4,2,3,4,3,3,3,5,1,2,2,4,3
32,male,1,1,2,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,male,3,2,4,2,1,2,1,3,3,2,3,2,2,3,3,1,1,2,3,2,3,1,2,3,2,2,3,3,1,2,3,1,1,1,3,2
35,male,1,1,3,2,1,1,1,4,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,3,3,1,1,1,1,1
36,male,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,3,1,1,1,3,1
37,male,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,male,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,male,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,male,1,1,3,2,1,1,1,1,3,1,1,1,3,1,1,1,1,2,1,1,2,1,3,3,1,1,2,1,1,1,3,1,1,1,2,1
44,male,2,3,4,3,1,2,1,3,3,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1,1
45,male,1,3,4,4,2,1,1,4,3,1,2,1,3,2,2,1,1,1,2,1,2,4,2,3,2,1,3,1,1,3,4,2,3,1,3,1
46,male,2,3,2,3,2,1,2,3,1,1,2,3,4,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1,3,1,2,1
47,male,1,2,2,2,1,1,2,2,1,3,2,3,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,male,1,2,4,3,4,1,2,3,1,2,1,3,3,1,1,1,2,2,3,2,3,3,3,2,2,1,2,1,1,1,3,1,1,1,3,2
49,male,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1
50,male,1,2,3,3,1,2,1,2,4,3,3,4,4,2,1,1,2,1,2,2,4,1,1,4,2,2,2,2,3,2,4,1,2,1,1,2
51,male,3,4,3,4,3,2,2,4,1,2,3,3,2,3,2,3,2,2,3,2,3,3,2,2,3,2,2,2,3,2,2,3,2,2,3,2
52,male,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,male,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,male,3,2,4,3,2,1,2,2,2,2,2,3,2,1,2,1,1,2,4,1,3,1,2,4,4,2,3,2,2,2,3,1,2,1,3,1
56,male,2,2,4,3,3,3,4,4,4,3,3,4,2,2,2,2,3,3,4,3,4,1,1,3,4,3,4,2,2,2,3,1,4,2,2,3
57,male,1,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
58,male,1,1,2,1,1,1,2,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,male,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1
61,male,1,1,3,2,1,1,1,2,1,1,1,3,1,1,1,1,1,3,3,1,3,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2
