id,gender_identity,film,arousal
kv8fj,Man,The Notebook,47
7f7ut,Man,The Notebook,38
kas6h,Man,The Notebook,41
22174,Man,The Notebook,35
866e1,Man,The Notebook,43
25136,Man,The Notebook,49
xq32x,Man,The Notebook,38
t9s6j,Man,The Notebook,39
67r1q,Man,The Notebook,44
2bb5i,Man,The Notebook,48
u913r,Man,A documentary about notebooks,25
mq6ua,Man,A documentary about notebooks,8
o520o,Man,A documentary about notebooks,4
rljv0,Man,A documentary about notebooks,16
opn3j,Man,A documentary about notebooks,15
li307,Man,A documentary about notebooks,6
d8s65,Man,A documentary about notebooks,20
r5ynq,Man,A documentary about notebooks,12
645dq,Man,A documentary about notebooks,9
p9str,Man,A documentary about notebooks,23
e343g,Woman,The Notebook,23
y8488,Woman,The Notebook,35
d368r,Woman,The Notebook,25
8tfpc,Woman,The Notebook,36
o3l09,Woman,The Notebook,33
p94um,Woman,The Notebook,40
2nlok,Woman,The Notebook,31
fq851,Woman,The Notebook,39
vsk53,Woman,The Notebook,35
b7221,Woman,The Notebook,27
85w86,Woman,A documentary about notebooks,18
43tf3,Woman,A documentary about notebooks,13
oev4f,Woman,A documentary about notebooks,19
63kx1,Woman,A documentary about notebooks,24
167l1,Woman,A documentary about notebooks,11
1hvq5,Woman,A documentary about notebooks,2
8sy4x,Woman,A documentary about notebooks,9
qf89p,Woman,A documentary about notebooks,19
f610q,Woman,A documentary about notebooks,10
u8g3t,Woman,A documentary about notebooks,2
