id,pswq,anxious,previous,scored
vblm7,18,21,56,Scored penalty
tn8ck,17,32,35,Scored penalty
9o253,16,34,35,Scored penalty
a8853,14,40,15,Scored penalty
9m6fn,5,24,47,Scored penalty
a3c17,1,15,67,Scored penalty
78bkv,4,10,75,Scored penalty
xc7yj,12,19,53,Scored penalty
h200u,11,29,35,Scored penalty
1hm32,15,14,65,Scored penalty
1b2s1,23,5,85,Scored penalty
7f565,11,6,86,Scored penalty
8022w,14,34,23,Scored penalty
845t9,22,27,46,Scored penalty
nn317,12,26,46,Scored penalty
srd56,5,16,67,Scored penalty
36357,6,14,67,Scored penalty
358x5,4,5,84,Scored penalty
024fy,7,10,74,Scored penalty
ixarq,8,13,64,Scored penalty
tv42i,12,19,55,Scored penalty
t316v,14,26,46,Scored penalty
50fdw,13,27,43,Scored penalty
b812n,1,29,35,Scored penalty
odt76,7,30,35,Scored penalty
74wd7,10,31,33,Scored penalty
7kn6v,15,26,45,Scored penalty
j0mr7,16,28,35,Scored penalty
4qv61,18,10,74,Scored penalty
lmar2,17,8,76,Scored penalty
0d884,14,12,75,Scored penalty
7uig8,20,24,44,Scored penalty
y33j8,18,23,47,Scored penalty
t5bfh,2,16,65,Scored penalty
wd3fr,6,14,66,Scored penalty
378fb,4,19,55,Scored penalty
l50gw,4,18,56,Scored penalty
3s9od,2,17,64,Scored penalty
46628,4,20,53,Scored penalty
dvt0a,1,23,47,Scored penalty
7325m,20,26,45,Missed penalty
mff2f,25,29,35,Missed penalty
n68n2,16,21,55,Missed penalty
ml525,18,34,24,Missed penalty
rl0p4,17,38,15,Missed penalty
pcb31,29,39,15,Missed penalty
w9jsc,24,46,4,Missed penalty
4m2as,25,49,1,Missed penalty
6klmc,22,47,1,Missed penalty
9a9gj,26,42,5,Missed penalty
t6ly3,23,41,16,Missed penalty
n141i,25,40,18,Missed penalty
07d5s,28,35,24,Missed penalty
133gw,18,36,23,Missed penalty
sa3es,17,31,34,Missed penalty
1tcr3,14,35,24,Missed penalty
2d3n1,15,42,16,Missed penalty
72677,11,20,56,Missed penalty
1f222,10,24,42,Missed penalty
k5o0o,15,19,56,Missed penalty
h37f4,14,18,56,Missed penalty
1kh3j,16,34,24,Missed penalty
qt318,17,35,24,Missed penalty
52521,25,36,26,Missed penalty
6ult1,24,32,33,Missed penalty
358hw,17,35,24,Missed penalty
2rhv5,27,39,16,Missed penalty
a8bi9,28,38,15,Missed penalty
j19rh,27,41,14,Missed penalty
312tt,25,42,14,Missed penalty
2kiov,26,45,8,Missed penalty
an0b8,22,48,1,Missed penalty
11f1e,28,49,1,Missed penalty
8w3d3,28,46,4,Missed penalty
rf0vg,24,26,45,Missed penalty
