id,ability,position,scored
7h1d0u28,8,3,Scored penalty
2j67841o,5,5,Scored penalty
044466co,6,4,Scored penalty
id51mx82,8,1,Scored penalty
25g65va4,9,5,Scored penalty
t17xmo57,8,3,Scored penalty
q9ets155,7,4,Scored penalty
krp2535b,8,4,Scored penalty
u570d8mk,8,3,Scored penalty
13e8u618,6,5,Scored penalty
1rm7md1u,8,4,Scored penalty
qqrmwv97,6,1,Scored penalty
907j4y79,9,5,Scored penalty
1o26iw81,4,1,Scored penalty
j5x1n1cq,9,5,Scored penalty
11k1qxv4,7,4,Scored penalty
3ojm7lnv,7,1,Scored penalty
246gs7bo,4,2,Missed penalty
n1vfx5xv,8,1,Scored penalty
64w6j598,7,5,Scored penalty
a5clht39,5,5,Scored penalty
jh58b5wr,8,1,Scored penalty
gopx8vb6,7,1,Scored penalty
cl3rjkq4,6,4,Scored penalty
7v86mix6,7,1,Scored penalty
y3c61udm,4,4,Missed penalty
7p1qvs1h,8,3,Scored penalty
uban2h37,8,3,Scored penalty
5810p2qj,8,3,Scored penalty
wt8ouqua,7,5,Scored penalty
exu8m5a4,5,1,Scored penalty
16u73k60,7,3,Scored penalty
r4c6ur76,7,5,Scored penalty
8m7cr448,7,3,Scored penalty
745pu424,9,5,Scored penalty
43195v45,8,3,Scored penalty
0ehndb67,7,3,Scored penalty
63wj8bbi,9,5,Scored penalty
72782xb3,9,4,Scored penalty
3y9ub8f7,5,5,Scored penalty
17o2j460,6,2,Scored penalty
a8fu254m,5,2,Scored penalty
14by35v4,6,5,Scored penalty
3yiuxqy3,7,2,Scored penalty
b4pn75yg,8,2,Scored penalty
6hp3nl16,7,2,Scored penalty
8ye87j28,6,5,Scored penalty
f0fp1mq0,8,1,Scored penalty
7t02y03x,8,5,Scored penalty
5h3r912v,5,4,Scored penalty
2d7qr2jl,9,1,Scored penalty
5e55d6x3,8,3,Scored penalty
92t81qf1,6,1,Scored penalty
x51qmn5l,5,4,Scored penalty
8cdh6lr0,5,1,Scored penalty
eg8i57tw,8,2,Scored penalty
70h6296f,9,3,Scored penalty
cjnuk3tb,7,1,Scored penalty
0e53bwn9,7,2,Scored penalty
8x62bkf5,9,2,Scored penalty
3s7i8ic6,6,3,Missed penalty
528xngs5,7,3,Scored penalty
8j77c1m1,7,3,Scored penalty
lt9423d2,5,2,Scored penalty
uuax21ed,8,2,Missed penalty
jxrh78m3,5,1,Scored penalty
v53l8t5p,10,3,Scored penalty
lt2y1dy9,9,3,Scored penalty
ntaqou3w,9,2,Scored penalty
2ppmdwfw,8,1,Scored penalty
7334yav8,5,4,Scored penalty
onlx23kj,7,1,Scored penalty
8jlb7mod,8,2,Scored penalty
w0g05c5k,8,2,Scored penalty
28meu77r,5,1,Scored penalty
58e6c8ba,8,1,Scored penalty
ivg4m1sg,7,5,Missed penalty
w241oo5d,6,2,Scored penalty
gxy0i5k8,9,5,Scored penalty
27biw7f2,9,5,Scored penalty
yq3867ci,8,1,Scored penalty
5pnhh4me,8,5,Scored penalty
lho623d0,8,5,Scored penalty
t2m62uks,6,3,Scored penalty
3vxdxfgc,7,5,Scored penalty
unjvh33v,7,2,Scored penalty
949933mc,8,3,Scored penalty
b7k1tpn6,5,4,Scored penalty
272n3hky,7,5,Scored penalty
sieb4438,6,4,Scored penalty
3dsbkst1,7,2,Scored penalty
p4m98431,8,4,Scored penalty
r1oldbx7,10,5,Scored penalty
b423hs42,7,3,Missed penalty
sbq406h5,7,3,Scored penalty
1x61mnuu,5,1,Scored penalty
t2so5n7m,9,1,Scored penalty
o60v735q,7,2,Scored penalty
22h66c5c,8,3,Scored penalty
7ubivtdc,9,3,Scored penalty
298313td,9,1,Scored penalty
m1q1o68f,7,5,Scored penalty
6yp7ra0g,5,1,Scored penalty
gwq34217,9,1,Scored penalty
xk28ihaf,4,5,Missed penalty
42u672v6,9,4,Scored penalty
i4hb1i4p,4,3,Scored penalty
e1k04tg1,5,5,Missed penalty
2ch8i6va,8,3,Scored penalty
815to33j,9,5,Scored penalty
67s5d0sr,7,1,Scored penalty
e18a8bpv,9,5,Scored penalty
w3496s5i,7,5,Scored penalty
lf798rg3,6,3,Scored penalty
ds3mmfwu,7,5,Scored penalty
0j13p54q,3,4,Missed penalty
dm2hsta1,9,1,Scored penalty
j2q67a9x,8,2,Scored penalty
0dgkr2o2,8,2,Scored penalty
8j5u4r57,8,1,Scored penalty
9765i78s,7,4,Scored penalty
v31n5j6c,9,3,Scored penalty
prr65t16,9,1,Scored penalty
