id,sound,position,recall
qdmc,Quiet,Position 1,0.8
qdmc,Quiet,Position 2,0.6
qdmc,Quiet,Position 3,0.7
qdmc,Quiet,Position 4,0.1
qdmc,Quiet,Position 5,0.1
qdmc,Quiet,Position 6,0.1
qdmc,Quiet,Position 7,0.2
qdmc,Quiet,Position 8,0.4
qdmc,Liked,Position 1,0.9
qdmc,Liked,Position 2,0.4
qdmc,Liked,Position 3,0.2
qdmc,Liked,Position 4,0
qdmc,Liked,Position 5,0
qdmc,Liked,Position 6,0.1
qdmc,Liked,Position 7,0.2
qdmc,Liked,Position 8,0.4
qdmc,Disliked,Position 1,0.8
qdmc,Disliked,Position 2,0.7
qdmc,Disliked,Position 3,0.4
qdmc,Disliked,Position 4,0.1
qdmc,Disliked,Position 5,0.1
qdmc,Disliked,Position 6,0.1
qdmc,Disliked,Position 7,0.5
qdmc,Disliked,Position 8,0.8
fjng,Quiet,Position 1,0.9
fjng,Quiet,Position 2,0.6
fjng,Quiet,Position 3,0.6
fjng,Quiet,Position 4,0.3
fjng,Quiet,Position 5,0.4
fjng,Quiet,Position 6,0.2
fjng,Quiet,Position 7,0.1
fjng,Quiet,Position 8,0.2
fjng,Liked,Position 1,0.6
fjng,Liked,Position 2,0.3
fjng,Liked,Position 3,0.5
fjng,Liked,Position 4,0.2
fjng,Liked,Position 5,0.2
fjng,Liked,Position 6,0.1
fjng,Liked,Position 7,0.2
fjng,Liked,Position 8,0.3
fjng,Disliked,Position 1,0.8
fjng,Disliked,Position 2,0.4
fjng,Disliked,Position 3,0.3
fjng,Disliked,Position 4,0.2
fjng,Disliked,Position 5,0.1
fjng,Disliked,Position 6,0.1
fjng,Disliked,Position 7,0.2
fjng,Disliked,Position 8,0.2
ebsq,Quiet,Position 1,0.9
ebsq,Quiet,Position 2,0.9
ebsq,Quiet,Position 3,0.9
ebsq,Quiet,Position 4,0.8
ebsq,Quiet,Position 5,0.8
ebsq,Quiet,Position 6,0.7
ebsq,Quiet,Position 7,0.6
ebsq,Quiet,Position 8,0.9
ebsq,Liked,Position 1,0.8
ebsq,Liked,Position 2,0.7
ebsq,Liked,Position 3,0.5
ebsq,Liked,Position 4,0.5
ebsq,Liked,Position 5,0.3
ebsq,Liked,Position 6,0.3
ebsq,Liked,Position 7,0.1
ebsq,Liked,Position 8,0
ebsq,Disliked,Position 1,0.8
ebsq,Disliked,Position 2,1
ebsq,Disliked,Position 3,0.9
ebsq,Disliked,Position 4,0.9
ebsq,Disliked,Position 5,0.8
ebsq,Disliked,Position 6,0.8
ebsq,Disliked,Position 7,0.8
ebsq,Disliked,Position 8,0.7
tkvx,Quiet,Position 1,0.8
tkvx,Quiet,Position 2,0.5
tkvx,Quiet,Position 3,0.6
tkvx,Quiet,Position 4,0.8
tkvx,Quiet,Position 5,0.3
tkvx,Quiet,Position 6,0.5
tkvx,Quiet,Position 7,0.3
tkvx,Quiet,Position 8,0.5
tkvx,Liked,Position 1,0.6
tkvx,Liked,Position 2,0.6
tkvx,Liked,Position 3,0
tkvx,Liked,Position 4,0.1
tkvx,Liked,Position 5,0.2
tkvx,Liked,Position 6,0.1
tkvx,Liked,Position 7,0.1
tkvx,Liked,Position 8,0.2
tkvx,Disliked,Position 1,0.9
tkvx,Disliked,Position 2,0.8
tkvx,Disliked,Position 3,0.8
tkvx,Disliked,Position 4,0.6
tkvx,Disliked,Position 5,0.6
tkvx,Disliked,Position 6,0.1
tkvx,Disliked,Position 7,0.2
tkvx,Disliked,Position 8,0.1
xmql,Quiet,Position 1,1.8
xmql,Quiet,Position 2,0.3
xmql,Quiet,Position 3,0.1
xmql,Quiet,Position 4,0.2
xmql,Quiet,Position 5,0.3
xmql,Quiet,Position 6,0.4
xmql,Quiet,Position 7,0.8
xmql,Quiet,Position 8,0.8
xmql,Liked,Position 1,0.7
xmql,Liked,Position 2,0.5
xmql,Liked,Position 3,0.2
xmql,Liked,Position 4,1.1
xmql,Liked,Position 5,0.2
xmql,Liked,Position 6,0.2
