id,vehicle,pedestrian_cut
lapk,1,No
luhl,1,No
wqom,1,No
ambu,1,No
janv,1,No
jkre,2,Yes
vcev,2,Yes
dtbx,2,Yes
ytty,2,Yes
gsud,2,Yes
emxp,2,Yes
gwll,2,Yes
ffeh,2,Yes
sftj,2,No
ffei,2,No
ouog,2,No
pbls,2,No
fhma,2,No
nuaq,2,No
wljq,2,No
elsm,2,No
oekb,2,No
twvn,2,No
liyw,2,No
vcqt,2,No
updo,2,No
laec,2,No
qhkw,2,No
bctp,2,No
mfue,2,No
bfww,2,No
cetk,2,No
mmyy,2,No
kmml,3,Yes
prmn,3,Yes
mqjy,3,Yes
veln,3,Yes
raoc,3,Yes
qern,3,Yes
mxaj,3,Yes
pwhu,3,Yes
kkkx,3,Yes
fvqo,3,Yes
mfsd,3,Yes
nlwl,3,Yes
gexe,3,Yes
qsyl,3,Yes
vikh,3,Yes
yilj,3,Yes
vnem,3,Yes
puao,3,Yes
mrom,3,Yes
tfwg,3,Yes
ijqr,3,No
fmcp,3,No
txbt,3,No
jluo,3,No
gcty,3,No
mfph,3,No
fypi,3,No
pnuw,3,No
rmrq,3,No
kvlt,3,No
ehyq,3,No
hdbl,3,No
oxcf,3,No
baye,3,No
ovgq,3,No
mspg,3,No
cinp,3,No
nemb,3,No
jchc,3,No
xoyl,3,No
vtix,3,No
jysc,3,No
fgeo,3,No
lgoe,3,No
hlwt,3,No
nkmu,3,No
yuwy,3,No
uvtp,3,No
nyaj,3,No
sxug,3,No
bjef,3,No
ytao,3,No
gher,3,No
wqmi,3,No
cagu,3,No
jopl,3,No
gfti,3,No
vslb,3,No
drrf,3,No
xyux,3,No
gsih,3,No
uclh,4,Yes
wupx,4,Yes
jrgn,4,Yes
kipe,4,Yes
dwmp,4,Yes
vxjh,4,Yes
xobs,4,Yes
lbuq,4,Yes
aktw,4,Yes
cjga,4,Yes
fiom,4,Yes
blfm,4,Yes
dcgh,4,Yes
aboc,4,Yes
svsa,4,Yes
ntej,4,Yes
itif,4,Yes
bqpw,4,Yes
sqev,4,Yes
kato,4,Yes
nini,4,No
ageg,4,No
rdkb,4,No
gwhb,4,No
vwqp,4,No
gejy,4,No
jvyf,4,No
yjip,4,No
mqas,4,No
trmx,4,No
mnvj,4,No
mojn,4,No
raot,4,No
qkdp,4,No
tyhj,4,No
vqro,4,No
huug,4,No
fupq,4,No
jguh,4,No
vcfe,4,No
dqkd,4,No
bghe,4,No
ahmn,4,No
snpk,4,No
txka,4,No
loei,5,Yes
hkcj,5,Yes
bwge,5,Yes
kpqa,5,Yes
xetb,5,Yes
hukl,5,Yes
sqxk,5,No
hryq,5,No
hrfe,5,No
uidq,5,No
nslw,5,No
bmdc,5,No
gjuy,5,No
