id,vehicle,vehicle_cut
awvf,1,Yes
wnmp,1,Yes
gfuk,1,No
iltu,1,No
vnsq,1,No
kkhm,1,No
qvan,1,No
lhtq,1,No
cwkw,1,No
cixi,1,No
hgto,1,No
fnbk,1,No
ajfw,1,No
glur,1,No
kttw,1,No
msba,1,No
ecrk,1,No
grat,1,No
gbyh,1,No
lvep,1,No
isfq,1,No
uuyt,1,No
xupn,1,No
hpmy,1,No
ghrb,1,No
iuev,1,No
ykye,2,Yes
kddr,2,Yes
guce,2,No
glhu,2,No
kqdi,2,No
unks,2,No
wvnt,2,No
wsko,2,No
rack,2,No
ehal,2,No
mbeq,2,No
hyue,2,No
fhgu,2,No
tfpb,2,No
imnc,2,No
ugdi,2,No
bonm,2,No
woof,2,No
kvqj,2,No
ajfj,2,No
trdm,2,No
jovp,2,No
khmu,2,No
oehq,2,No
ogru,2,No
eyem,2,No
ajvs,2,No
xtfl,2,No
qguv,2,No
dero,2,No
ygwo,2,No
vede,2,No
kefq,2,No
irmq,3,Yes
pkes,3,Yes
yrry,3,Yes
rhyf,3,Yes
lvwn,3,Yes
uhin,3,Yes
fwfm,3,Yes
rmwv,3,Yes
ibdo,3,Yes
ryvr,3,Yes
aloc,3,Yes
kgcl,3,Yes
vhsc,3,Yes
pnne,3,Yes
vkun,3,Yes
bcec,3,No
igeh,3,No
ulig,3,No
cxwu,3,No
tsnn,3,No
bsch,3,No
psec,3,No
hiag,3,No
pqel,3,No
mmjp,3,No
wpit,3,No
hyji,3,No
jmyl,3,No
uvrv,3,No
ixtb,3,No
evcx,3,No
aaye,3,No
eppf,3,No
rfgv,3,No
gdxe,3,No
ljos,3,No
nexu,3,No
aoxh,3,No
mphh,3,No
goui,3,No
neap,3,No
qlvq,3,No
xkpj,3,No
bpba,3,No
oekv,3,No
pnkk,3,No
ckee,3,No
apos,3,No
hngf,3,No
iyts,3,No
jntt,3,No
jkct,3,No
esyh,3,No
ssia,3,No
eoxc,3,No
jcis,3,No
iljo,3,No
qpcq,3,No
uleu,3,No
jyan,3,No
vdlc,3,No
bxrh,3,No
muss,3,No
sfrh,3,No
prhv,3,No
faus,3,No
lmgl,3,No
kvvx,3,No
ohut,3,No
banb,3,No
kjcn,3,No
sfyt,3,No
gyyo,3,No
jhjw,3,No
spgi,3,No
wncq,3,No
euld,3,No
nfwg,3,No
dwjo,3,No
jjoi,3,No
woov,3,No
sslt,3,No
osyk,3,No
qyke,3,No
yifc,3,No
srtm,3,No
upej,3,No
wkob,3,No
agyo,3,No
nvib,3,No
yqhk,3,No
tgta,3,No
tles,3,No
qevw,3,No
aevi,3,No
tlih,3,No
kbpm,3,No
eame,3,No
imnx,3,No
pwvk,3,No
luyd,3,No
kjxa,3,No
tvrs,3,No
edju,3,No
nlff,3,No
safy,3,No
fjud,3,No
wwah,3,No
unne,3,No
tluh,3,No
yxmh,3,No
xhyl,3,No
vhyj,3,No
dxhw,3,No
rfxg,4,Yes
ofud,4,Yes
kscp,4,Yes
nrei,4,Yes
gejs,4,Yes
ogjw,4,Yes
nshk,4,Yes
eqnc,4,No
exei,4,No
rppc,4,No
exdi,4,No
olhn,4,No
buoq,4,No
rdmd,4,No
vrae,4,No
vgvq,4,No
udfg,4,No
giyg,4,No
ngul,4,No
yxsq,4,No
yjld,4,No
buwp,4,No
davq,4,No
frvd,4,No
tnao,4,No
kndl,4,No
ahwy,4,No
shco,4,No
obhk,4,No
ihxx,4,No
lmbe,4,No
ukpy,4,No
fcsi,4,No
waqv,4,No
kues,4,No
mamr,4,No
xmxi,4,No
ottu,4,No
noff,4,No
kfys,4,No
xhug,4,No
embl,4,No
nwsu,4,No
ojox,4,No
wunv,4,No
txdw,4,No
gvas,4,No
goad,4,No
tcmb,4,No
rnkq,4,No
infl,4,No
cuod,4,No
kyqs,4,No
iojc,4,No
lqpr,4,No
boxy,4,No
cxox,4,No
mcat,4,No
enlc,4,No
nhbf,4,No
qlnf,4,No
xepc,4,No
vpid,4,No
dcom,4,No
arha,4,No
cbki,4,No
qbsu,4,No
tfby,4,No
axpk,4,No
cxyg,4,No
iijv,4,No
rpce,4,No
swlw,4,No
jlgj,4,No
fito,5,Yes
tovu,5,Yes
snnc,5,Yes
ptdu,5,Yes
wemv,5,Yes
khpn,5,Yes
nnny,5,Yes
eieg,5,Yes
ulce,5,No
pgkl,5,No
fdgy,5,No
dnqj,5,No
rgle,5,No
opao,5,No
gxro,5,No
woyu,5,No
umdf,5,No
kyyn,5,No
xxli,5,No
ewcf,5,No
rtus,5,No
wbnx,5,No
bhwm,5,No
bvwl,5,No
nluo,5,No
mdbx,5,No
clvc,5,No
