id,dose,pre_happy,post_happy
1dl4x,15 mins,2,3
nafnu,No puppies,2,2
213u4,15 mins,3,2
0g144,15 mins,6,6
g6216,15 mins,5,8
mw911,No puppies,2,2
ov70d,No puppies,4,3
8v8y1,No puppies,5,4
g1mhs,30 mins,3,5
2c432,15 mins,6,5
6r4is,15 mins,4,4
3v2jl,15 mins,3,4
75477,No puppies,7,7
8g05h,30 mins,2,4
83g9a,15 mins,5,4
l8sxg,30 mins,2,4
1209t,No puppies,1,2
85y83,15 mins,6,2
06558,15 mins,5,7
94fd8,No puppies,5,5
76g3e,No puppies,4,2
61xkp,15 mins,3,6
9gf5g,30 mins,4,5
miu7f,No puppies,1,2
2yg6b,30 mins,1,3
1jkqm,15 mins,1,3
5y5jy,15 mins,3,4
y1q8f,30 mins,2,4
6ide8,30 mins,6,7
o84p7,30 mins,5,7
