id,exam,computer,lectures,numeracy,uni
wka441,18,54,75,7,Duncetown University
9pw235,30,47,8.5,1,Duncetown University
5o624e,40,58,69.5,6,Duncetown University
6l8t97,30,37,67,6,Duncetown University
81ir05,40,53,44.5,2,Duncetown University
gyem25,15,48,76.5,8,Duncetown University
4ohfmf,36,49,70,3,Duncetown University
tk5ek5,40,49,18.5,7,Duncetown University
lclecw,63,45,43.5,4,Duncetown University
6e7382,31,62,100,6,Duncetown University
845m6v,22,67,48,3,Duncetown University
wj8g84,47,62,10.5,3,Duncetown University
18u9r4,38,38,57.49999999999999,1,Duncetown University
hq6p65,34,37,61.5,8,Duncetown University
p04f87,54,54,54,4,Duncetown University
a3vy3l,35,48,71,5,Duncetown University
l64tog,33,48,14.000000000000002,9,Duncetown University
ds55h2,38,42,55.50000000000001,3,Duncetown University
3d3895,29,57,72.5,2,Duncetown University
7qo32u,36,55,38,4,Duncetown University
c3515m,59,41,40,1,Duncetown University
i90wn3,31,42,85.5,4,Duncetown University
w3px8f,34,48,52,4,Duncetown University
147hat,28,44,8,3,Duncetown University
klb8b1,50,42,62.5,6,Duncetown University
bj695k,59,42,70.5,3,Duncetown University
gahf73,33,40,98,4,Duncetown University
128w2p,57,52,34.5,2,Duncetown University
7p436t,25,56,62.5,3,Duncetown University
8onk46,53,54,91.5,2,Duncetown University
41tlx3,65,52,97.5,7,Duncetown University
qlo889,47,55,31.5,2,Duncetown University
2a1mn6,28,61,80.5,7,Duncetown University
e79ndg,43,56,66.5,4,Duncetown University
63c1s7,47,52,57.49999999999999,2,Duncetown University
62ikii,60,49,67,4,Duncetown University
h468xq,45,43,48.5,4,Duncetown University
6fia43,22,51,61,4,Duncetown University
13woin,39,49,76,3,Duncetown University
7v16v7,43,56,30.5,2,Duncetown University
6ed776,66,41,45,2,Duncetown University
6me7ul,36,67,21.5,4,Duncetown University
3x2556,26,35,72.5,5,Duncetown University
iedr62,58,49,66,8,Duncetown University
u2ei8x,53,62,90.5,6,Duncetown University
vgyt6n,37,66,48.5,4,Duncetown University
38h8h2,48,48,62,3,Duncetown University
m2dh8h,32,46,49,1,Duncetown University
x70224,42,46,60,5,Duncetown University
u17k74,34,58,21,5,Duncetown University
11ro27,56,30,84.5,7,Sussex University
p32ycw,76,48,51,8,Sussex University
o81457,72,54,58.5,5,Sussex University
x3h1ec,77,44,42,6,Sussex University
o6f638,77,54,65.5,9,Sussex University
tq6533,66,58,56.00000000000001,7,Sussex University
2810wa,62,59,71.5,2,Sussex University
ua8m85,86,54,48.5,5,Sussex University
5a9ud7,97,35,84.5,5,Sussex University
686mgi,72,56,47.5,2,Sussex University
he48ne,69,53,54,3,Sussex University
wcw206,87,56,70.5,6,Sussex University
f59r82,88,65,73,5,Sussex University
r1f2jn,72,50,79,12,Sussex University
ewr6m7,75,39,82.5,8,Sussex University
6qhbbp,74,40,74.5,3,Sussex University
o6kblt,68,50,85,2,Sussex University
i1bs3y,81,57,69.5,10,Sussex University
8vt8ty,77,39,42,7,Sussex University
6822pe,71,41,43,8,Sussex University
881j6h,60,48,46.5,6,Sussex University
h33x98,74,46,36.5,8,Sussex University
c2xs8q,80,54,72.5,4,Sussex University
1awvx4,68,55,62,4,Sussex University
5fh76e,64,27,81.5,5,Sussex University
68j430,94,57,100,13,Sussex University
2px36y,65,73,27,14,Sussex University
blxl6j,72,54,59.5,2,Sussex University
277j88,75,54,75,3,Sussex University
h2e3pg,92,50,34,2,Sussex University
4o3jq8,89,56,78,4,Sussex University
r2q778,83,57,80.5,5,Sussex University
s497ie,80,54,84,2,Sussex University
26o4xx,95,55,37.5,4,Sussex University
35b4jw,99,54,56.99999999999999,3,Sussex University
32m1q9,80,52,66,8,Sussex University
b2p86y,81,67,59,10,Sussex University
65l3ny,75,44,68.5,5,Sussex University
udunfb,78,57,88.5,3,Sussex University
mh4cai,65,54,55.00000000000001,8,Sussex University
ff2wa4,80,51,86,5,Sussex University
285777,86,55,68.5,10,Sussex University
2afi5g,73,51,64,7,Sussex University
d7khev,81,45,12.5,1,Sussex University
r4q2h0,69,59,52.5,7,Sussex University
y2ssc0,60,43,37,5,Sussex University
5t592v,69,57,46,2,Sussex University
6v6fgl,71,50,97.5,2,Sussex University
qa31dh,82,50,70.5,4,Sussex University
f1e007,58,47,78,3,Sussex University
