id,raq_01,raq_02,raq_03,raq_04,raq_05,raq_06,raq_07,raq_08,raq_09,raq_10,raq_11,raq_12,raq_13,raq_14,raq_15,raq_16,raq_17,raq_18,raq_19,raq_20,raq_21,raq_22,raq_23
g6vvl,3,3,3,3,3,2,3,2,4,3,3,2,2,2,2,3,2,3,2,2,2,2,3
qxpuh,2,3,2,2,2,2,3,3,2,3,2,2,3,2,3,2,3,2,2,2,1,2,2
83pol,3,3,2,3,3,3,3,3,3,3,4,2,3,3,2,4,3,3,3,3,3,4,4
3c5ub,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3
t4y37,3,4,3,3,3,4,4,2,4,3,3,3,2,4,3,4,3,3,3,4,3,4,4
72200,3,2,3,3,3,3,3,3,2,2,3,2,3,3,3,3,2,3,2,2,3,3,2
82e8d,4,3,3,3,3,4,3,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3
638cb,3,4,4,2,3,3,3,4,3,3,3,3,2,2,3,2,4,3,3,4,4,4,4
ib38g,3,3,3,2,2,1,2,2,3,2,3,3,3,2,2,3,3,2,2,3,2,3,2
q173x,2,2,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3
2727m,3,3,2,2,2,2,3,3,3,2,3,4,2,3,3,2,3,3,2,3,2,2,3
45186,4,3,3,3,3,3,3,3,3,3,3,3,2,3,4,2,3,3,3,3,3,3,3
wgn5w,3,3,3,4,4,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,4,3
3a6px,3,2,3,3,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,1,2
21k5w,2,4,3,3,3,3,2,3,4,3,3,3,3,3,3,3,2,2,3,4,3,3,3
b238t,3,3,3,3,3,3,2,2,3,3,2,4,4,2,3,3,2,2,3,3,3,3,3
p25kf,2,2,2,3,2,2,2,3,2,2,3,2,2,2,3,3,2,2,2,4,3,3,3
oxs53,3,4,4,3,4,4,4,3,4,3,4,3,3,4,4,2,3,3,3,3,3,3,3
wc3m5,3,3,3,3,2,3,2,2,3,2,2,2,3,3,3,4,2,3,2,3,2,2,3
269n6,3,2,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,2
k3are,1,4,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3
8362t,2,3,4,2,2,3,3,2,4,3,2,3,3,2,3,2,2,3,3,2,2,2,3
57v34,3,1,2,3,4,3,3,3,2,3,3,3,2,3,4,3,3,3,2,4,3,3,2
p71i2,2,3,3,2,2,4,3,2,3,3,2,2,3,3,4,2,2,3,3,3,2,4,3
d527c,3,2,2,4,3,4,3,4,4,3,4,3,3,2,3,3,4,4,3,3,3,3,4
u0726,3,3,3,3,4,4,3,3,3,3,3,3,2,4,4,3,3,3,3,3,3,4,3
wm52r,3,3,2,3,3,2,3,2,4,2,3,2,3,3,2,3,3,3,3,4,3,3,3
v563m,2,3,3,1,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,3,2,2,2
41dsn,2,3,2,4,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4
v2e4l,3,3,2,3,3,3,3,2,4,2,2,3,3,3,3,3,2,3,3,3,2,2,3
oaeoq,3,3,3,3,3,3,2,3,2,3,3,3,4,3,4,3,3,2,2,3,4,3,2
802p4,4,4,3,2,3,3,4,2,3,3,2,2,3,3,4,3,2,4,4,2,3,3,3
365m2,3,4,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,2,4,3,3,3,3
7064i,4,3,2,3,3,3,2,3,2,3,3,3,2,3,3,4,3,3,3,2,3,2,2
21wlg,2,2,3,3,2,2,3,3,2,2,3,3,3,2,3,3,2,2,2,3,3,2,3
ogk4i,4,2,3,3,3,3,3,4,2,4,3,4,4,3,3,3,4,2,2,3,4,3,2
pl180,3,3,3,3,3,2,2,3,3,2,3,2,3,3,3,3,3,2,2,3,2,3,3
vf6rj,2,2,3,3,2,3,2,2,3,3,2,3,3,2,2,3,3,1,3,3,3,3,3
7eu2s,3,3,2,3,4,3,3,3,2,2,3,3,3,3,2,2,3,3,2,2,3,3,2
77f1g,2,2,4,3,2,2,3,3,2,4,2,3,3,2,2,3,3,3,2,2,3,2,3
18ct7,2,2,4,3,3,3,3,2,3,3,2,3,2,2,2,3,2,3,2,2,2,3,3
i07a5,3,2,3,3,2,2,3,3,3,2,2,3,2,2,2,3,2,3,2,3,2,3,3
v9nfs,3,2,2,3,2,3,2,3,3,2,3,3,3,2,3,3,3,3,3,4,3,2,2
3b1ed,3,3,3,3,2,2,2,2,3,2,2,2,2,3,3,2,2,2,3,2,3,3,3
w46f4,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,2,3,3,4,3,3,4,3
ru5ir,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3
1l16d,2,3,3,2,2,3,3,2,3,3,2,2,2,2,3,3,2,2,2,2,2,3,3
rn583,3,2,3,3,3,3,3,3,2,2,3,3,2,2,2,4,3,3,3,3,4,3,3
cr808,2,3,3,4,3,3,3,3,4,3,4,3,3,3,3,2,4,3,3,3,3,3,4
3d8vu,2,2,3,3,4,3,3,4,2,3,4,4,3,3,3,3,3,3,2,3,3,3,3
31ad4,3,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2
f6cc5,4,3,3,3,2,3,3,2,2,4,3,3,3,3,3,2,3,3,2,2,3,3,2
65232,3,2,2,3,2,2,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,1
1fu75,2,3,3,3,2,3,3,2,2,3,2,3,3,3,3,3,2,3,3,2,2,2,2
o8snq,3,3,3,2,3,3,2,3,3,4,2,2,3,2,3,3,3,3,3,2,2,2,3
85f2f,3,2,2,3,3,3,3,3,2,3,3,2,4,3,3,3,3,3,2,3,3,2,2
yojw7,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3
wcu3m,3,3,4,3,3,2,3,2,4,3,2,3,3,2,2,3,1,3,3,3,4,3,3
b37o0,2,3,3,3,2,3,2,2,3,3,3,2,3,3,2,2,2,2,3,2,2,3,3
x5dlr,3,2,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3
750we,2,3,2,2,3,3,3,3,3,3,3,3,3,3,4,3,2,3,2,3,3,4,3
i8wm5,3,3,3,3,3,2,2,2,3,3,2,2,3,2,2,3,2,3,2,3,3,3,2
62hc1,4,4,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3
lv57t,2,3,3,3,2,2,2,2,3,3,3,2,3,3,2,2,2,2,3,2,3,3,3
jg5g7,2,3,3,2,2,3,3,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,2
232j7,3,3,2,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,2,3,3
k7642,3,2,2,3,2,3,2,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3
y6tli,3,2,2,3,2,2,2,3,2,3,3,3,2,2,2,3,3,2,2,3,3,3,3
c4ne2,3,3,4,2,4,3,2,3,4,2,3,3,2,3,3,3,3,2,4,3,2,4,4
91137,3,3,3,3,2,2,3,3,3,2,3,2,2,2,3,3,3,2,3,3,3,3,2
82vet,3,4,3,3,3,4,3,3,3,3,3,2,4,4,3,2,4,3,4,3,3,3,3
7y99n,3,2,2,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
90h9y,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,4
gjgu5,3,3,2,4,3,3,3,3,3,4,3,2,2,3,3,4,3,2,3,3,4,3,3
