id,contestant,time,pd_score
08nx6,Short list control,Before show,65
08nx6,Short list control,After show,50
13481,Short list control,Before show,74
13481,Short list control,After show,47
o6352,Short list control,Before show,60
o6352,Short list control,After show,52
so42c,Short list control,Before show,63
so42c,Short list control,After show,57
7b3l1,Short list control,Before show,66
7b3l1,Short list control,After show,51
157rb,Short list control,Before show,84
157rb,Short list control,After show,82
3og10,Short list control,Before show,49
3og10,Short list control,After show,47
o4tjk,Short list control,Before show,63
o4tjk,Short list control,After show,72
6k90b,Contestant,Before show,35
6k90b,Contestant,After show,63
2coy3,Contestant,Before show,61
2coy3,Contestant,After show,74
66f70,Contestant,Before show,92
66f70,Contestant,After show,107
qy1d0,Contestant,Before show,47
qy1d0,Contestant,After show,41
w2tpt,Contestant,Before show,72
w2tpt,Contestant,After show,84
5jqys,Contestant,Before show,71
5jqys,Contestant,After show,103
j5269,Contestant,Before show,46
j5269,Contestant,After show,53
5i9pd,Contestant,Before show,77
5i9pd,Contestant,After show,59
