x,y,colour
36,493,red
55,472,red
55,451,red
53,389,red
52,367,red
74,368,red
72,388,red
93,389,red
96,414,red
96,431,red
76,430,red
76,447,red
76,471,red
96,429,red
95,452,red
96,470,red
97,518,red
96,535,red
116,511,red
117,490,red
118,469,red
114,448,red
116,430,red
135,472,red
138,492,red
138,513,red
158,493,red
158,472,red
181,473,red
180,453,red
203,472,red
201,494,red
202,513,red
182,513,red
179,533,red
244,470,red
244,449,red
243,428,ong
32,470,ong
31,389,ong
77,346,ong
96,346,ong
136,324,ong
93,364,ong
116,390,ong
118,405,ong
137,431,ong
138,448,ong
157,451,ong
184,494,ong
118,536,ong
198,537,ong
222,490,ong
221,471,ong
202,452,ong
200,433,ong
241,408,ylw
119,346,ylw
119,365,ylw
137,365,ylw
138,347,ylw
161,347,ylw
160,325,ylw
176,327,ylw
176,348,ylw
175,368,ylw
162,368,ylw
161,385,ylw
138,388,ylw
140,405,ylw
159,409,ylw
181,407,ylw
201,409,ylw
221,409,ylw
222,391,ylw
240,390,ylw
199,389,ylw
184,388,ylw
180,428,ylw
159,429,ylw
222,429,ylw
222,449,gry_dk
158,303,gry_dk
142,303,gry_dk
137,283,gry_dk
122,306,gry_dk
98,302,gry_dk
72,305,gry_dk
49,304,gry_dk
50,283,gry_dk
71,283,gry_dk
77,262,gry_dk
76,240,gry_dk
97,241,gry_dk
98,218,gry_dk
99,197,gry_dk
116,201,gry_dk
120,177,gry_dk
141,178,gry_dk
159,178,gry_dk
181,179,gry_dk
205,178,gry_dk
223,178,gry_dk
224,153,gry_dk
245,158,gry_dk
242,135,gry_dk
260,136,gry_dk
263,117,gry_dk
285,114,gry_dk
302,115,gry_dk
286,91,gry_dk
307,91,gry_dk
322,93,gry_dk
328,75,gry_dk
353,73,gry_dk
373,72,gry_dk
388,74,gry_dk
388,51,gry_dk
371,51,gry_dk
411,55,gry_dk
430,54,gry_dk
450,53,gry_dk
434,32,gry_dk
459,31,gry_dk
477,30,gry_dk
494,32,gry_dk
511,31,gry_dk
537,31,gry_dk
555,32,gry_dk
555,53,gry_dk
557,75,gry_dk
558,94,gry_dk
538,94,gry_dk
535,119,gry_dk
536,135,gry_dk
514,135,gry_dk
511,154,gry_dk
536,157,gry_dk
517,178,gry_dk
498,178,gry_dk
495,202,gry_dk
510,201,gry_dk
491,217,gry_dk
475,219,gry_dk
472,243,gry_dk
452,242,gry_dk
454,259,gry_dk
474,262,gry_dk
454,283,gry_dk
432,282,gry_dk
431,302,gry_dk
413,305,gry_dk
408,324,gry_dk
392,325,gry_dk
389,351,gry_dk
393,371,gry_dk
388,394,gry_dk
390,409,gry_dk
390,426,gry_dk
362,450,gry_dk
352,451,gry_dk
326,450,gry_dk
325,473,gry_dk
304,473,gry_dk
284,474,gry_dk
262,471,gry_dk
264,495,gry_dk
286,494,gry_dk
265,450,gry_dk
265,429,gry_dk
269,409,gry_dk
287,406,gry_dk
307,384,gry_dk
331,386,gry_dk
346,370,gry_dk
372,345,gry_dk
368,194,gry_dk
369,178,gry_dk
352,177,gry_dk
349,157,gry_dk
370,156,gry_dk
369,136,gry_dk
390,135,gry_dk
395,116,gry_dk
409,116,gry_dk
408,131,gry_dk
430,135,gry_dk
432,157,gry_dk
451,158,gry_dk
449,176,gry_dk
435,174,gry_dk
431,193,gry_dk
412,200,gry_dk
389,198,gry_dk
391,220,gry_dk
412,219,gry_dk
160,261,gry_dk
160,241,gry_dk
179,220,gry_dk
203,195,gry_dk
200,342,gry_dk
199,328,gry_dk
218,326,gry_dk
225,307,gry_dk
240,307,gry_dk
243,285,gry_dk
263,286,gry_dk
267,264,gry_dk
287,265,gry_dk
284,241,gry_dk
300,244,gry_dk
322,266,gry_dk
306,281,gry_dk
288,303,gry_dk
264,328,gry_dk
239,345,gry_dk
219,364,gry_dk
390,177,blu
390,156,blu
406,157,blu
406,178,blu
