id,relationship,age,distractor_colour,gender,sentence_type,distractor_type,recall
ciof,Without partner,39,White,Male,Distractor,Neutral,0
ciof,Without partner,39,White,Male,Distractor,Emotional,0
ciof,Without partner,39,White,Male,Distractor,Sexual,0
ciof,Without partner,39,White,Male,Target,Neutral,0
ciof,Without partner,39,White,Male,Target,Emotional,1
ciof,Without partner,39,White,Male,Target,Sexual,0
gysi,Without partner,22,Colour,Male,Distractor,Neutral,0
gysi,Without partner,22,Colour,Male,Distractor,Emotional,0
gysi,Without partner,22,Colour,Male,Distractor,Sexual,0
gysi,Without partner,22,Colour,Male,Target,Neutral,0
gysi,Without partner,22,Colour,Male,Target,Emotional,1
gysi,Without partner,22,Colour,Male,Target,Sexual,2
wdpp,Without partner,22,White,Male,Distractor,Neutral,0
wdpp,Without partner,22,White,Male,Distractor,Emotional,0
wdpp,Without partner,22,White,Male,Distractor,Sexual,0
wdpp,Without partner,22,White,Male,Target,Neutral,4
wdpp,Without partner,22,White,Male,Target,Emotional,2
wdpp,Without partner,22,White,Male,Target,Sexual,1
mgdf,Without partner,22,White,Male,Distractor,Neutral,0
mgdf,Without partner,22,White,Male,Distractor,Emotional,0
mgdf,Without partner,22,White,Male,Distractor,Sexual,1
mgdf,Without partner,22,White,Male,Target,Neutral,2
mgdf,Without partner,22,White,Male,Target,Emotional,1
mgdf,Without partner,22,White,Male,Target,Sexual,1
ouiv,Without partner,23,Colour,Male,Distractor,Neutral,0
ouiv,Without partner,23,Colour,Male,Distractor,Emotional,0
ouiv,Without partner,23,Colour,Male,Distractor,Sexual,0
ouiv,Without partner,23,Colour,Male,Target,Neutral,1
ouiv,Without partner,23,Colour,Male,Target,Emotional,2
ouiv,Without partner,23,Colour,Male,Target,Sexual,2
gexm,Without partner,29,Colour,Male,Distractor,Neutral,0
gexm,Without partner,29,Colour,Male,Distractor,Emotional,0
gexm,Without partner,29,Colour,Male,Distractor,Sexual,0
gexm,Without partner,29,Colour,Male,Target,Neutral,1
gexm,Without partner,29,Colour,Male,Target,Emotional,2
gexm,Without partner,29,Colour,Male,Target,Sexual,3
uysw,Without partner,27,Colour,Male,Distractor,Neutral,0
uysw,Without partner,27,Colour,Male,Distractor,Emotional,0
uysw,Without partner,27,Colour,Male,Distractor,Sexual,2
uysw,Without partner,27,Colour,Male,Target,Neutral,2
uysw,Without partner,27,Colour,Male,Target,Emotional,0
uysw,Without partner,27,Colour,Male,Target,Sexual,3
ktbs,Without partner,21,White,Male,Distractor,Neutral,0
ktbs,Without partner,21,White,Male,Distractor,Emotional,0
ktbs,Without partner,21,White,Male,Distractor,Sexual,0
ktbs,Without partner,21,White,Male,Target,Neutral,1
ktbs,Without partner,21,White,Male,Target,Emotional,0
ktbs,Without partner,21,White,Male,Target,Sexual,4
fwob,Without partner,21,White,Male,Distractor,Neutral,0
fwob,Without partner,21,White,Male,Distractor,Emotional,0
fwob,Without partner,21,White,Male,Distractor,Sexual,0
fwob,Without partner,21,White,Male,Target,Neutral,1
fwob,Without partner,21,White,Male,Target,Emotional,2
fwob,Without partner,21,White,Male,Target,Sexual,1
drhb,Without partner,25,Colour,Male,Distractor,Neutral,1
drhb,Without partner,25,Colour,Male,Distractor,Emotional,0
drhb,Without partner,25,Colour,Male,Distractor,Sexual,1
drhb,Without partner,25,Colour,Male,Target,Neutral,2
drhb,Without partner,25,Colour,Male,Target,Emotional,0
drhb,Without partner,25,Colour,Male,Target,Sexual,1
bodw,Without partner,21,Colour,Male,Distractor,Neutral,0
bodw,Without partner,21,Colour,Male,Distractor,Emotional,0
