id,book,happy
kwxe,"Women are from Bras, Men are from Penis",19
qwvr,"Women are from Bras, Men are from Penis",28
xtjn,"Women are from Bras, Men are from Penis",23
smwb,"Women are from Bras, Men are from Penis",20
sdvr,"Women are from Bras, Men are from Penis",22
eoba,"Women are from Bras, Men are from Penis",22
ptkk,"Women are from Bras, Men are from Penis",18
bnkw,"Women are from Bras, Men are from Penis",19
gydt,"Women are from Bras, Men are from Penis",16
payb,"Women are from Bras, Men are from Penis",13
dfbn,Marie Claire,27
oviy,Marie Claire,15
oaol,Marie Claire,20
pfon,Marie Claire,30
tlif,Marie Claire,28
cxef,Marie Claire,23
mfca,Marie Claire,28
sjef,Marie Claire,27
ikho,Marie Claire,20
nyxs,Marie Claire,24
