id,extroversion,agreeableness,instrument
khowg,38,31,Singer
thnse,38,27,Singer
jbtgg,39,32,Singer
vyxou,35,39,Singer
vbowu,35,46,Singer
rfqte,37,28,Singer
mthbx,36,33,Singer
ihlqs,38,58,Singer
jgcee,39,33,Singer
gtrmr,38,25,Singer
tiroq,39,33,Singer
ejyhj,41,37,Singer
qkhii,38,45,Singer
jyuwo,35,37,Singer
cpeko,35,23,Singer
bvjqn,36,NA,Singer
cjcxn,41,33,Singer
yeolw,35,38,Singer
vesmg,34,43,Singer
hmuav,34,45,Singer
dtfkv,34,30,Singer
ivffw,39,47,Singer
fujfp,43,28,Singer
gnuqj,35,43,Singer
kwmqt,34,47,Singer
rktog,34,44,Singer
yryqt,37,47,Singer
uhlsw,36,21,Singer
vohec,38,NA,Singer
pukgf,36,41,Singer
gyycj,35,43,Singer
wbkmt,36,45,Singer
hcjyh,38,45,Singer
dgwxr,34,49,Singer
dcfvx,35,49,Singer
iemnf,43,49,Singer
vksvl,37,41,Singer
mwbbg,35,43,Singer
jppso,34,44,Singer
ovkxm,35,46,Singer
vvoda,35,46,Singer
ocbwu,35,49,Singer
ttgfc,41,36,Singer
hcfcd,35,39,Singer
fhyyj,42,46,Singer
cglff,34,47,Singer
kqghf,35,47,Singer
stxaw,42,49,Singer
dkqxt,36,30,Singer
cpskj,36,54,Singer
shnpo,36,41,Singer
qhrrd,39,42,Singer
yhsva,34,44,Singer
smnup,36,45,Singer
caiqe,36,48,Singer
fqquc,34,49,Singer
npdoi,38,49,Singer
bytnn,38,30,Singer
vsyyk,41,32,Singer
mqwdm,41,31,Singer
lmnqg,35,29,Singer
ysbew,43,22,Singer
csyhv,37,21,Singer
vwbfi,37,40,Singer
avott,38,41,Singer
uhdjo,43,44,Singer
jyacg,36,30,Singer
cypwl,44,31,Singer
hssdt,45,35,Singer
tpaho,36,15,Singer
yfatv,36,16,Singer
afrdf,39,44,Singer
ttqfi,34,45,Singer
hhlsm,34,46,Singer
nxtdq,34,50,Singer
uaovf,34,30,Singer
hfidt,37,26,Singer
axlhk,52,24,Singer
obrse,65,22,Singer
qonra,42,51,Singer
blocx,37,55,Singer
ftraw,46,37,Singer
noyis,34,38,Singer
cpmud,38,30,Singer
tuiuh,42,50,Singer
lgbfk,38,56,Singer
cvnta,36,30,Singer
lpexw,37,21,Singer
tbkwx,35,54,Singer
cpxoq,45,55,Singer
cnssk,38,49,Singer
dvqkb,41,35,Singer
ocavr,34,46,Singer
dkcwx,35,47,Singer
fyugx,37,23,Singer
wocgf,38,25,Singer
hmoxj,36,30,Singer
vrlrl,36,30,Singer
vqrvk,38,26,Singer
cdgkx,38,25,Singer
josge,35,61,Singer
opajs,39,25,Singer
trevi,40,58,Singer
qvkan,38,30,Singer
ecyev,35,22,Singer
rdgih,41,34,Singer
rlqto,38,45,Singer
dwsyq,38,47,Singer
vlyyh,34,55,Guitar
xbint,40,63,Guitar
rtdgy,26,NA,Guitar
hafmp,30,41,Guitar
wqsxj,13,42,Guitar
oxpft,24,43,Guitar
trudw,30,43,Guitar
wwiit,26,45,Guitar
tcxja,26,45,Guitar
gimtv,26,45,Guitar
sxqsa,25,48,Guitar
ipcvw,33,48,Guitar
rreeu,29,49,Guitar
xhdob,26,50,Guitar
blgrl,33,50,Guitar
mftrv,30,51,Guitar
avtka,31,55,Guitar
fmxnk,29,58,Guitar
ljrye,29,58,Guitar
hqrdx,18,67,Guitar
vgekj,33,34,Guitar
kokyy,28,43,Guitar
xqdqx,28,46,Guitar
gghwe,32,46,Guitar
dnxqt,19,48,Guitar
jsvkp,33,48,Guitar
krbce,28,49,Guitar
jtxnm,33,54,Guitar
kvpvs,29,56,Guitar
walay,25,57,Guitar
svbuq,32,57,Guitar
urytf,32,57,Guitar
cxmaq,30,43,Guitar
kxbwu,24,44,Guitar
hxrbi,32,45,Guitar
bccno,26,46,Guitar
hmeok,31,46,Guitar
rhygk,30,47,Guitar
ycrfw,30,47,Guitar
ovfwk,31,47,Guitar
evayy,32,49,Guitar
cxhjl,28,50,Guitar
bdjqf,32,50,Guitar
thcbf,30,51,Guitar
kseuo,20,53,Guitar
qleny,27,53,Guitar
lykqb,23,54,Guitar
prcpg,33,57,Guitar
ujtcx,24,46,Guitar
afkrx,32,46,Guitar
rqyju,29,50,Guitar
vukgj,33,50,Guitar
hgeon,27,51,Guitar
xtxkw,33,56,Guitar
eoqmy,25,39,Guitar
ujpsw,16,51,Guitar
jiige,26,51,Guitar
osqtj,17,54,Guitar
nhkbc,27,60,Guitar
gliti,27,60,Guitar
wpaah,32,44,Guitar
klpnn,17,47,Guitar
mseyg,30,51,Guitar
kcusp,31,51,Guitar
mmrav,24,54,Guitar
ujack,28,54,Guitar
twdfj,24,55,Guitar
bfmpb,24,57,Guitar
lchix,36,61,Guitar
rmnny,37,62,Guitar
rogsr,30,37,Guitar
qjdyr,23,50,Guitar
oleyk,27,55,Guitar
vfieq,27,55,Guitar
njnoq,31,55,Guitar
xvctl,30,56,Guitar
tmvua,32,41,Guitar
ivcqr,31,43,Guitar
jlgga,33,50,Guitar
gtlav,33,53,Guitar
ogoso,31,58,Guitar
awgyk,19,59,Guitar
irrdq,33,51,Guitar
pxeke,19,54,Guitar
jdkoe,31,57,Guitar
nwqjl,34,60,Guitar
lynsc,35,61,Guitar
sflqs,38,62,Guitar
oaoln,29,59,Guitar
creao,26,52,Guitar
rvcdq,11,58,Guitar
avili,23,60,Guitar
