id,strategy,looks,personality,date
2rl3f,Hard to get,High,High,86
2rl3f,Hard to get,Average,High,84
2rl3f,Hard to get,Low,High,67
2rl3f,Hard to get,High,Average,88
2rl3f,Hard to get,Average,Average,69
2rl3f,Hard to get,Low,Average,50
2rl3f,Hard to get,High,Low,97
2rl3f,Hard to get,Average,Low,48
2rl3f,Hard to get,Low,Low,47
2h53u,Hard to get,High,High,91
2h53u,Hard to get,Average,High,83
2h53u,Hard to get,Low,High,53
2h53u,Hard to get,High,Average,83
2h53u,Hard to get,Average,Average,74
2h53u,Hard to get,Low,Average,48
2h53u,Hard to get,High,Low,86
2h53u,Hard to get,Average,Low,50
2h53u,Hard to get,Low,Low,46
qa78v,Hard to get,High,High,89
qa78v,Hard to get,Average,High,88
qa78v,Hard to get,Low,High,48
qa78v,Hard to get,High,Average,99
qa78v,Hard to get,Average,Average,70
qa78v,Hard to get,Low,Average,48
qa78v,Hard to get,High,Low,90
qa78v,Hard to get,Average,Low,45
qa78v,Hard to get,Low,Low,48
lvws1,Hard to get,High,High,89
lvws1,Hard to get,Average,High,69
lvws1,Hard to get,Low,High,58
lvws1,Hard to get,High,Average,86
lvws1,Hard to get,Average,Average,77
lvws1,Hard to get,Low,Average,40
lvws1,Hard to get,High,Low,87
lvws1,Hard to get,Average,Low,47
lvws1,Hard to get,Low,Low,53
nti4g,Hard to get,High,High,80
nti4g,Hard to get,Average,High,81
nti4g,Hard to get,Low,High,57
nti4g,Hard to get,High,Average,88
nti4g,Hard to get,Average,Average,71
nti4g,Hard to get,Low,Average,50
nti4g,Hard to get,High,Low,82
nti4g,Hard to get,Average,Low,50
nti4g,Hard to get,Low,Low,45
mkt03,Hard to get,High,High,80
mkt03,Hard to get,Average,High,84
mkt03,Hard to get,Low,High,51
mkt03,Hard to get,High,Average,96
mkt03,Hard to get,Average,Average,63
mkt03,Hard to get,Low,Average,42
mkt03,Hard to get,High,Low,92
mkt03,Hard to get,Average,Low,48
mkt03,Hard to get,Low,Low,43
382re,Hard to get,High,High,89
382re,Hard to get,Average,High,85
382re,Hard to get,Low,High,61
382re,Hard to get,High,Average,87
382re,Hard to get,Average,Average,79
382re,Hard to get,Low,Average,44
382re,Hard to get,High,Low,86
382re,Hard to get,Average,Low,50
382re,Hard to get,Low,Low,45
4mue7,Hard to get,High,High,100
4mue7,Hard to get,Average,High,94
4mue7,Hard to get,Low,High,56
4mue7,Hard to get,High,Average,86
4mue7,Hard to get,Average,Average,71
4mue7,Hard to get,Low,Average,54
4mue7,Hard to get,High,Low,84
4mue7,Hard to get,Average,Low,54
4mue7,Hard to get,Low,Low,47
m487l,Hard to get,High,High,90
m487l,Hard to get,Average,High,74
