id,athlete,stretch,switch,injury
ytv,Athlete,Stretching,Playing switch,2
wel,Athlete,Stretching,Playing switch,2
qfs,Athlete,Stretching,Playing switch,1
oln,Athlete,Stretching,Playing switch,2
wxi,Athlete,Stretching,Playing switch,0
gqc,Athlete,Stretching,Playing switch,1
ltv,Athlete,Stretching,Playing switch,2
jfl,Athlete,Stretching,Playing switch,0
nem,Athlete,Stretching,Playing switch,2
nwi,Athlete,Stretching,Playing switch,2
pnf,Athlete,Stretching,Playing switch,2
lpl,Athlete,Stretching,Playing switch,1
gxj,Athlete,Stretching,Playing switch,4
clp,Athlete,Stretching,Playing switch,2
wti,Athlete,Stretching,Playing switch,2
cte,Athlete,Stretching,Watching switch,0
pla,Athlete,Stretching,Watching switch,0
fyv,Athlete,Stretching,Watching switch,3
rbs,Athlete,Stretching,Watching switch,3
ibe,Athlete,Stretching,Watching switch,3
dfl,Athlete,Stretching,Watching switch,2
tmm,Athlete,Stretching,Watching switch,1
xwn,Athlete,Stretching,Watching switch,0
xbk,Athlete,Stretching,Watching switch,2
rkn,Athlete,Stretching,Watching switch,2
kib,Athlete,Stretching,Watching switch,3
atc,Athlete,Stretching,Watching switch,2
sdi,Athlete,Stretching,Watching switch,2
jxu,Athlete,Stretching,Watching switch,3
arn,Athlete,Stretching,Watching switch,1
frd,Athlete,No stretching,Playing switch,2
vwq,Athlete,No stretching,Playing switch,4
iux,Athlete,No stretching,Playing switch,1
evs,Athlete,No stretching,Playing switch,2
sht,Athlete,No stretching,Playing switch,2
sys,Athlete,No stretching,Playing switch,2
mbi,Athlete,No stretching,Playing switch,1
fct,Athlete,No stretching,Playing switch,4
clu,Athlete,No stretching,Playing switch,4
hmt,Athlete,No stretching,Playing switch,1
ybt,Athlete,No stretching,Playing switch,2
vbp,Athlete,No stretching,Playing switch,3
swf,Athlete,No stretching,Playing switch,3
mko,Athlete,No stretching,Playing switch,3
jmk,Athlete,No stretching,Playing switch,3
rrv,Athlete,No stretching,Watching switch,2
gsn,Athlete,No stretching,Watching switch,3
gtw,Athlete,No stretching,Watching switch,2
khx,Athlete,No stretching,Watching switch,2
ggb,Athlete,No stretching,Watching switch,2
kuv,Athlete,No stretching,Watching switch,1
obi,Athlete,No stretching,Watching switch,0
ftg,Athlete,No stretching,Watching switch,3
vln,Athlete,No stretching,Watching switch,3
kdg,Athlete,No stretching,Watching switch,2
mqw,Athlete,No stretching,Watching switch,1
tms,Athlete,No stretching,Watching switch,2
itl,Athlete,No stretching,Watching switch,4
esy,Athlete,No stretching,Watching switch,1
pcp,Athlete,No stretching,Watching switch,2
ica,Non-athlete,Stretching,Playing switch,5
kbm,Non-athlete,Stretching,Playing switch,5
vsk,Non-athlete,Stretching,Playing switch,3
pbi,Non-athlete,Stretching,Playing switch,6
egx,Non-athlete,Stretching,Playing switch,4
dgi,Non-athlete,Stretching,Playing switch,3
xmj,Non-athlete,Stretching,Playing switch,4
alm,Non-athlete,Stretching,Playing switch,5
xic,Non-athlete,Stretching,Playing switch,5
wse,Non-athlete,Stretching,Playing switch,2
jco,Non-athlete,Stretching,Playing switch,6
glj,Non-athlete,Stretching,Playing switch,4
wah,Non-athlete,Stretching,Playing switch,4
shs,Non-athlete,Stretching,Playing switch,4
qam,Non-athlete,Stretching,Playing switch,3
rgs,Non-athlete,Stretching,Watching switch,4
hyb,Non-athlete,Stretching,Watching switch,3
sbc,Non-athlete,Stretching,Watching switch,2
eem,Non-athlete,Stretching,Watching switch,1
mqa,Non-athlete,Stretching,Watching switch,4
ibf,Non-athlete,Stretching,Watching switch,3
tur,Non-athlete,Stretching,Watching switch,2
xfh,Non-athlete,Stretching,Watching switch,2
pff,Non-athlete,Stretching,Watching switch,1
bum,Non-athlete,Stretching,Watching switch,3
gxy,Non-athlete,Stretching,Watching switch,1
qvh,Non-athlete,Stretching,Watching switch,1
ktp,Non-athlete,Stretching,Watching switch,3
uxj,Non-athlete,Stretching,Watching switch,4
bxw,Non-athlete,Stretching,Watching switch,2
noi,Non-athlete,No stretching,Playing switch,7
tyf,Non-athlete,No stretching,Playing switch,8
smi,Non-athlete,No stretching,Playing switch,6
hyy,Non-athlete,No stretching,Playing switch,9
yru,Non-athlete,No stretching,Playing switch,4
bih,Non-athlete,No stretching,Playing switch,7
hbe,Non-athlete,No stretching,Playing switch,5
agn,Non-athlete,No stretching,Playing switch,9
vii,Non-athlete,No stretching,Playing switch,6
kgm,Non-athlete,No stretching,Playing switch,4
shx,Non-athlete,No stretching,Playing switch,8
cvb,Non-athlete,No stretching,Playing switch,5
opb,Non-athlete,No stretching,Playing switch,4
yyd,Non-athlete,No stretching,Playing switch,7
gwe,Non-athlete,No stretching,Playing switch,10
qvk,Non-athlete,No stretching,Watching switch,1
uwg,Non-athlete,No stretching,Watching switch,3
plk,Non-athlete,No stretching,Watching switch,2
sms,Non-athlete,No stretching,Watching switch,1
dxj,Non-athlete,No stretching,Watching switch,3
amj,Non-athlete,No stretching,Watching switch,3
nje,Non-athlete,No stretching,Watching switch,2
yce,Non-athlete,No stretching,Watching switch,3
dje,Non-athlete,No stretching,Watching switch,4
sad,Non-athlete,No stretching,Watching switch,2
qwh,Non-athlete,No stretching,Watching switch,0
dew,Non-athlete,No stretching,Watching switch,1
vdd,Non-athlete,No stretching,Watching switch,3
xsr,Non-athlete,No stretching,Watching switch,2
udo,Non-athlete,No stretching,Watching switch,0
