id,advert_cool,desirability,product_cool
713f,2,4,0
7c2w,2,3,2
1g2v,3,5,1
5n3q,2,3,1
fb45,2,4,1
7t55,2,3,0
62vn,2,3,1
7be8,3,5,2
0287,2,4,2
f668,2,5,1
clhk,4,5,2
84xf,3,5,2
7e6s,2,5,0
kl6t,3,4,1
411i,3,4,2
7466,2,5,2
615j,2,3,0
tocc,2,3,0
3wf4,3,3,1
pu26,3,3,2
s648,2,4,0
cxuk,1,4,1
m0u2,2,4,1
x0o6,1,3,2
cyp1,2,4,0
p83v,3,3,0
ffv2,2,4,2
i706,2,4,2
5o88,2,3,2
vnw7,2,3,0
8mv2,2,3,1
hkk3,1,3,0
4ex3,3,4,1
lb6y,1,3,0
686n,2,3,2
1q3x,2,3,0
7b5w,3,4,0
1328,2,4,0
fkb7,2,3,2
c51f,2,4,2
0uq4,1,2,1
87r9,3,4,1
1ae5,1,4,1
5to2,1,5,1
7230,3,4,1
1738,2,4,2
0w35,3,4,1
f63f,0,3,1
0h34,2,4,3
244p,2,4,1
vw33,3,5,1
bwp1,4,2,1
4360,2,4,0
mm2m,2,4,1
dkmr,1,4,1
3bx2,2,2,0
9k06,1,5,2
fj14,2,3,1
e16a,2,4,0
r4d9,2,4,0
t333,1,4,1
rnrw,1,3,0
y8ku,3,4,0
l3uv,2,3,1
088j,1,5,2
ybot,3,4,1
q4q1,3,4,1
825o,2,4,2
6u17,2,4,1
qyg8,3,5,1
5yx6,0,4,0
17k2,2,3,0
x3bb,2,3,0
8gr4,2,4,1
6th7,2,4,0
776f,2,3,2
x22j,0,3,0
u2nj,3,5,0
9xra,2,2,1
59r2,2,4,0
81m8,4,4,1
1dsl,2,3,1
m3l2,2,5,1
s71m,2,4,0
4n8j,1,4,0
p6r1,1,4,2
x5fe,1,3,0
c18e,3,4,1
1oes,3,4,2
u0a7,3,4,2
m7le,2,3,1
42if,2,4,1
6l55,2,4,0
oi3n,2,3,0
b05v,3,3,1
3ne2,2,5,2
q223,2,3,1
e8k7,3,5,2
790a,3,4,0
v55b,2,4,1
7746,2,4,0
6286,3,3,1
4165,1,3,2
6gqy,2,3,0
7810,2,4,0
h12f,2,4,0
ntvp,3,5,1
uri8,1,3,0
cwd3,1,4,3
934x,3,5,2
29rl,2,4,1
3676,3,5,1
l872,3,4,1
ah76,3,5,1
vl0g,4,4,1
v48q,2,4,1
a0c1,2,4,2
273k,2,3,1
6wsw,1,4,1
76y7,2,3,1
do96,2,4,2
c80v,2,3,0
x2pn,2,4,2
649d,1,4,0
w1dd,2,4,0
4841,3,5,1
v12k,1,4,1
ab7y,3,4,2
a8ue,3,4,0
x6tk,3,6,2
q621,2,4,1
4s7v,1,4,1
4bg4,2,3,1
2gbf,2,4,0
t5wj,2,3,1
s2b0,2,3,1
47a6,3,3,0
wmcj,3,4,2
r788,3,4,2
8w72,2,4,1
2fkm,1,4,0
1w17,2,3,1
1i20,1,3,0
684o,3,5,2
1684,2,4,1
k1jf,2,4,2
4f3w,2,3,0
tv4x,2,4,1
05je,2,3,1
76n9,1,3,2
i515,1,3,1
u2s4,3,5,1
bx41,3,5,2
5755,0,3,0
3130,2,4,1
w48i,2,3,0
22rm,2,4,0
84ua,2,4,1
gnqv,2,4,1
6ms2,2,4,1
i7sd,3,4,1
m34s,3,4,1
8842,3,4,2
15r4,2,3,1
g900,3,4,1
vq8v,4,4,3
5383,2,4,2
8183,2,4,0
8sxi,2,3,0
oj51,3,4,1
38ih,1,3,1
79sa,2,4,1
1i7g,1,4,1
d6yq,3,3,0
t86c,3,4,1
3ekj,2,3,2
5s81,2,3,0
p2xc,2,4,1
a2qy,1,4,2
m0t8,3,4,1
61eq,3,4,2
6186,3,5,2
hdq6,1,4,1
oq74,2,4,1
1238,2,3,0
m4o1,2,4,1
i04o,3,4,1
vb72,3,2,0
2ba5,3,4,1
qq87,2,3,0
8ky9,2,5,2
44rr,2,4,1
aycf,2,4,0
2613,3,5,1
m078,4,4,0
d0aw,3,1,1
52b7,2,3,0
vc2i,1,2,1
c9wg,1,3,0
18dw,2,4,1
97o8,4,4,2
v75u,2,4,1
33h1,3,3,1
j4g6,3,4,2
t156,2,4,0
3p75,3,4,1
wr9i,2,3,0
i47x,3,5,0
y3x9,3,3,1
apg2,3,5,2
13fj,3,5,1
574k,2,4,1
n3xw,3,5,0
67n2,2,5,1
2yh5,1,4,1
161c,2,3,0
5qc3,2,4,1
p640,3,2,1
k8ya,2,4,1
n44d,2,3,0
y68i,3,4,1
884x,2,5,1
497n,3,3,1
vx2q,2,4,1
eq9m,2,3,1
18qu,1,3,1
idbl,2,4,1
to20,2,4,0
56i5,2,4,1
qwc6,3,4,1
1a3c,1,3,2
fme7,2,4,1
5w7w,3,3,1
1qgj,2,3,1
6d2i,2,3,1
o52n,2,4,0
f8g9,2,3,0
huoj,4,4,1
05bg,3,4,0
a58a,2,3,0
