artist_name,album_name,track_name,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_duration,song_ms
Taylor Swift,Midnights,Lavender Haze,2022,0.733,0.436,10,-10.489,1,0.08,0.258,5.73e-4,0.157,0.0976,96.985,4,202.395s (~3.37 minutes),202395
Taylor Swift,Midnights,Maroon,2022,0.637,0.398,7,-8.294,1,0.0564,0.0573,1.03e-6,0.101,0.0374,108.075,4,218.27s (~3.64 minutes),218270
Taylor Swift,Midnights,Anti-Hero,2022,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-6,0.142,0.533,97.008,4,200.69s (~3.34 minutes),200690
Taylor Swift,Midnights,Snow On The Beach (Feat. Lana Del Rey),2022,0.663,0.319,9,-13.481,1,0.0375,0.69,9.93e-4,0.117,0.193,109.957,4,256.124s (~4.27 minutes),256124
Taylor Swift,Midnights,"You're On Your Own, Kid",2022,0.696,0.396,2,-10.289,1,0.0656,0.401,5.2e-6,0.125,0.38,120.041,4,194.206s (~3.24 minutes),194206
Taylor Swift,Midnights,Midnight Rain,2022,0.643,0.363,0,-11.738,1,0.0767,0.69,5.17e-5,0.115,0.23,139.865,4,174.782s (~2.91 minutes),174782
Taylor Swift,Midnights,Question...?,2022,0.751,0.502,7,-8.763,1,0.167,0.2,0,0.296,0.106,108.943,4,210.556s (~3.51 minutes),210556
Taylor Swift,Midnights,Vigilante Shit,2022,0.798,0.277,4,-11.096,0,0.39,0.173,5.25e-5,0.121,0.163,79.846,4,164.801s (~2.75 minutes),164801
Taylor Swift,Midnights,Bejeweled,2022,0.696,0.559,7,-9.19,1,0.0693,0.0618,5.58e-5,0.0887,0.433,163.999,4,194.165s (~3.24 minutes),194165
Taylor Swift,Midnights,Labyrinth,2022,0.406,0.306,0,-15.48,1,0.0517,0.785,0.488,0.122,0.122,110.014,4,247.962s (~4.13 minutes),247962
Taylor Swift,Midnights,Karma,2022,0.642,0.62,8,-7.091,1,0.0666,0.0734,0,0.483,0.0969,90.02,4,204.852s (~3.41 minutes),204852
Taylor Swift,Midnights,Sweet Nothing,2022,0.337,0.156,0,-14.919,1,0.0518,0.964,7.72e-5,0.115,0.39,176.655,4,188.496s (~3.14 minutes),188496
Taylor Swift,Midnights,Mastermind,2022,0.662,0.357,4,-14.064,1,0.154,0.553,0.00129,0.0837,0.124,125.966,4,191.039s (~3.18 minutes),191039
Taylor Swift,evermore,Willow,2020,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,4,214.706s (~3.58 minutes),214706
Taylor Swift,evermore,Champagne Problems,2020,0.462,0.24,0,-12.077,1,0.0377,0.92,0,0.113,0.32,171.319,4,244s (~4.07 minutes),244000
Taylor Swift,evermore,Gold Rush,2020,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05,4,185.32s (~3.09 minutes),185320
Taylor Swift,evermore,‘Tis The Damn Season,2020,0.575,0.434,5,-8.193,1,0.0312,0.735,6.59e-5,0.105,0.348,145.916,4,229.84s (~3.83 minutes),229840
Taylor Swift,evermore,Tolerate It,2020,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-5,0.0797,0.221,74.952,5,245.44s (~4.09 minutes),245440
Taylor Swift,evermore,"No Body, No Crime (Feat. Haim)",2020,0.546,0.613,7,-7.589,0,0.0264,0.418,0,0.103,0.535,79.015,4,215.626s (~3.59 minutes),215626
Taylor Swift,evermore,Happiness,2020,0.559,0.334,11,-10.733,1,0.0376,0.87,0,0.114,0.211,122.079,4,315.146s (~5.25 minutes),315146
Taylor Swift,evermore,Dorothea,2020,0.605,0.488,4,-8.322,1,0.0264,0.696,0,0.129,0.354,119.966,4,225.88s (~3.76 minutes),225880
Taylor Swift,evermore,Coney Island (Feat. The National),2020,0.537,0.537,8,-11.266,1,0.0617,0.819,9.04e-4,0.142,0.292,107.895,4,275.32s (~4.59 minutes),275320
Taylor Swift,evermore,Ivy,2020,0.515,0.545,2,-9.277,1,0.0353,0.855,1.97e-5,0.0921,0.535,88.856,4,260.44s (~4.34 minutes),260440
