id,tea,cog_fun
vjd,2,57
hoc,0,32
hum,4,55
nxv,5,56
egy,3,41
vru,2,36
ngp,5,36
dqp,4,39
ynb,5,35
stj,5,49
thm,5,44
gnw,1,49
jss,3,58
kdw,5,65
mjk,4,41
ysg,2,54
jnd,2,66
dtm,5,53
rqt,2,67
nba,3,60
jhn,1,51
hyj,3,46
xng,4,34
jjb,0,57
urg,4,56
pdo,4,51
grg,2,35
xtt,1,44
edn,6,60
yvl,1,47
aim,4,47
new,4,44
ffc,4,46
ach,5,70
tjp,3,56
okp,4,50
vuq,4,48
kje,0,35
dyu,4,50
trn,3,45
bdf,4,47
vgj,3,52
mio,4,55
xex,5,66
eev,3,48
aks,5,43
fie,3,42
jnb,1,29
bne,2,47
ede,5,58
ann,3,56
ylb,4,50
wrr,3,49
aib,1,62
qsh,3,60
kut,5,54
hqy,0,30
dtf,2,45
lrc,4,50
oph,4,59
kof,4,38
uqh,2,56
isv,2,64
pod,2,52
jpv,4,35
ocu,3,35
uvf,6,42
yce,1,46
llq,5,44
jlh,2,28
mco,3,37
qkr,3,51
kcl,0,62
oej,1,39
iny,1,63
rpm,4,57
qmg,4,60
tpu,5,42
iex,1,51
epk,3,48
shl,5,59
lnf,3,31
fob,1,60
fsn,3,76
gup,2,50
toi,3,48
djo,1,59
tmq,3,56
sdl,1,45
eil,1,39
dto,3,56
wgn,3,43
olp,5,56
gku,1,53
ymj,0,61
jhq,2,37
xjv,4,56
mmh,2,49
buw,5,64
ngx,3,67
bdc,2,43
voe,2,47
qng,4,56
hgd,1,44
qhe,3,46
kcl,0,40
fql,6,57
riu,5,52
aeg,5,36
jod,4,59
hea,6,60
amr,5,59
yhs,5,46
vsp,1,52
agc,2,56
pgm,3,49
jhh,2,59
ors,3,53
ltx,2,58
fbc,2,32
ugu,4,54
ups,1,53
dvk,5,49
ovm,1,65
aov,3,56
hhc,4,37
sca,0,43
hmb,3,51
mvp,2,41
kvj,5,57
anw,3,54
dit,3,48
gbt,4,41
yjj,6,39
ptt,1,58
nde,1,32
rja,2,52
jcm,4,53
ims,4,55
oym,4,71
hxj,2,50
lwj,4,34
pod,3,53
fwk,5,65
bbx,6,55
xkn,2,41
igy,2,75
reg,3,43
quk,5,42
mwj,4,47
cbd,1,58
ycp,4,60
uam,1,54
eac,5,46
wes,2,33
gta,3,42
nbm,3,61
nrc,4,77
ccp,3,50
kie,2,56
xyt,2,54
ssr,5,47
fwy,6,43
nuj,5,52
cec,3,57
uhd,2,63
yqy,3,48
kig,2,54
uyr,1,43
ybv,4,54
wtl,1,70
vjf,6,51
dgu,5,43
ilv,2,26
bmr,3,46
gxe,2,64
gdj,2,52
xhc,3,46
hrl,2,44
lgc,4,75
snk,5,53
egr,3,46
ttp,3,49
dpx,1,56
rww,3,39
xer,4,57
moo,5,37
hxs,2,51
kwn,2,39
hfb,3,44
