id,group,exam
p77m,Punish,50
n7g8,Punish,45
0ly6,Punish,48
g058,Punish,47
g855,Punish,45
mb9b,Punish,49
p23n,Punish,50
338q,Punish,54
6q1l,Punish,57
8173,Punish,55
v7rm,Indifferent,63
88rm,Indifferent,55
8es8,Indifferent,54
26o3,Indifferent,49
r2m8,Indifferent,65
ns9d,Indifferent,46
08i9,Indifferent,53
vne1,Indifferent,67
y87j,Indifferent,58
7s4t,Indifferent,50
dms2,Reward,71
43pf,Reward,67
sp91,Reward,68
593f,Reward,62
tb0b,Reward,65
2jof,Reward,58
p2d8,Reward,63
j455,Reward,69
l644,Reward,70
wbip,Reward,61
