id,method,sex,mark
f9diu,Electric shock,Female,6
lsi1c,Electric shock,Female,7
f3145,Electric shock,Female,5
h814w,Electric shock,Female,4
q0i2l,Electric shock,Female,8
42136,Electric shock,Male,15
6cd34,Electric shock,Male,14
q72u8,Electric shock,Male,20
3w841,Electric shock,Male,13
17388,Electric shock,Male,13
8r9mc,Being nice,Female,12
8d504,Being nice,Female,10
763vu,Being nice,Female,7
ou5e1,Being nice,Female,8
1kc59,Being nice,Female,13
8nt5x,Being nice,Male,10
3c3w1,Being nice,Male,9
d9416,Being nice,Male,8
qb5k2,Being nice,Male,6
kg8il,Being nice,Male,7
