id,text_gp,time,grammar
qx2g,Text messagers,Baseline,52
qx2g,Text messagers,6 Months,32
45fv,Text messagers,Baseline,68
45fv,Text messagers,6 Months,48
j74j,Text messagers,Baseline,85
j74j,Text messagers,6 Months,62
1361,Text messagers,Baseline,47
1361,Text messagers,6 Months,16
7bw7,Text messagers,Baseline,73
7bw7,Text messagers,6 Months,63
7v64,Text messagers,Baseline,57
7v64,Text messagers,6 Months,53
719q,Text messagers,Baseline,63
719q,Text messagers,6 Months,59
6601,Text messagers,Baseline,50
6601,Text messagers,6 Months,58
3o2g,Text messagers,Baseline,66
3o2g,Text messagers,6 Months,59
n77q,Text messagers,Baseline,60
n77q,Text messagers,6 Months,57
jrtk,Text messagers,Baseline,51
jrtk,Text messagers,6 Months,60
3x5s,Text messagers,Baseline,72
3x5s,Text messagers,6 Months,56
99vx,Text messagers,Baseline,77
99vx,Text messagers,6 Months,61
541h,Text messagers,Baseline,57
541h,Text messagers,6 Months,52
41do,Text messagers,Baseline,79
41do,Text messagers,6 Months,9
6254,Text messagers,Baseline,75
6254,Text messagers,6 Months,76
jk93,Text messagers,Baseline,53
jk93,Text messagers,6 Months,38
503h,Text messagers,Baseline,72
503h,Text messagers,6 Months,63
60t4,Text messagers,Baseline,62
60t4,Text messagers,6 Months,53
j137,Text messagers,Baseline,71
j137,Text messagers,6 Months,61
6fjy,Text messagers,Baseline,53
6fjy,Text messagers,6 Months,50
l707,Text messagers,Baseline,64
l707,Text messagers,6 Months,78
8k44,Text messagers,Baseline,79
8k44,Text messagers,6 Months,33
9fmi,Text messagers,Baseline,75
9fmi,Text messagers,6 Months,68
6e8c,Text messagers,Baseline,60
6e8c,Text messagers,6 Months,59
9371,Controls,Baseline,65
9371,Controls,6 Months,62
3g70,Controls,Baseline,57
3g70,Controls,6 Months,50
7sma,Controls,Baseline,66
7sma,Controls,6 Months,62
bm79,Controls,Baseline,71
bm79,Controls,6 Months,61
8vls,Controls,Baseline,75
8vls,Controls,6 Months,70
8g75,Controls,Baseline,61
8g75,Controls,6 Months,64
7727,Controls,Baseline,80
7727,Controls,6 Months,64
v5vq,Controls,Baseline,66
v5vq,Controls,6 Months,55
k904,Controls,Baseline,53
k904,Controls,6 Months,47
837r,Controls,Baseline,62
837r,Controls,6 Months,61
q7a6,Controls,Baseline,61
q7a6,Controls,6 Months,56
50lu,Controls,Baseline,77
50lu,Controls,6 Months,64
5b5y,Controls,Baseline,66
5b5y,Controls,6 Months,62
8q54,Controls,Baseline,52
8q54,Controls,6 Months,47
16eu,Controls,Baseline,60
16eu,Controls,6 Months,56
p7ga,Controls,Baseline,58
p7ga,Controls,6 Months,78
k6mm,Controls,Baseline,54
k6mm,Controls,6 Months,74
3d74,Controls,Baseline,72
3d74,Controls,6 Months,61
3f3w,Controls,Baseline,71
3f3w,Controls,6 Months,61
l8ui,Controls,Baseline,87
l8ui,Controls,6 Months,78
m96v,Controls,Baseline,75
m96v,Controls,6 Months,62
4ies,Controls,Baseline,57
4ies,Controls,6 Months,71
1pyl,Controls,Baseline,59
1pyl,Controls,6 Months,55
mt9h,Controls,Baseline,46
mt9h,Controls,6 Months,46
8qio,Controls,Baseline,89
8qio,Controls,6 Months,79
