id,tosr_01,tosr_02,tosr_03,tosr_04,tosr_05,tosr_06,tosr_07,tosr_08,tosr_09,tosr_10,tosr_11,tosr_12,tosr_13,tosr_14,tosr_15,tosr_16,tosr_17,tosr_18,tosr_19,tosr_20,tosr_21,tosr_22,tosr_23,tosr_24,tosr_25,tosr_26,tosr_27,tosr_28
j5p52,5,3,4,4,3,1,4,5,5,4,5,4,4,4,5,5,2,5,5,5,4,4,3,4,4,5,1,3
98vn9,4,4,3,3,3,2,2,2,4,4,3,5,3,2,3,4,1,5,4,5,3,2,4,2,4,4,1,3
u52p9,3,5,5,2,2,4,1,4,4,4,4,3,1,2,4,3,1,3,4,4,4,4,3,3,2,2,1,3
g8xa9,3,5,2,3,5,4,1,4,3,4,3,5,2,5,4,4,2,2,3,3,4,5,4,3,3,3,3,5
42c3i,2,3,4,2,3,2,3,3,2,3,5,4,1,1,3,3,1,2,4,5,3,2,5,3,5,4,1,3
91l3x,1,5,4,2,3,3,3,2,3,3,3,3,2,4,3,3,2,3,4,4,2,3,4,2,2,3,2,3
8dq26,4,5,5,2,4,4,1,2,3,2,4,5,2,4,3,3,2,3,3,3,4,3,4,4,3,3,1,5
fs917,3,5,5,2,4,3,1,4,4,3,3,3,2,3,3,3,1,3,4,3,4,4,5,3,3,3,2,4
idh11,4,4,5,2,4,3,2,5,4,3,4,4,4,4,3,3,1,3,4,4,4,4,4,2,4,4,1,3
sj16i,4,4,4,3,3,2,3,4,3,3,4,3,4,3,3,4,1,4,4,5,3,4,3,3,4,4,3,3
0ddu3,4,4,3,2,4,2,1,2,4,3,1,5,1,2,2,4,1,2,4,4,4,3,5,2,3,3,4,5
616we,4,5,1,1,3,3,1,4,4,3,2,5,2,3,3,3,1,2,3,3,3,5,4,2,3,4,2,3
e47fq,4,4,3,3,2,1,4,2,4,5,5,3,1,2,2,1,1,5,5,4,4,3,2,4,5,5,1,2
415j5,4,5,5,2,4,4,1,3,4,1,3,5,3,3,4,4,1,3,2,3,2,4,3,5,4,3,2,5
s6u4s,3,3,4,1,2,1,3,4,2,5,4,2,3,3,2,2,1,5,5,5,2,3,2,3,5,5,1,2
wxptq,5,5,5,1,2,3,2,4,4,3,5,4,1,2,2,3,1,4,4,5,2,4,3,4,4,5,2,4
d7326,2,5,5,2,4,3,1,4,5,1,2,4,1,3,3,3,1,4,2,3,3,5,4,4,1,2,3,3
78q1q,3,4,4,1,2,4,1,3,4,3,4,3,3,3,3,3,2,4,3,5,2,5,2,3,5,2,3,3
tu7h7,3,5,4,2,2,2,3,5,2,3,3,5,3,3,3,5,3,3,3,4,2,5,3,4,3,4,3,2
0k543,5,5,3,3,4,3,1,3,4,3,3,5,1,3,4,3,1,3,3,2,3,4,4,3,2,3,3,4
3u51h,5,5,5,4,4,3,2,5,5,3,4,4,3,5,4,5,4,3,4,4,5,4,4,4,3,4,1,4
20yt0,5,2,3,3,3,2,2,3,4,5,4,2,1,4,5,2,2,3,5,5,5,2,2,4,4,4,2,4
2hh54,3,5,3,3,2,2,1,4,5,2,4,4,2,4,3,5,2,4,3,3,3,4,5,5,2,2,2,4
w2923,3,4,5,2,5,3,1,3,3,2,3,5,2,3,2,3,1,2,4,4,3,4,3,3,2,1,3,3
79d9g,4,4,5,3,5,2,1,4,4,3,4,4,3,5,5,4,2,5,3,3,3,3,4,4,3,3,1,4
c5y53,3,4,5,3,5,4,3,2,4,4,3,5,3,4,4,2,2,3,3,3,5,4,5,4,3,3,3,5
i1kxb,4,4,5,2,2,3,2,4,4,3,3,5,3,2,4,3,1,3,5,4,3,2,3,4,3,4,2,3
b2985,3,4,5,3,5,2,2,4,3,4,5,3,5,3,4,3,2,5,5,5,4,3,3,4,4,3,3,3
e8t70,4,4,5,3,4,3,2,3,4,4,3,5,2,3,5,2,1,5,4,4,4,3,5,4,3,2,1,4
778m2,3,5,4,2,4,3,2,4,4,3,3,2,1,2,1,4,1,4,5,4,3,3,3,5,2,4,2,2
85213,3,3,5,2,3,3,2,3,4,4,3,3,3,4,2,5,1,4,5,5,2,5,2,2,3,5,1,3
utb30,1,4,2,1,2,2,2,2,3,3,4,3,2,2,3,4,2,4,5,5,3,2,3,2,5,2,1,3
