dog,dog_id,condition,test_number,latency,opened_door
Mango*,1,NA,NA,NA,NA
Mango*,1,NA,NA,NA,NA
Mango*,1,NA,NA,NA,NA
Mongo*,2,NA,NA,NA,NA
Mongo*,2,NA,NA,NA,NA
Mongo*,2,NA,NA,NA,NA
Oakley*,3,NA,NA,NA,NA
Oakley*,3,NA,NA,NA,NA
Oakley*,3,NA,NA,NA,NA
Ziggy,4,Food,1,22.79,1
Ziggy,4,Distress,2,4.21,1
Ziggy,4,Reading,3,3.71,1
Tesla,5,Distress,1,11.16,1
Tesla,5,Reading,2,2.71,1
Tesla,5,Food,3,120,0
Qyette,6,Distress,1,120,0
Qyette,6,Reading,2,120,0
Qyette,6,Food,3,120,0
Zazu*,7,NA,NA,NA,NA
Zazu*,7,NA,NA,NA,NA
Zazu*,7,NA,NA,NA,NA
Max,8,Reading,1,5.91,1
Max,8,Distress,2,4.89,1
Max,8,Food,3,14.53,1
Lucy,9,Reading,1,24.7,1
Lucy,9,Distress,2,120,0
Lucy,9,Food,3,120,0
Mia,10,Food,1,120,0
Mia,10,Distress,2,120,0
Mia,10,Reading,3,120,0
Tibbie,11,Food,1,55.77,1
Tibbie,11,Distress,2,5.67,1
Tibbie,11,Reading,3,120,0
Max,12,Distress,1,15.65,1
Max,12,Food,2,120,0
Max,12,Reading,3,120,0
Bella,13,Distress,1,120,0
Bella,13,Reading,2,120,0
Bella,13,Food,3,120,0
Asher*,14,NA,NA,NA,NA
Asher*,14,NA,NA,NA,NA
Asher*,14,NA,NA,NA,NA
Louie,15,Reading,1,120,0
Louie,15,Food,2,120,0
Louie,15,Distress,3,120,0
Rexy,16,Reading,1,120,0
Rexy,16,Food,2,120,0
Rexy,16,Distress,3,120,0
Odie,17,Distress,1,120,0
Odie,17,Food,2,120,0
Odie,17,Reading,3,120,0
Wynne,18,Distress,1,120,0
Wynne,18,Food,2,120,0
Wynne,18,Reading,3,120,0
Phlash,19,Food,1,120,0
Phlash,19,Reading,2,120,0
Phlash,19,Distress,3,120,0
Tess,20,Food,1,120,0
Tess,20,Distress,2,120,0
Tess,20,Reading,3,120,0
Piggy,21,Food,1,120,0
Piggy,21,Reading,2,120,0
Piggy,21,Distress,3,120,0
Manny,22,Reading,1,29.25,1
Manny,22,Food,2,2.38,1
Manny,22,Distress,3,14.46,1
Baby,23,Food,1,120,0
Baby,23,Reading,2,120,0
Baby,23,Distress,3,120,0
Stella,24,Food,1,65.64,1
Stella,24,Reading,2,7.92,1
Stella,24,Distress,3,4.86,1
Moose,25,Distress,1,120,0
Moose,25,Food,2,52.18,1
Moose,25,Reading,3,120,0
Penny,26,Food,1,120,0
Penny,26,Distress,2,120,0
Penny,26,Reading,3,120,0
Winston,27,Reading,1,120,0
Winston,27,Distress,2,120,0
Winston,27,Food,3,120,0
Calder,28,Distress,1,120,0
Calder,28,Food,2,120,0
Calder,28,Reading,3,120,0
Uzi,29,Reading,1,120,0
Uzi,29,Food,2,78.18,1
Uzi,29,Distress,3,3.21,1
Bullett,30,Reading,1,120,0
Bullett,30,Food,2,120,0
Bullett,30,Distress,3,120,0
Ak,31,Reading,1,120,0
Ak,31,Food,2,120,0
Ak,31,Distress,3,120,0
Moses,32,Distress,1,120,0
Moses,32,Food,2,120,0
Moses,32,Reading,3,120,0
Kip,33,Distress,1,120,0
