id,org_01,org_02,org_03,org_04,org_05,org_06,org_07,org_08,org_09,org_10,org_11,org_12,org_13,org_14,org_15,org_16,org_17,org_18,org_19,org_20,org_21,org_22,org_23,org_24,org_25,org_26,org_27,org_28
1,5,4,5,6,3,5,6,5,6,3,4,3,6,3,1,3,4,3,3,5,6,5,4,7,5,5,4,5
2,5,6,5,6,4,5,5,5,5,3,5,4,6,6,4,4,5,5,3,4,6,5,4,6,5,5,4,5
3,4,6,2,2,2,4,2,2,2,1,2,3,2,2,2,2,2,3,2,2,1,2,2,1,3,3,2,2
6,4,5,5,5,2,5,6,2,4,5,2,5,5,5,2,3,3,2,3,4,4,4,3,3,3,4,3,3
8,4,4,3,5,1,4,5,4,6,4,1,1,3,4,3,2,3,4,4,4,3,6,2,2,4,3,4,1
9,5,5,5,6,3,4,6,5,6,3,5,4,7,6,6,6,6,5,5,5,6,6,4,6,6,6,4,5
13,5,4,5,4,4,4,4,4,6,2,2,6,5,4,6,2,4,4,3,6,7,6,4,4,6,4,2,4
14,5,4,3,3,3,6,4,6,6,4,3,5,7,6,3,6,6,4,5,6,6,6,4,4,5,5,4,6
15,3,4,5,4,5,4,4,4,5,5,4,6,4,6,2,4,5,5,5,5,5,5,3,3,7,5,7,5
17,6,7,5,3,3,7,5,6,7,3,3,3,5,5,1,6,6,7,3,3,4,5,1,6,6,5,5,6
20,3,4,6,4,2,4,5,4,4,2,3,2,3,5,4,5,4,4,4,5,6,4,3,6,3,5,5,2
21,6,5,7,5,4,4,5,7,7,4,6,3,6,6,2,7,7,4,4,6,7,7,4,5,6,6,4,4
22,6,7,5,4,3,7,4,6,5,6,7,4,6,7,6,7,7,5,5,7,6,7,3,6,5,7,5,6
23,6,3,5,6,3,3,6,6,5,4,6,3,7,5,5,6,6,3,6,6,5,6,3,6,6,6,4,6
24,4,3,4,3,4,5,4,4,5,3,3,4,4,5,3,2,4,3,3,3,5,4,2,3,4,5,2,4
26,4,3,3,2,5,3,4,3,3,3,3,3,3,4,3,3,4,3,5,5,5,3,4,3,3,4,3,4
27,4,5,5,4,4,7,6,6,4,6,3,6,5,5,3,5,5,5,5,6,4,5,4,4,6,6,5,5
28,6,5,4,4,4,4,5,4,4,4,4,4,7,4,6,3,5,3,4,5,5,5,2,6,4,5,2,4
29,4,6,6,5,2,5,3,6,6,5,2,3,5,4,5,2,7,4,7,4,5,6,4,5,2,6,3,3
31,5,4,4,5,1,4,4,3,4,3,4,4,3,5,4,6,4,3,4,4,4,4,4,4,4,4,4,4
33,3,5,6,5,2,4,6,5,3,4,3,6,3,4,5,3,4,4,7,7,4,4,4,4,6,6,4,4
35,7,3,4,6,2,5,6,7,7,4,4,6,7,6,7,7,7,5,5,6,7,7,4,7,3,7,4,5
36,5,4,6,6,4,5,5,6,5,5,4,4,5,5,4,5,6,4,4,4,6,6,4,5,4,5,4,4
37,4,3,5,5,2,6,6,6,6,6,6,5,5,6,2,6,6,3,7,4,6,6,4,6,5,6,6,6
38,6,4,5,4,4,5,4,6,6,5,6,3,7,6,5,6,6,4,2,5,6,6,4,5,4,5,4,5
39,6,2,5,6,3,5,5,6,7,4,6,5,7,7,7,7,7,3,4,5,6,6,4,6,6,6,6,5
