id,sex,name_type,accuracy
171,Female,Female fake name,33
35,Female,Female fake name,22
57,Female,Female fake name,46
36,Female,Female fake name,53
53,Female,Female fake name,14
176,Female,Female fake name,27
76,Female,Female fake name,64
184,Female,Female fake name,62
64,Female,Female fake name,75
166,Female,Female fake name,50
14,Female,Male fake name,69
100,Female,Male fake name,60
30,Female,Male fake name,82
49,Female,Male fake name,78
157,Female,Male fake name,38
14,Female,Male fake name,63
68,Female,Male fake name,46
71,Female,Male fake name,27
4,Female,Male fake name,61
40,Female,Male fake name,29
66,Female,Own name,75
27,Female,Own name,33
61,Female,Own name,83
27,Female,Own name,42
36,Female,Own name,10
33,Female,Own name,44
120,Female,Own name,27
113,Male,Female fake name,53
95,Male,Female fake name,47
99,Male,Female fake name,87
78,Male,Female fake name,41
32,Male,Female fake name,62
43,Male,Female fake name,67
183,Male,Female fake name,57
103,Male,Male fake name,31
31,Male,Male fake name,63
86,Male,Male fake name,34
54,Male,Male fake name,40
5,Male,Male fake name,22
20,Male,Male fake name,17
13,Male,Male fake name,60
59,Male,Male fake name,47
58,Male,Male fake name,57
188,Male,Own name,70
187,Male,Own name,57
15,Male,Own name,33
50,Male,Own name,83
9,Male,Own name,86
45,Male,Own name,65
60,Male,Own name,64
73,Male,Own name,37
189,Male,Own name,80
