id,volatile,mistrustful,cautious,detached,passive_aggressive,arrogant,manipulative,dramatic,eccentric,perfectist,dependent
1,8,9,12,5,8,5,5,6,3,9,11
2,3,4,9,4,5,3,7,5,4,1,9
3,5,5,2,4,5,8,10,9,5,7,9
4,6,8,5,3,6,10,5,10,8,10,9
5,2,6,5,3,8,11,10,11,8,10,12
6,3,1,2,3,6,9,5,8,4,11,7
7,3,9,2,4,7,10,9,10,6,8,6
8,10,8,8,6,3,6,5,6,6,5,9
9,12,8,11,6,3,2,5,6,3,1,10
10,2,5,8,2,6,3,6,7,5,5,11
11,5,9,11,5,8,2,2,5,0,10,10
12,13,7,4,5,10,8,8,11,10,9,8
13,5,5,8,3,11,7,12,7,3,10,10
14,5,4,7,3,6,5,4,5,2,10,10
15,11,6,8,8,6,0,1,2,2,13,12
16,10,7,8,5,5,5,7,11,9,9,10
17,5,5,4,5,7,7,6,8,7,11,9
18,2,4,4,6,11,6,7,4,6,8,7
19,4,3,0,3,4,3,9,12,7,4,7
20,7,5,6,2,7,6,8,7,8,10,7
21,9,8,8,5,7,5,4,3,6,9,10
22,6,3,4,4,10,8,6,6,6,6,6
23,6,7,4,0,3,14,10,13,8,8,9
24,6,3,6,1,6,4,7,11,7,5,10
25,3,6,3,4,11,6,8,10,7,4,5
26,7,4,11,4,6,4,8,6,8,11,11
27,3,8,8,6,4,11,9,6,7,6,9
28,4,7,2,4,6,12,9,12,9,2,8
29,13,7,9,8,3,5,10,7,8,12,7
30,6,4,8,6,3,6,8,3,8,8,11
31,8,10,8,3,6,8,8,11,8,12,8
32,1,6,7,4,7,9,6,10,6,13,11
33,1,4,4,2,7,7,6,10,6,9,8
34,7,4,5,5,7,9,4,6,6,10,7
35,1,4,4,3,4,4,3,3,3,11,7
36,0,3,1,5,4,10,9,9,4,5,7
37,3,4,6,5,5,8,7,7,4,10,12
38,8,7,8,2,6,10,11,10,8,7,12
39,6,9,8,4,9,6,10,10,5,8,10
40,7,7,5,4,6,2,5,5,3,5,8
41,5,8,0,4,3,9,6,10,9,12,6
42,7,8,6,7,10,8,4,4,8,13,10
43,8,5,3,3,5,9,7,9,7,10,10
44,7,8,2,3,3,7,7,3,7,12,8
45,2,6,5,3,8,10,9,10,8,14,7
46,6,6,8,10,5,6,3,2,3,12,8
47,4,3,9,3,7,7,3,5,3,13,10
48,1,4,4,4,7,10,8,10,5,9,7
49,4,5,3,4,4,8,8,10,7,11,11
50,7,4,5,4,4,3,5,6,5,11,8
51,8,7,3,3,6,12,6,8,7,10,8
52,13,9,10,7,8,6,10,4,9,6,9
53,7,6,8,3,7,10,8,7,3,11,7
54,4,6,10,7,6,4,5,3,1,11,8
55,3,7,3,3,3,11,8,13,3,10,6
56,10,5,8,1,4,12,8,12,7,8,7
57,7,9,2,6,4,8,9,9,8,2,4
58,2,2,4,6,8,6,8,6,6,9,13
59,3,7,8,2,8,4,7,6,5,9,8
60,0,2,7,2,5,8,6,5,5,10,7
61,1,2,4,6,5,9,6,9,5,6,7
62,3,6,1,4,3,8,8,6,7,13,7
63,5,5,2,8,8,8,9,8,5,6,3
64,4,3,1,7,8,12,9,12,8,5,2
65,9,4,3,4,6,4,5,7,10,7,7
66,2,2,7,8,5,7,4,8,3,3,9
67,3,5,2,4,4,8,10,12,9,1,10
68,5,11,4,6,6,10,11,14,5,7,3
69,7,3,12,3,7,1,6,6,3,9,12
70,9,9,2,5,3,9,8,8,9,2,6
71,7,8,2,4,6,4,6,10,9,7,7
72,12,9,9,2,3,4,4,6,6,10,12
73,4,6,9,4,6,6,10,7,3,5,10
74,2,3,2,4,7,7,2,8,2,11,13
75,5,6,2,8,8,5,6,5,7,6,8
76,5,3,2,4,5,5,6,9,7,10,6
77,6,8,7,7,8,8,5,5,5,11,10
78,5,8,7,6,6,6,5,6,3,8,8
79,7,7,6,2,9,7,10,9,7,8,10
80,4,7,0,2,4,10,10,13,7,6,9
81,6,6,5,2,6,10,5,9,5,12,8
82,0,6,2,2,5,9,9,10,5,12,8
83,6,5,7,6,9,4,7,7,11,13,7
84,5,3,4,3,2,3,7,5,8,5,9
85,5,5,7,2,8,4,7,8,9,11,5
86,6,8,1,6,7,13,10,14,10,7,4
87,5,6,3,6,3,6,6,6,7,13,8
88,3,7,6,8,10,8,9,5,9,7,2
89,1,4,5,4,4,3,6,4,4,10,10
90,4,2,9,3,3,3,2,2,2,10,10
91,2,6,1,3,2,10,11,11,5,1,6
92,2,8,5,2,8,9,9,13,6,2,12
93,2,7,4,4,7,7,7,10,8,13,7
94,3,1,4,2,1,5,9,8,5,6,7
95,6,9,8,6,6,4,8,3,5,10,9
96,6,11,6,8,9,12,10,9,8,8,7
97,11,9,8,7,9,6,7,4,5,6,5
98,6,9,9,2,8,10,11,8,7,9,7
99,4,7,6,5,4,7,9,11,6,10,10
100,4,3,11,3,6,3,4,4,4,11,7
101,9,7,10,5,10,6,5,4,11,6,11
102,1,9,2,5,5,6,8,9,7,12,7
103,3,4,5,1,2,4,3,4,6,12,9
104,6,7,8,5,6,5,3,4,2,11,8
105,7,7,5,5,5,7,4,8,7,11,10
106,7,9,5,4,5,8,8,12,8,14,7
107,4,5,3,2,4,5,6,11,6,7,6
108,3,4,2,4,6,9,6,8,7,11,10
109,6,8,5,2,6,9,12,11,10,11,11
110,7,5,9,5,4,7,4,4,5,12,10
111,9,8,13,6,4,5,3,4,6,1,12
112,9,7,11,8,9,6,7,7,7,5,8
113,7,9,5,3,5,3,6,8,12,10,8
114,7,7,10,4,11,5,4,8,3,9,8
115,3,5,8,4,8,8,10,10,11,2,9
116,4,1,1,5,6,9,6,9,8,9,8
117,13,8,9,5,8,6,8,12,7,5,7
118,9,8,7,6,9,11,8,10,8,8,10
119,2,2,8,3,6,2,3,6,3,5,11
120,2,5,8,3,6,2,11,5,11,9,9
121,6,2,3,4,6,8,3,4,5,8,10
122,6,4,2,4,4,4,4,8,0,8,5
123,4,8,8,2,9,6,4,5,8,13,12
124,2,6,5,2,6,9,5,7,1,11,11
125,5,7,9,6,7,7,6,6,5,11,8
127,4,8,6,5,6,11,8,11,12,13,7
128,10,4,5,3,7,2,2,5,3,12,6
129,3,2,3,3,2,6,7,7,8,6,7
130,4,8,10,8,10,5,7,2,10,11,6
131,4,9,6,2,7,8,6,7,6,13,9
132,3,7,2,5,12,9,11,10,5,8,6
133,2,2,5,4,8,8,8,6,6,7,7
134,2,6,2,5,5,12,8,4,2,8,7
135,6,12,3,3,4,5,8,9,7,9,8
136,1,5,4,2,4,8,5,11,10,11,10
137,0,2,2,3,3,5,3,3,3,9,8
138,2,4,3,3,4,6,9,9,6,5,6
139,2,2,4,5,4,4,9,12,5,6,8
140,3,8,9,1,7,8,5,5,3,7,12
141,5,9,0,4,4,8,12,11,5,12,6
142,2,8,7,2,4,5,6,5,5,10,9
143,4,5,7,3,3,6,4,6,5,12,10
144,4,4,2,4,11,9,13,14,9,3,7
145,4,5,9,6,6,7,3,3,2,12,8
146,9,8,11,8,6,6,6,5,10,8,8
147,9,10,7,4,9,6,8,11,5,9,9
148,11,5,4,3,2,6,7,12,8,9,8
149,10,8,6,5,6,7,9,3,4,13,10
150,2,5,1,1,5,9,12,14,8,4,9
151,2,6,1,4,8,6,5,9,9,3,3
152,5,8,4,3,4,10,9,10,9,6,10
153,2,7,6,11,12,7,4,5,8,12,4
154,12,4,13,9,6,1,3,0,5,11,8
155,5,1,5,6,4,1,7,3,8,8,8
156,10,10,12,9,11,2,4,3,5,13,12
157,5,8,8,2,5,6,8,3,5,7,11
158,1,3,4,6,9,8,2,3,4,10,5
159,3,4,12,5,6,3,3,3,2,5,12
160,4,5,12,11,9,10,3,4,5,13,5
161,6,4,8,4,10,6,8,7,6,6,8
162,0,4,5,3,1,6,7,7,3,4,5
163,3,3,2,4,7,3,10,10,8,5,8
164,7,5,4,7,6,7,11,10,3,9,10
165,6,5,6,2,4,6,8,7,5,10,11
166,7,8,7,7,7,6,4,7,8,8,7
167,5,4,1,4,4,7,8,12,6,11,7
168,2,7,8,2,7,5,7,7,3,11,12
169,4,7,9,8,8,2,6,4,3,6,9
170,12,6,7,4,6,8,8,8,3,13,9
171,6,12,4,5,9,9,6,6,5,9,5
172,5,8,6,4,5,11,7,7,9,10,9
173,4,7,11,7,9,7,7,7,7,2,10
174,3,5,4,4,7,4,9,9,9,2,11
175,3,7,2,4,4,7,7,8,6,9,8
176,3,6,7,3,5,6,7,8,3,14,10
177,8,6,2,3,3,8,9,10,4,10,9
178,5,7,3,7,5,8,9,4,5,11,7
179,5,4,7,7,10,3,2,6,4,8,6
180,9,9,2,7,5,5,7,10,8,5,3
181,7,10,2,2,8,8,6,11,9,8,8
182,6,5,2,2,5,4,7,5,9,8,10
183,4,3,8,3,5,4,7,3,4,12,12
184,8,6,3,3,3,8,11,14,6,5,5
185,11,12,4,7,4,5,6,5,9,6,10
186,4,7,6,7,9,8,7,1,11,10,6
187,8,7,7,3,6,6,7,2,4,11,10
188,4,8,6,7,5,6,6,4,13,13,6
189,3,4,7,4,6,1,4,3,4,7,8
190,8,7,8,7,5,5,4,6,11,8,8
191,1,9,1,3,7,10,9,7,5,10,4
192,4,7,2,4,4,4,8,11,7,3,7
193,3,5,6,5,5,8,8,8,10,12,6
194,7,6,8,5,5,4,10,7,8,5,9
195,10,6,11,10,7,6,4,4,1,11,9
196,5,7,2,4,8,12,10,11,9,7,8
197,2,9,2,3,7,10,13,12,11,7,6
198,6,6,3,3,7,10,11,9,1,11,7
199,3,9,1,4,7,11,10,13,5,7,9
200,11,3,8,0,4,8,3,11,6,8,12
201,4,5,11,3,9,5,6,10,4,10,7
202,5,11,2,2,7,7,5,10,4,12,7
203,4,4,9,5,5,7,3,4,3,12,10
204,4,6,5,6,7,7,10,10,8,10,8
205,6,8,3,4,9,3,6,9,5,6,5
206,5,4,0,4,6,6,10,7,5,11,7
207,11,7,4,4,2,10,8,11,7,5,6
208,6,3,3,3,6,12,10,12,10,5,9
