ticket_no,gender,day_1,day_2,day_3
2111,Male,2.64,1.35,1.61
2229,Female,0.97,1.41,0.29
2338,Male,0.84,NA,NA
2384,Female,3.03,NA,NA
2401,Female,0.88,0.08,NA
2405,Male,0.85,NA,NA
2467,Female,1.56,NA,NA
2478,Female,3.02,NA,NA
2490,Male,2.29,NA,NA
2504,Female,1.11,0.44,0.55
2509,Male,2.17,NA,NA
2510,Female,0.82,0.2,0.47
2514,Male,1.41,NA,NA
2515,Female,1.76,1.64,1.58
2520,Male,1.38,0.02,NA
2521,Female,2.79,NA,NA
2529,Male,1.5,NA,NA
2533,Female,1.91,2.05,NA
2535,Female,2.32,NA,NA
2538,Male,2.05,NA,NA
2549,Male,2.17,0.7,0.76
2551,Female,2.05,NA,NA
2558,Female,1.61,NA,NA
2562,Non-binary,1.66,0.85,NA
2565,Female,2.3,NA,NA
2566,Female,2.76,NA,NA
2568,Female,1.44,NA,NA
2586,Female,1.06,NA,NA
2601,Male,3.23,NA,NA
2602,Male,0.97,0.38,0.76
2604,Male,2.57,0.11,0.02
2606,Non-binary,0.26,NA,NA
2609,Female,0.47,NA,NA
2611,Female,1.73,NA,NA
2612,Male,1.94,0.82,1.67
2616,Male,1.91,NA,NA
2624,Female,2.08,0.91,0.96
2633,Female,1.91,NA,NA
2642,Female,1.42,NA,NA
2644,Male,1.5,NA,NA
2662,Female,0.11,NA,NA
2663,Male,1.67,NA,NA
2664,Non-binary,2.08,NA,NA
2669,Female,2.05,NA,NA
2670,Male,2,NA,NA
2675,Male,1.52,NA,NA
2676,Female,1.58,NA,NA
2677,Male,1.28,0.38,0.14
2681,Male,1.88,NA,NA
2685,Female,1.32,NA,NA
2686,Female,2.09,NA,NA
2687,Male,2,NA,NA
2688,Female,2.64,NA,NA
2689,Non-binary,0.85,0.32,0.52
2692,Female,2.47,0.23,0.38
2698,Female,1.79,NA,NA
2709,Female,1.64,NA,NA
2710,Male,1.32,NA,NA
2712,Female,2.97,NA,NA
2726,Female,1.44,0.14,NA
2727,Female,2.02,NA,NA
2728,Male,1.79,NA,NA
2730,Non-binary,1.34,NA,NA
2731,Female,2.29,1.9,NA
2732,Female,1.66,NA,NA
2734,Female,0.6,NA,NA
2735,Female,1.76,0.76,0.29
2736,Female,1.5,NA,NA
2737,Female,2.08,0.7,NA
2748,Female,1,0.55,NA
2752,Non-binary,1.73,NA,NA
2756,Female,1.05,0.38,NA
2758,Male,2.81,NA,NA
2759,Female,1.52,NA,NA
2768,Non-binary,1.47,NA,NA
2769,Female,2.64,NA,NA
2770,Female,2.2,1.18,NA
2771,Male,0.55,0.79,NA
2772,Non-binary,2.29,NA,NA
2773,Female,2,NA,NA
2775,Male,2.23,NA,NA
2779,Female,2.45,NA,NA
2780,Male,1.2,NA,NA
2783,Male,2.91,2.08,2.11
2784,Female,1.14,1,NA
2788,Male,1.88,NA,NA
2789,Male,0.94,NA,NA
2791,Female,1.85,NA,NA
2794,Female,2.58,NA,NA
2796,Female,0.61,NA,NA
2799,Non-binary,0.7,NA,NA
2806,Male,1.38,NA,NA
2807,Female,1.94,NA,NA
2811,Non-binary,2.29,NA,NA
2812,Male,1.59,NA,NA
2813,Female,2.46,NA,NA
2814,Female,1.67,0.14,NA
2825,Female,2.02,0.58,0.5
2827,Male,1.5,NA,NA
2828,Female,2.7,1.7,1.91
2829,Non-binary,1.61,NA,NA
2830,Male,2.29,NA,NA
2831,Female,0.97,1.06,0.76
2839,Male,1.85,NA,NA
2842,Female,2.76,NA,NA
2857,Male,1.64,NA,NA
2858,Male,1.17,NA,NA
2859,Male,1.57,NA,NA
2862,Female,2.23,NA,NA
2863,Female,2.05,1.58,2.15
2875,Non-binary,2.05,NA,NA
2876,Non-binary,2.94,NA,NA
2883,Non-binary,2.39,NA,NA
2890,Non-binary,1.94,NA,NA
2894,Female,2.12,NA,NA
2895,Female,1.11,NA,NA
2897,Non-binary,0.97,NA,NA
2898,Female,1.35,NA,NA
2899,Female,2.81,2.08,NA
2900,Female,2.5,NA,NA
2901,Male,1.87,NA,NA
2920,Male,1.33,NA,NA
2921,Female,1.26,NA,NA
2922,Female,1.44,NA,NA
2923,Non-binary,0.55,NA,NA
2924,Female,1.75,NA,NA
2925,Female,2.08,NA,NA
2932,Male,0.85,NA,NA
2933,Female,2.52,NA,NA
2935,Female,3,NA,NA
2936,Female,1.41,NA,NA
2937,Non-binary,1.08,NA,NA
2938,Male,1.2,1.38,1.5
2940,Non-binary,1.94,1.44,NA
2941,Non-binary,2.26,1.73,1.73
2942,Male,1.41,NA,NA
2948,Female,2.5,NA,NA
2952,Male,2.17,NA,NA
2953,Male,1.82,1.11,NA
2954,Female,1.44,1.14,NA
2956,Female,1.66,NA,NA
2957,Male,1.82,NA,NA
2958,Male,1.26,NA,NA
2959,Female,2.67,NA,NA
2961,Female,1.47,NA,NA
2962,Female,1.84,NA,NA
2964,Female,2.58,NA,NA
2966,Male,1.73,NA,NA
2967,Male,1.23,NA,NA
2968,Male,2.32,NA,NA
2972,Female,2.67,NA,NA
2974,Female,1.02,NA,NA
2975,Non-binary,1.66,2.12,2.7
2976,Female,1.88,NA,NA
2977,Female,1.91,NA,NA
2978,Female,1.64,NA,NA
2979,Male,1.34,NA,NA
2982,Male,1.85,NA,NA
2983,Male,2.08,NA,NA
2984,Male,1.02,NA,NA
2985,Non-binary,1.79,NA,NA
2988,Female,1.94,NA,NA
2989,Female,3.26,1.97,1.67
2990,Male,1.14,0.58,0.11
3008,Female,1.5,0.7,0.38
3009,Female,2.03,NA,NA
3010,Non-binary,2.24,NA,NA
3013,Female,1.11,NA,NA
3014,Female,2.21,NA,NA
3016,Non-binary,1.94,NA,NA
3017,Male,2.41,NA,NA
3018,Male,0.88,NA,NA
