sample,row,revise,exam_grade,anxiety
Data,1,43,60,44
Data,2,19,50,73
Data,3,27,80,70
Data,4,13,70,70
Data,5,6,50,98
Data,6,12,90,83
Data,7,4,70,92
bs_1,7,4,70,92
bs_1,2,19,50,73
bs_1,2,19,50,73
bs_1,4,13,70,70
bs_1,3,27,80,70
bs_1,2,19,50,73
bs_1,7,4,70,92
bs_2,3,27,80,70
bs_2,2,19,50,73
bs_2,1,43,60,44
bs_2,2,19,50,73
bs_2,1,43,60,44
bs_2,6,12,90,83
bs_2,6,12,90,83
bs_3,1,43,60,44
bs_3,4,13,70,70
bs_3,5,6,50,98
bs_3,7,4,70,92
bs_3,7,4,70,92
bs_3,7,4,70,92
bs_3,2,19,50,73
bs_4,2,19,50,73
bs_4,4,13,70,70
bs_4,3,27,80,70
bs_4,4,13,70,70
bs_4,1,43,60,44
bs_4,6,12,90,83
bs_4,1,43,60,44
bs_5,3,27,80,70
bs_5,3,27,80,70
bs_5,2,19,50,73
bs_5,1,43,60,44
bs_5,4,13,70,70
bs_5,7,4,70,92
bs_5,4,13,70,70
